"Team Details","","","","","","","Passing","","","","","","Rushing","","","","Receiving","","","","","FPTS",""
"Rank","Name","POS","G","Season","Location","Team Name","DB","ATT","CMP","YDS","TD","RATE","ATT","YDS","YPC","TD","TGT","REC","YDS","YPT","TD","FP/G","FP"
"1","Cincinnati Bengals","RB","14","2025","Cincinnati","Bengals","2","2","2","7","2","120.8","335","1805","5.39","11","81","67","629","7.77","7","30.5","427.7"
"2","New York Giants","RB","14","2025","New York","Giants","0","0","0","0","0","","294","1731","5.89","13","80","67","458","5.73","4","27.7","387.9"
"3","New York Jets","RB","14","2025","New York","Jets","0","0","0","0","0","","350","1508","4.31","15","62","48","440","7.10","8","27.2","380.8"
"4","Buffalo Bills","RB","14","2025","Buffalo","Bills","0","0","0","0","0","","302","1606","5.32","18","69","54","346","5.01","2","26.2","367.2"
"5","Arizona Cardinals","RB","14","2025","Arizona","Cardinals","0","0","0","0","0","","320","1536","4.80","14","67","56","408","6.09","3","25.0","350.4"
"6","Washington Commanders","RB","14","2025","Washington","Commanders","0","0","0","0","0","","338","1530","4.53","12","60","50","489","8.15","4","25.0","349.9"
"7","Dallas Cowboys","RB","14","2025","Dallas","Cowboys","0","0","0","0","0","","279","1276","4.57","11","82","72","656","8.00","2","24.4","341.2"
"8","Tampa Bay Buccaneers","RB","14","2025","Tampa Bay","Buccaneers","0","0","0","0","0","","261","1125","4.31","10","74","66","774","10.46","4","24.1","337.9"
"9","Carolina Panthers","RB","14","2025","Carolina","Panthers","0","0","0","0","0","","296","1424","4.81","13","75","64","416","5.55","1","23.6","331.0"
"10","Baltimore Ravens","RB","14","2025","Baltimore","Ravens","0","0","0","0","0","","293","1232","4.20","10","89","74","573","6.44","3","23.6","330.5"
"11","Las Vegas Raiders","RB","14","2025","Las Vegas","Raiders","0","0","0","0","0","","346","1386","4.01","15","68","55","343","5.04","1","23.3","325.9"
"12","Philadelphia Eagles","RB","14","2025","Philadelphia","Eagles","0","0","0","0","0","","312","1353","4.34","10","67","51","538","8.03","4","22.9","321.1"
"13","Tennessee Titans","RB","14","2025","Tennessee","Titans","0","0","0","0","0","","314","1365","4.35","15","60","45","392","6.53","2","22.9","320.7"
"14","Atlanta Falcons","RB","14","2025","Atlanta","Falcons","0","0","0","0","0","","315","1413","4.49","9","78","59","429","5.50","4","22.9","320.2"
"15","San Francisco 49ers","RB","14","2025","San Francisco","49ers","0","0","0","0","0","","283","1264","4.47","8","90","78","477","5.30","3","22.7","318.1"
"16","New Orleans Saints","RB","14","2025","New Orleans","Saints","0","0","0","0","0","","369","1544","4.18","11","51","43","313","6.14","3","22.3","312.7"
"17","Miami Dolphins","RB","14","2025","Miami","Dolphins","0","0","0","0","0","","318","1490","4.69","6","74","67","502","6.78","1","21.9","307.2"
"18","Chicago Bears","RB","14","2025","Chicago","Bears","0","0","0","0","0","","285","1366","4.79","8","70","56","351","5.01","3","20.8","290.7"
"19","Minnesota Vikings","RB","14","2025","Minnesota","Vikings","0","0","0","0","0","","368","1479","4.02","12","58","45","269","4.64","0","20.7","289.8"
"20","Cleveland Browns","RB","14","2025","Cleveland","Browns","2","2","1","32","1","135.4","324","1287","3.97","9","71","55","367","5.17","2","20.6","288.7"
"21","Pittsburgh Steelers","RB","14","2025","Pittsburgh","Steelers","0","0","0","0","0","","326","1437","4.41","5","71","61","446","6.28","1","20.0","280.3"
"22","Indianapolis Colts","RB","14","2025","Indianapolis","Colts","0","0","0","0","0","","294","1121","3.81","12","72","55","363","5.04","1","19.9","278.4"
"23","Los Angeles Chargers","RB","14","2025","Los Angeles","Chargers","0","0","0","0","0","","266","1209","4.55","12","67","50","331","4.94","0","19.8","277.0"
"24","Green Bay Packers","RB","14","2025","Green Bay","Packers","1","1","0","0","0","39.6","315","1221","3.88","8","77","64","362","4.70","0","19.5","272.3"
"25","Seattle Seahawks","RB","14","2025","Seattle","Seahawks","0","0","0","0","0","","287","1018","3.55","4","100","78","531","5.31","2","19.1","266.9"
"26","Houston Texans","RB","14","2025","Houston","Texans","0","0","0","0","0","","270","1024","3.79","10","72","56","404","5.61","1","18.9","264.8"
"27","New England Patriots","RB","14","2025","New England","Patriots","0","0","0","0","0","","260","980","3.77","5","88","73","460","5.23","2","18.5","259.0"
"28","Kansas City Chiefs","RB","14","2025","Kansas City","Chiefs","1","1","0","0","0","39.6","266","1082","4.07","7","61","52","374","6.13","3","18.4","257.6"
"29","Detroit Lions","RB","14","2025","Detroit","Lions","1","1","0","0","0","39.6","288","1191","4.14","9","61","48","299","4.90","0","17.8","249.0"
"30","Jacksonville Jaguars","RB","14","2025","Jacksonville","Jaguars","0","0","0","0","0","","248","928","3.74","6","74","60","437","5.91","3","17.8","248.5"
"31","Denver Broncos","RB","14","2025","Denver","Broncos","0","0","0","0","0","","265","1044","3.94","8","55","37","334","6.07","4","17.6","245.8"
"32","Los Angeles Rams","RB","14","2025","Los Angeles","Rams","0","0","0","0","0","","291","1096","3.77","3","79","60","437","5.53","2","17.2","241.3"

"Rank","Rank, Most to Least"
"Name","Team"
"POS","Player Position"
"G","Games Played"
"DB","Dropbacks"
"ATT","Passing Attempts"
"CMP","Passing Completions"
"YDS","Passing Yards"
"TD","Passing Touchdowns"
"RATE","QB Passer Rating"
"ATT","Rushing Attempts"
"YDS","Rushing Yards"
"YPC","Rushing Yards per Carry"
"TD","Rushing Touchdowns"
"TGT","Targets"
"REC","Receptions"
"YDS","Receiving Yards"
"YPT","Yards per Target"
"TD","Receiving Touchdowns"
"FP/G","Fantasy Points per Game"
"FP","Fantasy Points"
