"Team Details","","","","","","","Passing","","","","","","Rushing","","","","Receiving","","","","","FPTS",""
"Rank","Name","POS","G","Season","Location","Team Name","DB","ATT","CMP","YDS","TD","RATE","ATT","YDS","YPC","TD","TGT","REC","YDS","YPT","TD","FP/G","FP"
"1","Cincinnati Bengals","RB","11","2025","Cincinnati","Bengals","2","2","2","7","2","120.8","280","1438","5.14","9","69","58","496","7.19","6","32.0","351.7"
"2","New York Giants","RB","12","2025","New York","Giants","0","0","0","0","0","","244","1522","6.24","12","72","60","383","5.32","4","29.0","347.5"
"3","Buffalo Bills","RB","11","2025","Buffalo","Bills","0","0","0","0","0","","247","1296","5.25","14","53","41","253","4.77","1","25.8","283.9"
"4","Washington Commanders","RB","11","2025","Washington","Commanders","0","0","0","0","0","","271","1245","4.59","8","46","38","405","8.80","3","24.6","271.0"
"5","Atlanta Falcons","RB","11","2025","Atlanta","Falcons","0","0","0","0","0","","254","1151","4.53","7","66","52","385","5.83","4","24.6","270.6"
"6","Tennessee Titans","RB","11","2025","Tennessee","Titans","0","0","0","0","0","","247","1196","4.84","13","46","34","231","5.02","2","24.2","265.7"
"7","Dallas Cowboys","RB","11","2025","Dallas","Cowboys","0","0","0","0","0","","222","1036","4.67","7","67","58","496","7.40","2","23.9","263.2"
"8","Miami Dolphins","RB","11","2025","Miami","Dolphins","0","0","0","0","0","","256","1246","4.87","6","60","54","419","6.98","1","23.8","261.5"
"9","Carolina Panthers","RB","12","2025","Carolina","Panthers","0","0","0","0","0","","262","1220","4.66","10","71","60","373","5.25","1","23.7","284.3"
"10","Tampa Bay Buccaneers","RB","11","2025","Tampa Bay","Buccaneers","0","0","0","0","0","","201","850","4.23","8","53","48","589","11.11","3","23.4","257.9"
"11","Chicago Bears","RB","11","2025","Chicago","Bears","0","0","0","0","0","","236","1190","5.04","7","58","47","328","5.66","3","23.3","255.8"
"12","Arizona Cardinals","RB","11","2025","Arizona","Cardinals","0","0","0","0","0","","239","1082","4.53","10","52","42","293","5.63","3","23.2","255.5"
"13","Baltimore Ravens","RB","11","2025","Baltimore","Ravens","0","0","0","0","0","","223","988","4.43","9","63","48","409","6.49","2","23.0","252.7"
"14","New York Jets","RB","11","2025","New York","Jets","0","0","0","0","0","","266","1080","4.06","10","44","35","247","5.61","4","22.9","251.7"
"15","San Francisco 49ers","RB","12","2025","San Francisco","49ers","0","0","0","0","0","","238","1009","4.24","7","80","69","432","5.40","3","22.6","271.1"
"16","Philadelphia Eagles","RB","11","2025","Philadelphia","Eagles","0","0","0","0","0","","234","959","4.10","8","54","42","445","8.24","3","22.3","245.4"
"17","New Orleans Saints","RB","11","2025","New Orleans","Saints","0","0","0","0","0","","284","1169","4.12","8","43","38","271","6.30","2","22.0","242.0"
"18","Las Vegas Raiders","RB","11","2025","Las Vegas","Raiders","0","0","0","0","0","","246","958","3.89","11","55","44","279","5.07","1","22.0","241.7"
"19","Los Angeles Chargers","RB","11","2025","Los Angeles","Chargers","0","0","0","0","0","","210","1012","4.82","11","56","42","290","5.18","0","21.7","239.2"
"20","Indianapolis Colts","RB","11","2025","Indianapolis","Colts","0","0","0","0","0","","227","896","3.95","9","66","50","342","5.18","1","21.1","231.8"
"21","Minnesota Vikings","RB","11","2025","Minnesota","Vikings","0","0","0","0","0","","298","1169","3.92","9","51","39","233","4.57","0","21.0","231.2"
"22","Houston Texans","RB","11","2025","Houston","Texans","0","0","0","0","0","","209","806","3.86","9","59","47","330","5.59","1","20.1","220.6"
"23","Green Bay Packers","RB","11","2025","Green Bay","Packers","0","0","0","0","0","","239","932","3.90","6","63","54","308","4.89","0","19.5","215.0"
"24","Seattle Seahawks","RB","11","2025","Seattle","Seahawks","0","0","0","0","0","","212","729","3.44","4","81","60","417","5.15","2","19.1","210.6"
"25","Cleveland Browns","RB","11","2025","Cleveland","Browns","1","1","1","32","1","158.3","234","897","3.83","4","60","48","320","5.33","2","18.9","208.0"
"26","Pittsburgh Steelers","RB","11","2025","Pittsburgh","Steelers","0","0","0","0","0","","236","992","4.20","5","52","45","298","5.73","1","18.7","206.0"
"27","Jacksonville Jaguars","RB","11","2025","Jacksonville","Jaguars","0","0","0","0","0","","191","705","3.69","4","61","48","383","6.28","3","18.1","198.8"
"28","Denver Broncos","RB","11","2025","Denver","Broncos","0","0","0","0","0","","218","837","3.84","6","42","29","299","7.12","3","17.8","195.6"
"29","Kansas City Chiefs","RB","11","2025","Kansas City","Chiefs","1","1","0","0","0","39.6","191","806","4.22","5","53","45","326","6.15","1","17.7","194.2"
"30","Detroit Lions","RB","11","2025","Detroit","Lions","1","1","0","0","0","39.6","221","872","3.95","5","54","42","272","5.04","0","16.8","184.4"
"31","New England Patriots","RB","12","2025","New England","Patriots","0","0","0","0","0","","212","756","3.57","2","77","63","397","5.16","1","16.4","196.3"
"32","Los Angeles Rams","RB","11","2025","Los Angeles","Rams","0","0","0","0","0","","226","856","3.79","2","57","46","315","5.53","1","16.3","179.1"

"Rank","Rank, Most to Least"
"Name","Team"
"POS","Player Position"
"G","Games Played"
"DB","Dropbacks"
"ATT","Passing Attempts"
"CMP","Passing Completions"
"YDS","Passing Yards"
"TD","Passing Touchdowns"
"RATE","QB Passer Rating"
"ATT","Rushing Attempts"
"YDS","Rushing Yards"
"YPC","Rushing Yards per Carry"
"TD","Rushing Touchdowns"
"TGT","Targets"
"REC","Receptions"
"YDS","Receiving Yards"
"YPT","Yards per Target"
"TD","Receiving Touchdowns"
"FP/G","Fantasy Points per Game"
"FP","Fantasy Points"
