game_id,teams,home_score,away_score
2019_15_NYJ_BAL,NYJ@BAL,42,21
2019_15_SEA_CAR,SEA@CAR,24,30
2019_15_NE_CIN,NE@CIN,13,34
2019_15_TB_DET,TB@DET,17,38
2019_15_CHI_GB,CHI@GB,21,13
2019_15_DEN_KC,DEN@KC,23,3
2019_15_MIA_NYG,MIA@NYG,36,20
2019_15_HOU_TEN,HOU@TEN,21,24
2019_15_PHI_WAS,PHI@WAS,27,37
2019_15_CLE_ARI,CLE@ARI,38,24
2019_15_MIN_LAC,MIN@LAC,10,39
2019_15_JAX_OAK,JAX@OAK,16,20
2019_15_LA_DAL,LA@DAL,44,21
2019_15_ATL_SF,ATL@SF,22,29
2019_15_BUF_PIT,BUF@PIT,10,17
2019_15_IND_NO,IND@NO,34,7
