game_id,teams,home_score,away_score
2019_14_DAL_CHI,DAL@CHI,31,24
2019_14_CAR_ATL,CAR@ATL,40,20
2019_14_BAL_BUF,BAL@BUF,17,24
2019_14_CIN_CLE,CIN@CLE,27,19
2019_14_WAS_GB,WAS@GB,20,15
2019_14_DEN_HOU,DEN@HOU,24,38
2019_14_DET_MIN,DET@MIN,20,7
2019_14_SF_NO,SF@NO,46,48
2019_14_MIA_NYJ,MIA@NYJ,22,21
2019_14_IND_TB,IND@TB,38,35
2019_14_LAC_JAX,LAC@JAX,10,45
2019_14_PIT_ARI,PIT@ARI,17,23
2019_14_KC_NE,KC@NE,16,23
2019_14_TEN_OAK,TEN@OAK,21,42
2019_14_SEA_LA,SEA@LA,28,12
2019_14_NYG_PHI,NYG@PHI,23,17
