game_id,teams,home_score,away_score
2019_17_NYJ_BUF,NYJ@BUF,6,13
2019_17_NO_CAR,NO@CAR,10,42
2019_17_CLE_CIN,CLE@CIN,33,23
2019_17_GB_DET,GB@DET,20,23
2019_17_LAC_KC,LAC@KC,31,21
2019_17_CHI_MIN,CHI@MIN,19,21
2019_17_MIA_NE,MIA@NE,24,27
2019_17_ATL_TB,ATL@TB,22,28
2019_17_PIT_BAL,PIT@BAL,28,10
2019_17_WAS_DAL,WAS@DAL,47,16
2019_17_OAK_DEN,OAK@DEN,16,15
2019_17_TEN_HOU,TEN@HOU,14,35
2019_17_IND_JAX,IND@JAX,38,20
2019_17_ARI_LA,ARI@LA,31,24
2019_17_PHI_NYG,PHI@NYG,17,34
2019_17_SF_SEA,SF@SEA,21,26
