game_id,teams,home_score,away_score
2013_14_HOU_JAX,HOU@JAX,27,20
2013_14_MIN_BAL,MIN@BAL,29,26
2013_14_IND_CIN,IND@CIN,42,28
2013_14_ATL_GB,ATL@GB,22,21
2013_14_CLE_NE,CLE@NE,27,26
2013_14_OAK_NYJ,OAK@NYJ,37,27
2013_14_DET_PHI,DET@PHI,34,20
2013_14_MIA_PIT,MIA@PIT,28,34
2013_14_BUF_TB,BUF@TB,27,6
2013_14_KC_WAS,KC@WAS,10,45
2013_14_TEN_DEN,TEN@DEN,51,28
2013_14_STL_ARI,STL@ARI,30,10
2013_14_NYG_SD,NYG@SD,37,14
2013_14_SEA_SF,SEA@SF,19,17
2013_14_CAR_NO,CAR@NO,31,13
2013_14_DAL_CHI,DAL@CHI,45,28
