game_id,teams,home_score,away_score
2013_15_SD_DEN,SD@DEN,20,27
2013_15_WAS_ATL,WAS@ATL,27,26
2013_15_CHI_CLE,CHI@CLE,31,38
2013_15_HOU_IND,HOU@IND,25,3
2013_15_BUF_JAX,BUF@JAX,20,27
2013_15_NE_MIA,NE@MIA,24,20
2013_15_PHI_MIN,PHI@MIN,48,30
2013_15_SEA_NYG,SEA@NYG,0,23
2013_15_SF_TB,SF@TB,14,33
2013_15_NYJ_CAR,NYJ@CAR,30,20
2013_15_KC_OAK,KC@OAK,31,56
2013_15_GB_DAL,GB@DAL,36,37
2013_15_NO_STL,NO@STL,27,16
2013_15_ARI_TEN,ARI@TEN,34,37
2013_15_CIN_PIT,CIN@PIT,30,20
2013_15_BAL_DET,BAL@DET,16,18
