game_id,teams,kickoff,stadium,home_team,away_team
2019_15_NYJ_BAL,NYJ@BAL,2019-12-12T20:20,M&T Bank Stadium,BAL,NYJ
2019_15_SEA_CAR,SEA@CAR,2019-12-15T13:00,Bank of America Stadium,CAR,SEA
2019_15_NE_CIN,NE@CIN,2019-12-15T13:00,Paul Brown Stadium,CIN,NE
2019_15_TB_DET,TB@DET,2019-12-15T13:00,Ford Field,DET,TB
2019_15_CHI_GB,CHI@GB,2019-12-15T13:00,Lambeau Field,GB,CHI
2019_15_DEN_KC,DEN@KC,2019-12-15T13:00,Arrowhead Stadium,KC,DEN
2019_15_MIA_NYG,MIA@NYG,2019-12-15T13:00,MetLife Stadium,NYG,MIA
2019_15_HOU_TEN,HOU@TEN,2019-12-15T13:00,Nissan Stadium,TEN,HOU
2019_15_PHI_WAS,PHI@WAS,2019-12-15T13:00,FedExField,WAS,PHI
2019_15_CLE_ARI,CLE@ARI,2019-12-15T16:05,State Farm Stadium,ARI,CLE
2019_15_MIN_LAC,MIN@LAC,2019-12-15T16:05,StubHub Center,LAC,MIN
2019_15_JAX_OAK,JAX@OAK,2019-12-15T16:05,Ring Central Coliseum,OAK,JAX
2019_15_LA_DAL,LA@DAL,2019-12-15T16:25,AT&T Stadium,DAL,LA
2019_15_ATL_SF,ATL@SF,2019-12-15T16:25,Levi's Stadium,SF,ATL
2019_15_BUF_PIT,BUF@PIT,2019-12-15T20:20,Heinz Field,PIT,BUF
2019_15_IND_NO,IND@NO,2019-12-16T20:15,Mercedes-Benz Superdome,NO,IND
