game_id,teams,kickoff,stadium,home_team,away_team
2023_02_MIN_PHI,MIN@PHI,2023-09-14T20:15,Lincoln Financial Field,PHI,MIN
2023_02_GB_ATL,GB@ATL,2023-09-17T13:00,Mercedes-Benz Stadium,ATL,GB
2023_02_LV_BUF,LV@BUF,2023-09-17T13:00,New Era Field,BUF,LV
2023_02_BAL_CIN,BAL@CIN,2023-09-17T13:00,Paycor Stadium,CIN,BAL
2023_02_SEA_DET,SEA@DET,2023-09-17T13:00,Ford Field,DET,SEA
2023_02_IND_HOU,IND@HOU,2023-09-17T13:00,NRG Stadium,HOU,IND
2023_02_KC_JAX,KC@JAX,2023-09-17T13:00,TIAA Bank Stadium,JAX,KC
2023_02_CHI_TB,CHI@TB,2023-09-17T13:00,Raymond James Stadium,TB,CHI
2023_02_LAC_TEN,LAC@TEN,2023-09-17T13:00,Nissan Stadium,TEN,LAC
2023_02_NYG_ARI,NYG@ARI,2023-09-17T16:05,State Farm Stadium,ARI,NYG
2023_02_SF_LA,SF@LA,2023-09-17T16:05,SoFi Stadium,LA,SF
2023_02_NYJ_DAL,NYJ@DAL,2023-09-17T16:25,AT&T Stadium,DAL,NYJ
2023_02_WAS_DEN,WAS@DEN,2023-09-17T16:25,Empower Field at Mile High,DEN,WAS
2023_02_MIA_NE,MIA@NE,2023-09-17T20:20,Gillette Stadium,NE,MIA
2023_02_NO_CAR,NO@CAR,2023-09-18T19:15,Bank of America Stadium,CAR,NO
2023_02_CLE_PIT,CLE@PIT,2023-09-18T20:15,Acrisure Stadium,PIT,CLE
