game_id,teams,home_score,away_score
2014_13_CHI_DET,CHI@DET,34,17
2014_13_PHI_DAL,PHI@DAL,10,33
2014_13_SEA_SF,SEA@SF,3,19
2014_13_SD_BAL,SD@BAL,33,34
2014_13_CLE_BUF,CLE@BUF,26,10
2014_13_TEN_HOU,TEN@HOU,45,21
2014_13_WAS_IND,WAS@IND,49,27
2014_13_NYG_JAX,NYG@JAX,25,24
2014_13_CAR_MIN,CAR@MIN,31,13
2014_13_NO_PIT,NO@PIT,32,35
2014_13_OAK_STL,OAK@STL,52,0
2014_13_CIN_TB,CIN@TB,13,14
2014_13_ARI_ATL,ARI@ATL,29,18
2014_13_NE_GB,NE@GB,26,21
2014_13_DEN_KC,DEN@KC,16,29
2014_13_MIA_NYJ,MIA@NYJ,13,16
