game_id,teams,home_score,away_score
2014_01_GB_SEA,GB@SEA,36,16
2014_01_NO_ATL,NO@ATL,37,34
2014_01_CIN_BAL,CIN@BAL,16,23
2014_01_BUF_CHI,BUF@CHI,20,23
2014_01_WAS_HOU,WAS@HOU,17,6
2014_01_TEN_KC,TEN@KC,10,26
2014_01_NE_MIA,NE@MIA,33,20
2014_01_OAK_NYJ,OAK@NYJ,19,14
2014_01_JAX_PHI,JAX@PHI,34,17
2014_01_CLE_PIT,CLE@PIT,30,27
2014_01_MIN_STL,MIN@STL,6,34
2014_01_SF_DAL,SF@DAL,17,28
2014_01_CAR_TB,CAR@TB,14,20
2014_01_IND_DEN,IND@DEN,31,24
2014_01_NYG_DET,NYG@DET,35,14
2014_01_SD_ARI,SD@ARI,18,17
