game_id,teams,kickoff,stadium,home_team,away_team
2012_09_KC_SD,KC@SD,2012-11-01T20:20,Qualcomm Stadium,SD,KC
2012_09_DEN_CIN,DEN@CIN,2012-11-04T13:00,Paul Brown Stadium,CIN,DEN
2012_09_BAL_CLE,BAL@CLE,2012-11-04T13:00,Cleveland Browns Stadium,CLE,BAL
2012_09_ARI_GB,ARI@GB,2012-11-04T13:00,Lambeau Field,GB,ARI
2012_09_BUF_HOU,BUF@HOU,2012-11-04T13:00,Reliant Stadium,HOU,BUF
2012_09_MIA_IND,MIA@IND,2012-11-04T13:00,Lucas Oil Stadium,IND,MIA
2012_09_DET_JAX,DET@JAX,2012-11-04T13:00,EverBank Field,JAX,DET
2012_09_CHI_TEN,CHI@TEN,2012-11-04T13:00,LP Field,TEN,CHI
2012_09_CAR_WAS,CAR@WAS,2012-11-04T13:00,FedExField,WAS,CAR
2012_09_TB_OAK,TB@OAK,2012-11-04T16:05,O.co Coliseum,OAK,TB
2012_09_MIN_SEA,MIN@SEA,2012-11-04T16:05,CenturyLink Field,SEA,MIN
2012_09_PIT_NYG,PIT@NYG,2012-11-04T16:25,MetLife Stadium,NYG,PIT
2012_09_DAL_ATL,DAL@ATL,2012-11-04T20:20,Georgia Dome,ATL,DAL
2012_09_PHI_NO,PHI@NO,2012-11-05T20:30,Mercedes-Benz Superdome,NO,PHI
