game_id,teams,kickoff,stadium,home_team,away_team
2012_14_DEN_OAK,DEN@OAK,2012-12-06T20:20,O.co Coliseum,OAK,DEN
2012_14_STL_BUF,STL@BUF,2012-12-09T13:00,Ralph Wilson Stadium,BUF,STL
2012_14_ATL_CAR,ATL@CAR,2012-12-09T13:00,Bank of America Stadium,CAR,ATL
2012_14_DAL_CIN,DAL@CIN,2012-12-09T13:00,Paul Brown Stadium,CIN,DAL
2012_14_KC_CLE,KC@CLE,2012-12-09T13:00,Cleveland Browns Stadium,CLE,KC
2012_14_TEN_IND,TEN@IND,2012-12-09T13:00,Lucas Oil Stadium,IND,TEN
2012_14_NYJ_JAX,NYJ@JAX,2012-12-09T13:00,EverBank Field,JAX,NYJ
2012_14_CHI_MIN,CHI@MIN,2012-12-09T13:00,Mall of America Field,MIN,CHI
2012_14_SD_PIT,SD@PIT,2012-12-09T13:00,Heinz Field,PIT,SD
2012_14_PHI_TB,PHI@TB,2012-12-09T13:00,Raymond James Stadium,TB,PHI
2012_14_BAL_WAS,BAL@WAS,2012-12-09T13:00,FedExField,WAS,BAL
2012_14_MIA_SF,MIA@SF,2012-12-09T16:05,Candlestick Park,SF,MIA
2012_14_NO_NYG,NO@NYG,2012-12-09T16:25,MetLife Stadium,NYG,NO
2012_14_ARI_SEA,ARI@SEA,2012-12-09T16:25,CenturyLink Field,SEA,ARI
2012_14_DET_GB,DET@GB,2012-12-09T20:20,Lambeau Field,GB,DET
2012_14_HOU_NE,HOU@NE,2012-12-10T20:30,Gillette Stadium,NE,HOU
