game_id,teams,kickoff,stadium,home_team,away_team
2018_15_LAC_KC,LAC@KC,2018-12-13T20:20,Arrowhead Stadium,KC,LAC
2018_15_HOU_NYJ,HOU@NYJ,2018-12-15T16:30,MetLife Stadium,NYJ,HOU
2018_15_CLE_DEN,CLE@DEN,2018-12-15T20:20,Sports Authority Field at Mile High,DEN,CLE
2018_15_ARI_ATL,ARI@ATL,2018-12-16T13:00,Mercedes-Benz Stadium,ATL,ARI
2018_15_TB_BAL,TB@BAL,2018-12-16T13:00,M&T Bank Stadium,BAL,TB
2018_15_DET_BUF,DET@BUF,2018-12-16T13:00,New Era Field,BUF,DET
2018_15_GB_CHI,GB@CHI,2018-12-16T13:00,Soldier Field,CHI,GB
2018_15_OAK_CIN,OAK@CIN,2018-12-16T13:00,Paul Brown Stadium,CIN,OAK
2018_15_DAL_IND,DAL@IND,2018-12-16T13:00,Lucas Oil Stadium,IND,DAL
2018_15_WAS_JAX,WAS@JAX,2018-12-16T13:00,TIAA Bank Stadium,JAX,WAS
2018_15_MIA_MIN,MIA@MIN,2018-12-16T13:00,U.S. Bank Stadium,MIN,MIA
2018_15_TEN_NYG,TEN@NYG,2018-12-16T13:00,MetLife Stadium,NYG,TEN
2018_15_SEA_SF,SEA@SF,2018-12-16T16:05,Levi's Stadium,SF,SEA
2018_15_NE_PIT,NE@PIT,2018-12-16T16:25,Heinz Field,PIT,NE
2018_15_PHI_LA,PHI@LA,2018-12-16T20:20,Los Angeles Memorial Coliseum,LA,PHI
2018_15_NO_CAR,NO@CAR,2018-12-17T20:15,Bank of America Stadium,CAR,NO
