game_id,teams,kickoff,stadium,home_team,away_team
2018_17_MIA_BUF,MIA@BUF,2018-12-30T13:00,New Era Field,BUF,MIA
2018_17_DET_GB,DET@GB,2018-12-30T13:00,Lambeau Field,GB,DET
2018_17_JAX_HOU,JAX@HOU,2018-12-30T13:00,NRG Stadium,HOU,JAX
2018_17_NYJ_NE,NYJ@NE,2018-12-30T13:00,Gillette Stadium,NE,NYJ
2018_17_CAR_NO,CAR@NO,2018-12-30T13:00,Mercedes-Benz Superdome,NO,CAR
2018_17_DAL_NYG,DAL@NYG,2018-12-30T13:00,MetLife Stadium,NYG,DAL
2018_17_ATL_TB,ATL@TB,2018-12-30T13:00,Raymond James Stadium,TB,ATL
2018_17_CLE_BAL,CLE@BAL,2018-12-30T16:25,M&T Bank Stadium,BAL,CLE
2018_17_LAC_DEN,LAC@DEN,2018-12-30T16:25,Sports Authority Field at Mile High,DEN,LAC
2018_17_OAK_KC,OAK@KC,2018-12-30T16:25,Arrowhead Stadium,KC,OAK
2018_17_SF_LA,SF@LA,2018-12-30T16:25,Los Angeles Memorial Coliseum,LA,SF
2018_17_CHI_MIN,CHI@MIN,2018-12-30T16:25,U.S. Bank Stadium,MIN,CHI
2018_17_CIN_PIT,CIN@PIT,2018-12-30T16:25,Heinz Field,PIT,CIN
2018_17_ARI_SEA,ARI@SEA,2018-12-30T16:25,CenturyLink Field,SEA,ARI
2018_17_PHI_WAS,PHI@WAS,2018-12-30T16:25,FedExField,WAS,PHI
2018_17_IND_TEN,IND@TEN,2018-12-30T20:20,Nissan Stadium,TEN,IND
