game_id,teams,kickoff,stadium,home_team,away_team
2018_16_WAS_TEN,WAS@TEN,2018-12-22T16:30,Nissan Stadium,TEN,WAS
2018_16_BAL_LAC,BAL@LAC,2018-12-22T20:20,StubHub Center,LAC,BAL
2018_16_ATL_CAR,ATL@CAR,2018-12-23T13:00,Bank of America Stadium,CAR,ATL
2018_16_CIN_CLE,CIN@CLE,2018-12-23T13:00,FirstEnergy Stadium,CLE,CIN
2018_16_TB_DAL,TB@DAL,2018-12-23T13:00,AT&T Stadium,DAL,TB
2018_16_MIN_DET,MIN@DET,2018-12-23T13:00,Ford Field,DET,MIN
2018_16_NYG_IND,NYG@IND,2018-12-23T13:00,Lucas Oil Stadium,IND,NYG
2018_16_JAX_MIA,JAX@MIA,2018-12-23T13:00,Hard Rock Stadium,MIA,JAX
2018_16_BUF_NE,BUF@NE,2018-12-23T13:00,Gillette Stadium,NE,BUF
2018_16_GB_NYJ,GB@NYJ,2018-12-23T13:00,MetLife Stadium,NYJ,GB
2018_16_HOU_PHI,HOU@PHI,2018-12-23T13:00,Lincoln Financial Field,PHI,HOU
2018_16_LA_ARI,LA@ARI,2018-12-23T16:05,State Farm Stadium,ARI,LA
2018_16_CHI_SF,CHI@SF,2018-12-23T16:05,Levi's Stadium,SF,CHI
2018_16_PIT_NO,PIT@NO,2018-12-23T16:25,Mercedes-Benz Superdome,NO,PIT
2018_16_KC_SEA,KC@SEA,2018-12-23T20:20,CenturyLink Field,SEA,KC
2018_16_DEN_OAK,DEN@OAK,2018-12-24T20:15,Oakland-Alameda County Coliseum,OAK,DEN
