game_id,teams,home_score,away_score
2015_12_PHI_DET,PHI@DET,45,14
2015_12_CAR_DAL,CAR@DAL,14,33
2015_12_CHI_GB,CHI@GB,13,17
2015_12_MIN_ATL,MIN@ATL,10,20
2015_12_STL_CIN,STL@CIN,31,7
2015_12_NO_HOU,NO@HOU,24,6
2015_12_TB_IND,TB@IND,25,12
2015_12_SD_JAX,SD@JAX,25,31
2015_12_BUF_KC,BUF@KC,30,22
2015_12_MIA_NYJ,MIA@NYJ,38,20
2015_12_OAK_TEN,OAK@TEN,21,24
2015_12_NYG_WAS,NYG@WAS,20,14
2015_12_ARI_SF,ARI@SF,13,19
2015_12_PIT_SEA,PIT@SEA,39,30
2015_12_NE_DEN,NE@DEN,30,24
2015_12_BAL_CLE,BAL@CLE,27,33
