game_id,teams,home_score,away_score
2015_02_DEN_KC,DEN@KC,24,31
2015_02_NE_BUF,NE@BUF,32,40
2015_02_HOU_CAR,HOU@CAR,24,17
2015_02_ARI_CHI,ARI@CHI,23,48
2015_02_SD_CIN,SD@CIN,24,19
2015_02_TEN_CLE,TEN@CLE,28,14
2015_02_DET_MIN,DET@MIN,26,16
2015_02_TB_NO,TB@NO,19,26
2015_02_ATL_NYG,ATL@NYG,20,24
2015_02_SF_PIT,SF@PIT,43,18
2015_02_STL_WAS,STL@WAS,24,10
2015_02_MIA_JAX,MIA@JAX,23,20
2015_02_BAL_OAK,BAL@OAK,37,33
2015_02_DAL_PHI,DAL@PHI,10,20
2015_02_SEA_GB,SEA@GB,27,17
2015_02_NYJ_IND,NYJ@IND,7,20
