game_id,teams,home_score,away_score
2015_17_NO_ATL,NO@ATL,17,20
2015_17_NYJ_BUF,NYJ@BUF,22,17
2015_17_DET_CHI,DET@CHI,20,24
2015_17_BAL_CIN,BAL@CIN,24,16
2015_17_PIT_CLE,PIT@CLE,12,28
2015_17_WAS_DAL,WAS@DAL,23,34
2015_17_JAX_HOU,JAX@HOU,30,6
2015_17_TEN_IND,TEN@IND,30,24
2015_17_NE_MIA,NE@MIA,20,10
2015_17_PHI_NYG,PHI@NYG,30,35
2015_17_SEA_ARI,SEA@ARI,6,36
2015_17_TB_CAR,TB@CAR,38,10
2015_17_SD_DEN,SD@DEN,27,20
2015_17_OAK_KC,OAK@KC,23,17
2015_17_STL_SF,STL@SF,19,16
2015_17_MIN_GB,MIN@GB,13,20
