game_id,teams,home_score,away_score
2015_01_PIT_NE,PIT@NE,28,21
2015_01_IND_BUF,IND@BUF,27,14
2015_01_GB_CHI,GB@CHI,23,31
2015_01_KC_HOU,KC@HOU,20,27
2015_01_CAR_JAX,CAR@JAX,9,20
2015_01_CLE_NYJ,CLE@NYJ,31,10
2015_01_SEA_STL,SEA@STL,34,31
2015_01_MIA_WAS,MIA@WAS,10,17
2015_01_NO_ARI,NO@ARI,31,19
2015_01_DET_SD,DET@SD,33,28
2015_01_BAL_DEN,BAL@DEN,19,13
2015_01_CIN_OAK,CIN@OAK,13,33
2015_01_TEN_TB,TEN@TB,14,42
2015_01_NYG_DAL,NYG@DAL,27,26
2015_01_PHI_ATL,PHI@ATL,26,24
2015_01_MIN_SF,MIN@SF,20,3
