game_id,teams,home_score,away_score
2024_13_CHI_DET,CHI@DET,23,20
2024_13_NYG_DAL,NYG@DAL,27,20
2024_13_MIA_GB,MIA@GB,30,17
2024_13_LV_KC,LV@KC,19,17
2024_13_LAC_ATL,LAC@ATL,13,17
2024_13_PIT_CIN,PIT@CIN,38,44
2024_13_HOU_JAX,HOU@JAX,20,23
2024_13_ARI_MIN,ARI@MIN,23,22
2024_13_IND_NE,IND@NE,24,25
2024_13_SEA_NYJ,SEA@NYJ,21,26
2024_13_TEN_WAS,TEN@WAS,42,19
2024_13_TB_CAR,TB@CAR,23,26
2024_13_LA_NO,LA@NO,14,21
2024_13_PHI_BAL,PHI@BAL,19,24
2024_13_SF_BUF,SF@BUF,35,10
2024_13_CLE_DEN,CLE@DEN,41,32
