game_id,market_moneyline_home,market_moneyline_away
2025_04_SEA_ARI,105,-125
2025_04_MIN_PIT,124,-148
2025_04_WAS_ATL,-142,120
2025_04_NO_BUF,-1350,800
2025_04_CLE_DET,-550,410
2025_04_TEN_HOU,-440,340
2025_04_CAR_NE,-265,215
2025_04_LAC_NYG,230,-285
2025_04_PHI_TB,154,-185
2025_04_IND_LA,-185,154
2025_04_JAX_SF,-180,150
2025_04_BAL_KC,124,-148
2025_04_CHI_LV,-125,105
2025_04_GB_DAL,275,-345
2025_04_NYJ_MIA,-148,124
2025_04_CIN_DEN,-470,360
