"Team Details","","","","","","","Passing","","","","","","Rushing","","","","Receiving","","","","","FPTS",""
"Rank","Name","POS","G","Season","Location","Team Name","DB","ATT","CMP","YDS","TD","RATE","ATT","YDS","YPC","TD","TGT","REC","YDS","YPT","TD","FP/G","FP"
"1","Cincinnati Bengals","RB","9","2025","Cincinnati","Bengals","2","2","2","7","2","120.8","231","1266","5.48","9","53","45","390","7.36","4","33.2","298.9"
"2","New York Giants","RB","9","2025","New York","Giants","0","0","0","0","0","","185","1089","5.89","8","47","40","292","6.21","3","27.0","243.1"
"3","Dallas Cowboys","RB","9","2025","Dallas","Cowboys","0","0","0","0","0","","203","993","4.89","7","49","43","410","8.37","2","26.3","236.3"
"4","Baltimore Ravens","RB","8","2025","Baltimore","Ravens","0","0","0","0","0","","171","785","4.59","8","51","40","306","6.00","2","26.1","209.1"
"5","Tennessee Titans","RB","9","2025","Tennessee","Titans","0","0","0","0","0","","209","1029","4.92","12","38","29","185","4.87","2","25.9","233.4"
"6","Miami Dolphins","RB","9","2025","Miami","Dolphins","0","0","0","0","0","","212","1073","5.06","6","47","42","344","7.32","1","25.1","225.7"
"7","Buffalo Bills","RB","8","2025","Buffalo","Bills","0","0","0","0","0","","168","861","5.13","10","41","29","163","3.98","0","23.7","189.4"
"8","Tampa Bay Buccaneers","RB","8","2025","Tampa Bay","Buccaneers","0","0","0","0","0","","146","570","3.90","6","46","41","457","9.93","1","23.2","185.7"
"9","Atlanta Falcons","RB","8","2025","Atlanta","Falcons","0","0","0","0","0","","187","806","4.31","4","44","35","226","5.14","4","23.2","185.2"
"10","Chicago Bears","RB","8","2025","Chicago","Bears","0","0","0","0","0","","164","824","5.02","5","42","34","234","5.57","3","23.1","184.8"
"11","Philadelphia Eagles","RB","8","2025","Philadelphia","Eagles","0","0","0","0","0","","171","706","4.13","7","35","28","279","7.97","3","23.1","184.5"
"12","Las Vegas Raiders","RB","8","2025","Las Vegas","Raiders","0","0","0","0","0","","174","692","3.98","9","46","38","204","4.43","0","23.0","183.6"
"13","New York Jets","RB","8","2025","New York","Jets","0","0","0","0","0","","196","866","4.42","6","31","24","170","5.48","3","22.7","181.6"
"14","New Orleans Saints","RB","9","2025","New Orleans","Saints","0","0","0","0","0","","237","988","4.17","7","36","31","218","6.06","2","22.6","203.6"
"15","San Francisco 49ers","RB","9","2025","San Francisco","49ers","0","0","0","0","0","","190","788","4.15","4","56","48","303","5.41","3","21.9","197.1"
"16","Carolina Panthers","RB","9","2025","Carolina","Panthers","0","0","0","0","0","","179","872","4.87","6","50","40","230","4.60","1","21.2","191.2"
"17","Washington Commanders","RB","9","2025","Washington","Commanders","0","0","0","0","0","","209","859","4.11","5","36","29","330","9.17","2","21.1","189.9"
"18","Los Angeles Chargers","RB","9","2025","Los Angeles","Chargers","0","0","0","0","0","","152","756","4.97","8","49","38","265","5.41","0","21.0","189.1"
"19","Arizona Cardinals","RB","8","2025","Arizona","Cardinals","0","0","0","0","0","","160","691","4.32","6","41","33","220","5.37","1","20.5","164.1"
"20","Seattle Seahawks","RB","8","2025","Seattle","Seahawks","0","0","0","0","0","","159","505","3.18","3","59","46","330","5.59","2","19.9","159.5"
"21","Minnesota Vikings","RB","8","2025","Minnesota","Vikings","0","0","0","0","0","","203","823","4.05","5","41","31","175","4.27","0","19.9","158.8"
"22","Houston Texans","RB","8","2025","Houston","Texans","0","0","0","0","0","","156","595","3.81","7","38","29","207","5.45","1","19.7","157.2"
"23","Pittsburgh Steelers","RB","8","2025","Pittsburgh","Steelers","0","0","0","0","0","","169","727","4.30","3","43","37","243","5.65","1","19.4","155.0"
"24","Indianapolis Colts","RB","9","2025","Indianapolis","Colts","0","0","0","0","0","","163","638","3.91","6","55","40","272","4.95","1","19.1","172.0"
"25","Jacksonville Jaguars","RB","8","2025","Jacksonville","Jaguars","0","0","0","0","0","","147","535","3.64","2","46","35","311","6.76","3","18.7","149.6"
"26","Kansas City Chiefs","RB","9","2025","Kansas City","Chiefs","0","0","0","0","0","","158","699","4.42","4","45","38","303","6.73","1","18.7","168.2"
"27","Green Bay Packers","RB","8","2025","Green Bay","Packers","0","0","0","0","0","","158","633","4.01","4","49","41","180","3.67","0","18.4","147.3"
"28","Denver Broncos","RB","9","2025","Denver","Broncos","0","0","0","0","0","","185","714","3.86","4","30","22","274","9.13","3","18.0","161.8"
"29","New England Patriots","RB","9","2025","New England","Patriots","0","0","0","0","0","","156","484","3.10","2","62","53","354","5.71","1","17.2","154.8"
"30","Detroit Lions","RB","8","2025","Detroit","Lions","1","1","0","0","0","39.6","135","575","4.26","4","47","37","193","4.11","0","17.0","135.8"
"31","Cleveland Browns","RB","8","2025","Cleveland","Browns","1","1","1","32","1","158.3","168","618","3.68","3","41","30","144","3.51","0","15.8","126.5"
"32","Los Angeles Rams","RB","8","2025","Los Angeles","Rams","0","0","0","0","0","","155","589","3.80","0","39","30","183","4.69","1","13.9","111.2"

"Rank","Rank, Most to Least"
"Name","Team"
"POS","Player Position"
"G","Games Played"
"DB","Dropbacks"
"ATT","Passing Attempts"
"CMP","Passing Completions"
"YDS","Passing Yards"
"TD","Passing Touchdowns"
"RATE","QB Passer Rating"
"ATT","Rushing Attempts"
"YDS","Rushing Yards"
"YPC","Rushing Yards per Carry"
"TD","Rushing Touchdowns"
"TGT","Targets"
"REC","Receptions"
"YDS","Receiving Yards"
"YPT","Yards per Target"
"TD","Receiving Touchdowns"
"FP/G","Fantasy Points per Game"
"FP","Fantasy Points"
