"Team Details","","","","","","","Passing","","","","","","Rushing","","","","Receiving","","","","","FPTS",""
"Rank","Name","POS","G","Season","Location","Team Name","DB","ATT","CMP","YDS","TD","RATE","ATT","YDS","YPC","TD","TGT","REC","YDS","YPT","TD","FP/G","FP"
"1","Dallas Cowboys","WR","16","2025","Dallas","Cowboys","1","0","0","0","0","","20","116","5.80","0","277","194","2771","10.00","26","40.0","639.7"
"2","Indianapolis Colts","WR","16","2025","Indianapolis","Colts","0","0","0","0","0","","12","41","3.42","1","335","219","2744","8.19","14","36.8","589.5"
"3","Detroit Lions","WR","16","2025","Detroit","Lions","1","1","1","33","1","158.3","12","132","11.00","1","303","187","2562","8.46","20","36.7","586.7"
"4","Baltimore Ravens","WR","16","2025","Baltimore","Ravens","0","0","0","0","0","","13","100","7.69","0","329","208","2742","8.33","15","36.2","579.2"
"5","Washington Commanders","WR","16","2025","Washington","Commanders","0","0","0","0","0","","14","108","7.71","0","290","195","2621","9.04","17","35.6","568.9"
"6","Tennessee Titans","WR","16","2025","Tennessee","Titans","0","0","0","0","0","","8","65","8.13","1","264","190","2622","9.93","17","35.3","564.7"
"7","Chicago Bears","WR","16","2025","Chicago","Bears","0","0","0","0","0","","21","114","5.43","1","257","167","2438","9.49","21","35.0","560.2"
"8","Pittsburgh Steelers","WR","16","2025","Pittsburgh","Steelers","0","0","0","0","0","","3","18","6.00","0","318","207","2598","8.17","14","34.7","554.6"
"9","New York Giants","WR","16","2025","New York","Giants","0","0","0","0","0","","8","66","8.25","1","293","190","2499","8.53","16","34.5","552.5"
"10","Las Vegas Raiders","WR","16","2025","Las Vegas","Raiders","1","0","0","0","0","","9","33","3.67","0","286","203","2422","8.47","16","34.0","543.5"
"11","Los Angeles Rams","WR","16","2025","Los Angeles","Rams","0","0","0","0","0","","14","88","6.29","0","310","197","2464","7.95","15","33.8","540.2"
"12","Atlanta Falcons","WR","16","2025","Atlanta","Falcons","0","0","0","0","0","","9","57","6.33","0","278","177","2315","8.33","19","33.2","531.2"
"13","San Francisco 49ers","WR","16","2025","San Francisco","49ers","0","0","0","0","0","","7","25","3.57","0","286","195","2419","8.46","15","33.0","527.4"
"14","Jacksonville Jaguars","WR","16","2025","Jacksonville","Jaguars","0","0","0","0","0","","7","8","1.14","0","329","203","2261","6.87","14","32.2","515.9"
"15","Green Bay Packers","WR","16","2025","Green Bay","Packers","0","0","0","0","0","","10","44","4.40","0","261","175","2138","8.19","18","31.4","502.2"
"16","Tampa Bay Buccaneers","WR","16","2025","Tampa Bay","Buccaneers","0","0","0","0","0","","5","30","6.00","0","296","183","2313","7.81","13","30.8","493.3"
"17","New York Jets","WR","16","2025","New York","Jets","0","0","0","0","0","","19","116","6.11","1","263","171","2222","8.45","14","30.7","491.8"
"18","Arizona Cardinals","WR","16","2025","Arizona","Cardinals","0","0","0","0","0","","7","34","4.86","0","270","178","2229","8.26","13","30.1","482.3"
"19","Miami Dolphins","WR","16","2025","Miami","Dolphins","0","0","0","0","0","","8","38","4.75","0","251","171","2034","8.10","17","30.0","479.2"
"20","New England Patriots","WR","16","2025","New England","Patriots","2","1","0","0","0","39.6","14","127","9.07","1","247","160","1938","7.85","16","29.2","467.5"
"21","Kansas City Chiefs","WR","16","2025","Kansas City","Chiefs","0","0","0","0","0","","8","42","5.25","0","274","185","2137","7.80","10","29.1","464.9"
"22","Carolina Panthers","WR","16","2025","Carolina","Panthers","0","0","0","0","0","","9","15","1.67","1","264","168","2073","7.85","11","28.0","447.8"
"23","Los Angeles Chargers","WR","16","2025","Los Angeles","Chargers","1","1","1","8","0","100.0","7","31","4.43","0","281","171","2121","7.55","10","28.0","447.5"
"24","New Orleans Saints","WR","16","2025","New Orleans","Saints","0","0","0","0","0","","8","16","2.00","0","244","158","1957","8.02","15","27.7","443.3"
"25","Philadelphia Eagles","WR","16","2025","Philadelphia","Eagles","0","0","0","0","0","","15","71","4.73","0","296","171","2241","7.57","6","27.5","439.2"
"26","Denver Broncos","WR","16","2025","Denver","Broncos","0","0","0","0","0","","11","21","1.91","0","306","187","2129","6.96","6","27.3","437.0"
"27","Buffalo Bills","WR","16","2025","Buffalo","Bills","2","1","0","0","0","","25","112","4.48","1","244","155","1911","7.83","12","27.1","434.3"
"28","Seattle Seahawks","WR","16","2025","Seattle","Seahawks","0","0","0","0","0","","9","31","3.44","1","287","166","1840","6.41","12","27.1","433.1"
"29","Cincinnati Bengals","WR","16","2025","Cincinnati","Bengals","1","1","1","2","1","118.8","10","110","11.00","3","229","143","1907","8.33","9","26.2","419.8"
"30","Minnesota Vikings","WR","16","2025","Minnesota","Vikings","0","0","0","0","0","","11","51","4.64","0","217","146","1948","8.98","9","24.9","398.9"
"31","Cleveland Browns","WR","16","2025","Cleveland","Browns","0","0","0","0","0","","14","44","3.14","0","224","136","1689","7.54","15","24.8","397.3"
"32","Houston Texans","WR","16","2025","Houston","Texans","1","1","0","0","0","","10","12","1.20","0","260","149","1979","7.61","8","24.8","396.1"

"Rank","Rank, Most to Least"
"Name","Team"
"POS","Player Position"
"G","Games Played"
"DB","Dropbacks"
"ATT","Passing Attempts"
"CMP","Passing Completions"
"YDS","Passing Yards"
"TD","Passing Touchdowns"
"RATE","QB Passer Rating"
"ATT","Rushing Attempts"
"YDS","Rushing Yards"
"YPC","Rushing Yards per Carry"
"TD","Rushing Touchdowns"
"TGT","Targets"
"REC","Receptions"
"YDS","Receiving Yards"
"YPT","Yards per Target"
"TD","Receiving Touchdowns"
"FP/G","Fantasy Points per Game"
"FP","Fantasy Points"
