"Team Details","","","","","","","Passing","","","","","","Rushing","","","","Receiving","","","","","FPTS",""
"Rank","Name","POS","G","Season","Location","Team Name","DB","ATT","CMP","YDS","TD","RATE","ATT","YDS","YPC","TD","TGT","REC","YDS","YPT","TD","FP/G","FP"
"1","Cincinnati Bengals","TE","9","2025","Cincinnati","Bengals","1","1","0","0","0","39.6","1","3","3.00","0","87","61","722","8.30","12","22.8","205.5"
"2","Jacksonville Jaguars","TE","9","2025","Jacksonville","Jaguars","0","0","0","0","0","","1","6","6.00","0","84","62","653","7.77","7","18.8","168.9"
"3","Miami Dolphins","TE","10","2025","Miami","Dolphins","0","0","0","0","0","","3","7","2.33","0","78","63","714","9.15","7","17.6","176.1"
"4","Seattle Seahawks","TE","9","2025","Seattle","Seahawks","0","0","0","0","0","","0","0","","0","84","64","656","7.81","4","17.3","155.6"
"5","Pittsburgh Steelers","TE","9","2025","Pittsburgh","Steelers","0","0","0","0","0","","1","2","2.00","0","72","55","613","8.51","6","16.9","152.5"
"6","Indianapolis Colts","TE","10","2025","Indianapolis","Colts","0","0","0","0","0","","1","4","4.00","0","84","63","726","8.64","5","16.8","168.0"
"7","Carolina Panthers","TE","10","2025","Carolina","Panthers","1","1","0","0","0","39.6","7","20","2.86","0","70","56","704","10.06","5","15.8","158.4"
"8","New England Patriots","TE","10","2025","New England","Patriots","0","0","0","0","0","","2","3","1.50","1","81","61","654","8.07","4","15.6","155.7"
"9","Washington Commanders","TE","10","2025","Washington","Commanders","0","0","0","0","0","","1","1","1.00","1","63","50","595","9.44","6","15.4","153.6"
"10","Chicago Bears","TE","9","2025","Chicago","Bears","0","0","0","0","0","","2","-4","-2.00","0","70","60","546","7.80","4","15.4","138.2"
"11","Minnesota Vikings","TE","9","2025","Minnesota","Vikings","0","0","0","0","0","","1","2","2.00","0","66","52","501","7.59","6","15.3","137.3"
"12","Green Bay Packers","TE","9","2025","Green Bay","Packers","0","0","0","0","0","","0","0","","0","77","60","453","5.88","5","15.0","135.3"
"13","Los Angeles Rams","TE","9","2025","Los Angeles","Rams","1","1","0","0","0","39.6","9","35","3.89","1","65","50","431","6.63","5","14.7","132.6"
"14","New York Jets","TE","9","2025","New York","Jets","0","0","0","0","0","","1","7","7.00","0","64","47","406","6.34","7","14.5","130.3"
"15","San Francisco 49ers","TE","10","2025","San Francisco","49ers","0","0","0","0","0","","1","2","2.00","0","78","54","505","6.47","6","14.1","140.7"
"16","Arizona Cardinals","TE","9","2025","Arizona","Cardinals","0","0","0","0","0","","2","3","1.50","0","75","54","550","7.33","3","14.0","126.3"
"17","New Orleans Saints","TE","10","2025","New Orleans","Saints","0","0","0","0","0","","0","0","","0","69","55","541","7.84","5","13.9","139.1"
"18","Dallas Cowboys","TE","9","2025","Dallas","Cowboys","0","0","0","0","0","","0","0","","0","68","54","500","7.35","3","13.8","124.0"
"19","Detroit Lions","TE","9","2025","Detroit","Lions","0","0","0","0","0","","2","4","2.00","0","61","44","456","7.48","5","13.3","120.0"
"20","New York Giants","TE","10","2025","New York","Giants","1","1","1","19","0","118.8","7","-4","-0.57","0","73","54","487","6.67","4","12.7","127.1"
"21","Baltimore Ravens","TE","9","2025","Baltimore","Ravens","0","0","0","0","0","","1","0","","0","56","49","497","8.88","2","12.3","110.7"
"22","Tampa Bay Buccaneers","TE","9","2025","Tampa Bay","Buccaneers","0","0","0","0","0","","2","6","3.00","0","61","46","386","6.33","4","12.1","109.2"
"23","Tennessee Titans","TE","9","2025","Tennessee","Titans","0","0","0","0","0","","0","0","","0","58","47","427","7.36","3","12.0","107.7"
"24","Cleveland Browns","TE","9","2025","Cleveland","Browns","0","0","0","0","0","","2","12","6.00","0","53","37","376","7.09","5","11.8","105.8"
"25","Denver Broncos","TE","10","2025","Denver","Broncos","0","0","0","0","0","","2","-4","-2.00","0","67","41","535","7.99","3","11.2","112.1"
"26","Kansas City Chiefs","TE","9","2025","Kansas City","Chiefs","0","0","0","0","0","","1","2","2.00","0","46","39","441","9.59","2","10.6","95.3"
"27","Los Angeles Chargers","TE","10","2025","Los Angeles","Chargers","0","0","0","0","0","","0","0","","0","52","38","379","7.29","4","10.0","99.9"
"28","Houston Texans","TE","9","2025","Houston","Texans","0","0","0","0","0","","1","2","2.00","0","50","35","315","6.30","3","9.2","82.7"
"29","Las Vegas Raiders","TE","9","2025","Las Vegas","Raiders","1","1","0","0","0","39.6","0","0","","0","48","33","375","7.81","2","9.2","82.5"
"30","Philadelphia Eagles","TE","9","2025","Philadelphia","Eagles","0","0","0","0","0","","0","0","","0","54","35","284","5.26","1","7.7","69.4"
"31","Atlanta Falcons","TE","9","2025","Atlanta","Falcons","0","0","0","0","0","","0","0","","0","39","25","275","7.05","1","6.7","60.5"
"32","Buffalo Bills","TE","9","2025","Buffalo","Bills","0","0","0","0","0","","1","2","2.00","0","32","23","242","7.56","1","6.2","55.4"

"Rank","Rank, Most to Least"
"Name","Team"
"POS","Player Position"
"G","Games Played"
"DB","Dropbacks"
"ATT","Passing Attempts"
"CMP","Passing Completions"
"YDS","Passing Yards"
"TD","Passing Touchdowns"
"RATE","QB Passer Rating"
"ATT","Rushing Attempts"
"YDS","Rushing Yards"
"YPC","Rushing Yards per Carry"
"TD","Rushing Touchdowns"
"TGT","Targets"
"REC","Receptions"
"YDS","Receiving Yards"
"YPT","Yards per Target"
"TD","Receiving Touchdowns"
"FP/G","Fantasy Points per Game"
"FP","Fantasy Points"
