"Team Details","","","","","","","Passing","","","","","","Rushing","","","","Receiving","","","","","FPTS",""
"Rank","Name","POS","G","Season","Location","Team Name","DB","ATT","CMP","YDS","TD","RATE","ATT","YDS","YPC","TD","TGT","REC","YDS","YPT","TD","FP/G","FP"
"1","Cincinnati Bengals","RB","5","2025","Cincinnati","Bengals","1","1","1","3","1","118.8","134","609","4.54","4","27","23","225","8.33","4","31.7","158.5"
"2","Baltimore Ravens","RB","5","2025","Baltimore","Ravens","0","0","0","0","0","","119","570","4.79","6","36","29","201","5.58","2","30.8","154.1"
"3","Chicago Bears","RB","4","2025","Chicago","Bears","0","0","0","0","0","","93","563","6.05","3","19","19","121","6.37","3","30.4","121.4"
"4","Tennessee Titans","RB","5","2025","Tennessee","Titans","0","0","0","0","0","","119","613","5.15","8","28","22","150","5.36","1","30.3","151.3"
"5","Miami Dolphins","RB","5","2025","Miami","Dolphins","0","0","0","0","0","","120","668","5.57","2","30","26","247","8.23","0","26.1","130.5"
"6","Dallas Cowboys","RB","5","2025","Dallas","Cowboys","0","0","0","0","0","","105","457","4.35","4","34","30","298","8.76","0","25.7","128.5"
"7","New York Giants","RB","5","2025","New York","Giants","0","0","0","0","0","","95","533","5.61","5","27","23","154","5.70","0","24.3","121.7"
"8","Philadelphia Eagles","RB","5","2025","Philadelphia","Eagles","0","0","0","0","0","","111","480","4.32","3","26","21","205","7.88","2","23.5","117.5"
"9","New Orleans Saints","RB","5","2025","New Orleans","Saints","0","0","0","0","0","","115","467","4.06","3","28","25","156","5.57","2","23.1","115.3"
"10","Buffalo Bills","RB","5","2025","Buffalo","Bills","0","0","0","0","0","","99","494","4.99","6","29","21","83","2.86","0","22.5","112.7"
"11","Las Vegas Raiders","RB","5","2025","Las Vegas","Raiders","0","0","0","0","0","","94","390","4.15","7","26","19","104","4.00","0","22.5","112.4"
"12","Seattle Seahawks","RB","5","2025","Seattle","Seahawks","0","0","0","0","0","","104","328","3.15","2","39","34","260","6.67","1","22.2","110.8"
"13","New York Jets","RB","5","2025","New York","Jets","0","0","0","0","0","","127","545","4.29","4","18","13","70","3.89","2","22.1","110.5"
"14","Pittsburgh Steelers","RB","4","2025","Pittsburgh","Steelers","0","0","0","0","0","","95","381","4.01","2","19","18","166","8.74","1","21.9","87.7"
"15","Minnesota Vikings","RB","5","2025","Minnesota","Vikings","0","0","0","0","0","","128","558","4.36","3","29","22","148","5.10","0","21.9","109.6"
"16","Arizona Cardinals","RB","5","2025","Arizona","Cardinals","0","0","0","0","0","","103","403","3.91","3","32","25","196","6.13","1","21.6","107.9"
"17","San Francisco 49ers","RB","5","2025","San Francisco","49ers","0","0","0","0","0","","107","454","4.24","2","33","27","133","4.03","2","21.5","107.7"
"18","Kansas City Chiefs","RB","5","2025","Kansas City","Chiefs","0","0","0","0","0","","89","433","4.87","3","28","24","163","5.82","1","21.5","107.6"
"19","Carolina Panthers","RB","5","2025","Carolina","Panthers","0","0","0","0","0","","95","454","4.78","3","27","24","151","5.59","1","21.5","107.5"
"20","Tampa Bay Buccaneers","RB","5","2025","Tampa Bay","Buccaneers","0","0","0","0","0","","93","338","3.63","3","25","21","257","10.28","1","20.9","104.5"
"21","Jacksonville Jaguars","RB","5","2025","Jacksonville","Jaguars","0","0","0","0","0","","88","344","3.91","2","34","24","217","6.38","2","20.8","104.1"
"22","Denver Broncos","RB","5","2025","Denver","Broncos","0","0","0","0","0","","90","411","4.57","1","18","16","231","12.83","2","19.4","97.2"
"23","Washington Commanders","RB","5","2025","Washington","Commanders","0","0","0","0","0","","117","399","3.41","3","25","20","189","7.56","0","19.4","96.8"
"24","Houston Texans","RB","5","2025","Houston","Texans","0","0","0","0","0","","102","389","3.81","5","21","16","103","4.90","0","19.0","95.2"
"25","Detroit Lions","RB","5","2025","Detroit","Lions","1","1","0","0","0","39.6","87","345","3.97","4","29","24","132","4.55","0","18.7","93.7"
"26","Green Bay Packers","RB","4","2025","Green Bay","Packers","0","0","0","0","0","","73","267","3.66","2","29","26","99","3.41","0","18.7","74.6"
"27","Los Angeles Chargers","RB","5","2025","Los Angeles","Chargers","0","0","0","0","0","","88","398","4.52","3","26","20","122","4.69","0","18.2","91.0"
"28","Indianapolis Colts","RB","5","2025","Indianapolis","Colts","0","0","0","0","0","","90","404","4.49","2","29","20","131","4.52","1","18.1","90.5"
"29","New England Patriots","RB","5","2025","New England","Patriots","0","0","0","0","0","","101","321","3.18","2","25","21","161","6.44","1","17.4","87.2"
"30","Cleveland Browns","RB","5","2025","Cleveland","Browns","1","1","1","32","1","158.3","101","312","3.09","3","24","17","86","3.58","0","15.6","78.1"
"31","Atlanta Falcons","RB","4","2025","Atlanta","Falcons","0","0","0","0","0","","74","318","4.30","1","17","13","39","2.29","1","14.9","59.7"
"32","Los Angeles Rams","RB","5","2025","Los Angeles","Rams","0","0","0","0","0","","103","360","3.50","0","24","20","128","5.33","1","14.8","73.8"

"Rank","Rank, Most to Least"
"Name","Team"
"POS","Player Position"
"G","Games Played"
"DB","Dropbacks"
"ATT","Passing Attempts"
"CMP","Passing Completions"
"YDS","Passing Yards"
"TD","Passing Touchdowns"
"RATE","QB Passer Rating"
"ATT","Rushing Attempts"
"YDS","Rushing Yards"
"YPC","Rushing Yards per Carry"
"TD","Rushing Touchdowns"
"TGT","Targets"
"REC","Receptions"
"YDS","Receiving Yards"
"YPT","Yards per Target"
"TD","Receiving Touchdowns"
"FP/G","Fantasy Points per Game"
"FP","Fantasy Points"
