"Team Details","","","","","","","Passing","","","","","","Rushing","","","","Receiving","","","","","FPTS",""
"Rank","Name","POS","G","Season","Location","Team Name","DB","ATT","CMP","YDS","TD","RATE","ATT","YDS","YPC","TD","TGT","REC","YDS","YPT","TD","FP/G","FP"
"1","Baltimore Ravens","RB","4","2025","Baltimore","Ravens","0","0","0","0","0","","94","464","4.94","5","34","29","201","5.91","2","34.4","137.5"
"2","Cincinnati Bengals","RB","4","2025","Cincinnati","Bengals","0","0","0","0","0","","104","490","4.71","3","24","20","186","7.75","3","30.9","123.6"
"3","Chicago Bears","RB","4","2025","Chicago","Bears","0","0","0","0","0","","93","563","6.05","3","19","19","121","6.37","3","30.4","121.4"
"4","Tennessee Titans","RB","4","2025","Tennessee","Titans","0","0","0","0","0","","94","470","5.00","6","22","16","115","5.23","1","29.1","116.5"
"5","New York Giants","RB","4","2025","New York","Giants","0","0","0","0","0","","77","465","6.04","5","20","18","118","5.90","0","26.6","106.3"
"6","Dallas Cowboys","RB","4","2025","Dallas","Cowboys","0","0","0","0","0","","90","339","3.77","4","26","23","228","8.77","0","25.9","103.7"
"7","Kansas City Chiefs","RB","4","2025","Kansas City","Chiefs","0","0","0","0","0","","73","378","5.18","3","23","20","149","6.48","1","24.2","96.7"
"8","New Orleans Saints","RB","4","2025","New Orleans","Saints","0","0","0","0","0","","94","388","4.13","3","20","18","107","5.35","2","24.1","96.5"
"9","Miami Dolphins","RB","4","2025","Miami","Dolphins","0","0","0","0","0","","93","440","4.73","1","25","22","212","8.48","0","23.6","94.2"
"10","Philadelphia Eagles","RB","4","2025","Philadelphia","Eagles","0","0","0","0","0","","87","389","4.47","2","20","16","166","8.30","2","23.4","93.5"
"11","Carolina Panthers","RB","4","2025","Carolina","Panthers","0","0","0","0","0","","82","440","5.37","3","20","18","121","6.05","0","22.8","91.1"
"12","Arizona Cardinals","RB","4","2025","Arizona","Cardinals","0","0","0","0","0","","84","319","3.80","2","28","22","185","6.61","1","22.6","90.4"
"13","Minnesota Vikings","RB","4","2025","Minnesota","Vikings","0","0","0","0","0","","99","434","4.38","3","24","18","104","4.33","0","22.2","88.8"
"14","Buffalo Bills","RB","4","2025","Buffalo","Bills","0","0","0","0","0","","80","435","5.44","4","23","16","62","2.70","0","22.2","88.7"
"15","Pittsburgh Steelers","RB","4","2025","Pittsburgh","Steelers","0","0","0","0","0","","95","381","4.01","2","19","18","166","8.74","1","21.9","87.7"
"16","Seattle Seahawks","RB","4","2025","Seattle","Seahawks","0","0","0","0","0","","87","284","3.26","0","32","27","234","7.31","1","21.2","84.8"
"17","Tampa Bay Buccaneers","RB","4","2025","Tampa Bay","Buccaneers","0","0","0","0","0","","74","216","2.92","2","22","19","245","11.14","1","20.8","83.1"
"18","New York Jets","RB","4","2025","New York","Jets","0","0","0","0","0","","107","403","3.77","3","16","12","66","4.13","1","20.7","82.9"
"19","Houston Texans","RB","4","2025","Houston","Texans","0","0","0","0","0","","83","345","4.16","4","17","14","89","5.24","0","20.4","81.4"
"20","New England Patriots","RB","4","2025","New England","Patriots","0","0","0","0","0","","82","261","3.18","2","24","21","161","6.71","1","20.3","81.2"
"21","Washington Commanders","RB","4","2025","Washington","Commanders","0","0","0","0","0","","96","324","3.38","3","17","12","160","9.41","0","19.6","78.4"
"22","Detroit Lions","RB","4","2025","Detroit","Lions","1","1","0","0","0","39.6","75","291","3.88","4","19","15","109","5.74","0","19.3","77.0"
"23","Denver Broncos","RB","4","2025","Denver","Broncos","0","0","0","0","0","","81","369","4.56","1","14","12","169","12.07","1","19.2","76.8"
"24","Green Bay Packers","RB","4","2025","Green Bay","Packers","0","0","0","0","0","","73","267","3.66","2","29","26","99","3.41","0","18.7","74.6"
"25","San Francisco 49ers","RB","4","2025","San Francisco","49ers","0","0","0","0","0","","92","376","4.09","2","21","19","67","3.19","0","18.6","74.3"
"26","Indianapolis Colts","RB","4","2025","Indianapolis","Colts","0","0","0","0","0","","69","315","4.57","2","23","15","89","3.87","1","18.1","72.4"
"27","Las Vegas Raiders","RB","4","2025","Las Vegas","Raiders","0","0","0","0","0","","70","296","4.23","3","21","16","84","4.00","0","18.0","72.0"
"28","Jacksonville Jaguars","RB","4","2025","Jacksonville","Jaguars","0","0","0","0","0","","73","255","3.49","0","27","17","157","5.81","2","17.6","70.2"
"29","Atlanta Falcons","RB","4","2025","Atlanta","Falcons","0","0","0","0","0","","74","318","4.30","1","17","13","39","2.29","1","14.9","59.7"
"30","Los Angeles Chargers","RB","4","2025","Los Angeles","Chargers","0","0","0","0","0","","68","274","4.03","1","22","17","71","3.23","0","14.9","59.5"
"31","Cleveland Browns","RB","4","2025","Cleveland","Browns","0","0","0","0","0","","83","242","2.92","2","20","14","82","4.10","0","14.6","58.4"
"32","Los Angeles Rams","RB","4","2025","Los Angeles","Rams","0","0","0","0","0","","76","291","3.83","0","16","12","46","2.88","0","11.2","44.7"

"Rank","Rank, Most to Least"
"Name","Team"
"POS","Player Position"
"G","Games Played"
"DB","Dropbacks"
"ATT","Passing Attempts"
"CMP","Passing Completions"
"YDS","Passing Yards"
"TD","Passing Touchdowns"
"RATE","QB Passer Rating"
"ATT","Rushing Attempts"
"YDS","Rushing Yards"
"YPC","Rushing Yards per Carry"
"TD","Rushing Touchdowns"
"TGT","Targets"
"REC","Receptions"
"YDS","Receiving Yards"
"YPT","Yards per Target"
"TD","Receiving Touchdowns"
"FP/G","Fantasy Points per Game"
"FP","Fantasy Points"
