"Team Details","","","","","","","Man/Zone","","","","Middle of Field Look (Closed/Open)","","","","Coverages","","","","","",""
"Rank","Name","G","Season","Location","Team Name","DB","MAN %","FP/DB","ZONE %","FP/DB","1-HI/MOF C %","FP/DB","2-HI/MOF O %","FP/DB","COVER 0 %","COVER 1 %","COVER 2 %","COVER 2 MAN %","COVER 3 %","COVER 4 %","COVER 6 %"
"1","Denver Broncos","1","2025","Denver","Broncos","46","34.8","0.20","60.9","0.45","56.5","0.25","43.5","0.47","6.5","26.1","6.5","0.0","26.1","19.6","8.7"
"2","Tampa Bay Buccaneers","1","2025","Tampa Bay","Buccaneers","45","24.4","0.62","71.1","0.50","46.7","0.70","53.3","0.51","6.7","13.3","15.6","2.2","33.3","15.6","6.7"
"3","Washington Commanders","1","2025","Washington","Commanders","44","40.9","0.54","56.8","0.52","68.2","0.57","31.8","0.41","0.0","40.9","11.4","0.0","27.3","11.4","6.8"
"4","Baltimore Ravens","1","2025","Baltimore","Ravens","44","15.9","-0.27","79.5","0.26","61.4","0.20","38.6","0.13","2.3","13.6","22.7","0.0","45.5","4.5","6.8"
"5","Houston Texans","1","2025","Houston","Texans","43","18.6","0.81","79.1","0.44","48.8","0.49","51.2","0.50","2.3","16.3","0.0","0.0","32.6","34.9","11.6"
"6","Los Angeles Rams","1","2025","Los Angeles","Rams","42","19.0","0.70","76.2","0.60","38.1","0.28","61.9","0.81","7.1","11.9","16.7","0.0","23.8","35.7","0.0"
"7","Chicago Bears","1","2025","Chicago","Bears","42","26.2","0.47","64.3","0.04","45.2","0.06","54.8","0.23","4.8","19.0","21.4","2.4","26.2","16.7","0.0"
"8","Jacksonville Jaguars","1","2025","Jacksonville","Jaguars","41","17.1","0.23","78.0","0.21","46.3","0.23","53.7","0.33","0.0","14.6","9.8","2.4","31.7","14.6","22.0"
"9","Carolina Panthers","1","2025","Carolina","Panthers","41","19.5","0.79","75.6","0.33","53.7","0.33","46.3","0.50","4.9","14.6","7.3","0.0","39.0","19.5","9.8"
"10","Detroit Lions","1","2025","Detroit","Lions","41","48.8","0.50","51.2","0.57","51.2","0.86","48.8","0.19","7.3","29.3","22.0","9.8","22.0","4.9","2.4"
"11","Minnesota Vikings","1","2025","Minnesota","Vikings","40","17.5","0.20","77.5","0.33","15.0","0.31","85.0","0.29","17.5","","50.0","0.0","15.0","5.0","7.5"
