"Team Details","","","","","","","Passing","","","","","","Rushing","","","","Receiving","","","","","FPTS",""
"Rank","Name","POS","G","Season","Location","Team Name","DB","ATT","CMP","YDS","TD","RATE","ATT","YDS","YPC","TD","TGT","REC","YDS","YPT","TD","FP/G","FP"
"1","Cincinnati Bengals","TE","16","2025","Cincinnati","Bengals","1","1","0","0","0","39.6","3","6","2.00","0","159","115","1438","9.04","16","22.2","355.4"
"2","Pittsburgh Steelers","TE","16","2025","Pittsburgh","Steelers","0","0","0","0","0","","1","2","2.00","0","131","102","1075","8.21","11","17.2","274.7"
"3","Miami Dolphins","TE","16","2025","Miami","Dolphins","0","0","0","0","0","","9","27","3.00","2","133","102","1073","8.07","8","16.9","271.0"
"4","Tampa Bay Buccaneers","TE","16","2025","Tampa Bay","Buccaneers","0","0","0","0","0","","5","-2","-0.40","0","122","96","926","7.59","11","15.9","254.4"
"5","Washington Commanders","TE","16","2025","Washington","Commanders","0","0","0","0","0","","1","1","1.00","1","104","80","989","9.51","11","15.8","253.0"
"6","Arizona Cardinals","TE","16","2025","Arizona","Cardinals","0","0","0","0","0","","2","3","1.50","0","126","98","1039","8.25","8","15.6","249.2"
"7","San Francisco 49ers","TE","16","2025","San Francisco","49ers","0","0","0","0","0","","2","2","1.00","0","136","95","944","6.94","10","15.5","247.6"
"8","Jacksonville Jaguars","TE","16","2025","Jacksonville","Jaguars","0","0","0","0","0","","2","8","4.00","0","139","101","988","7.11","8","15.5","247.6"
"9","Indianapolis Colts","TE","16","2025","Indianapolis","Colts","0","0","0","0","0","","6","8","1.33","0","131","97","1104","8.43","6","15.4","246.2"
"10","Seattle Seahawks","TE","16","2025","Seattle","Seahawks","0","0","0","0","0","","1","1","1.00","0","136","100","1051","7.73","6","15.2","243.2"
"11","New York Jets","TE","16","2025","New York","Jets","1","1","1","38","1","158.3","16","55","3.44","0","117","86","846","7.23","9","14.7","234.6"
"12","New England Patriots","TE","16","2025","New England","Patriots","0","0","0","0","0","","3","6","2.00","1","126","93","932","7.40","6","14.2","227.8"
"13","Denver Broncos","TE","16","2025","Denver","Broncos","0","0","0","0","0","","2","-4","-2.00","0","132","91","980","7.42","6","14.0","224.6"
"14","Chicago Bears","TE","16","2025","Chicago","Bears","0","0","0","0","0","","6","5","0.83","0","122","96","874","7.16","6","13.7","219.9"
"15","Tennessee Titans","TE","16","2025","Tennessee","Titans","0","0","0","0","0","","3","0","","0","107","84","874","8.17","7","13.3","213.4"
"16","Carolina Panthers","TE","16","2025","Carolina","Panthers","1","1","0","0","0","39.6","9","22","2.44","0","101","80","925","9.16","6","13.2","210.7"
"17","Cleveland Browns","TE","16","2025","Cleveland","Browns","0","0","0","0","0","","8","80","10.00","1","110","80","852","7.75","5","13.1","209.2"
"18","Detroit Lions","TE","16","2025","Detroit","Lions","0","0","0","0","0","","4","32","8.00","0","113","76","825","7.30","7","12.7","203.7"
"19","New Orleans Saints","TE","16","2025","New Orleans","Saints","0","0","0","0","0","","1","2","2.00","0","112","83","811","7.24","6","12.5","200.3"
"20","Dallas Cowboys","TE","16","2025","Dallas","Cowboys","0","0","0","0","0","","0","0","","0","111","88","841","7.58","4","12.4","198.1"
"21","Houston Texans","TE","16","2025","Houston","Texans","0","0","0","0","0","","2","2","1.00","0","108","79","727","6.73","8","12.4","197.9"
"22","Green Bay Packers","TE","16","2025","Green Bay","Packers","0","0","0","0","0","","1","0","","0","117","90","703","6.01","6","12.3","196.3"
"23","Los Angeles Rams","TE","16","2025","Los Angeles","Rams","1","1","0","0","0","39.6","12","37","3.08","1","108","80","667","6.18","6","12.2","194.4"
"24","New York Giants","TE","16","2025","New York","Giants","1","1","1","19","0","118.8","7","-4","-0.57","0","103","78","760","7.38","5","11.5","184.4"
"25","Minnesota Vikings","TE","16","2025","Minnesota","Vikings","0","0","0","0","0","","2","4","2.00","0","100","73","712","7.12","6","11.2","179.6"
"26","Kansas City Chiefs","TE","16","2025","Kansas City","Chiefs","0","0","0","0","0","","1","2","2.00","0","95","79","762","8.02","4","11.2","179.4"
"27","Baltimore Ravens","TE","16","2025","Baltimore","Ravens","0","0","0","0","0","","3","5","1.67","0","103","78","738","7.17","4","11.0","176.3"
"28","Los Angeles Chargers","TE","16","2025","Los Angeles","Chargers","0","0","0","0","0","","0","0","","0","87","67","672","7.72","6","10.6","170.2"
"29","Las Vegas Raiders","TE","16","2025","Las Vegas","Raiders","1","1","0","0","0","39.6","1","4","4.00","0","85","63","614","7.22","6","10.1","160.8"
"30","Atlanta Falcons","TE","16","2025","Atlanta","Falcons","2","2","0","0","0","39.6","10","17","1.70","0","94","66","723","7.69","3","10.0","160.0"
"31","Philadelphia Eagles","TE","16","2025","Philadelphia","Eagles","0","0","0","0","0","","1","1","1.00","0","96","63","491","5.11","3","8.1","130.2"
"32","Buffalo Bills","TE","16","2025","Buffalo","Bills","0","0","0","0","0","","2","3","1.50","1","72","46","504","7.00","4","8.0","128.7"

"Rank","Rank, Most to Least"
"Name","Team"
"POS","Player Position"
"G","Games Played"
"DB","Dropbacks"
"ATT","Passing Attempts"
"CMP","Passing Completions"
"YDS","Passing Yards"
"TD","Passing Touchdowns"
"RATE","QB Passer Rating"
"ATT","Rushing Attempts"
"YDS","Rushing Yards"
"YPC","Rushing Yards per Carry"
"TD","Rushing Touchdowns"
"TGT","Targets"
"REC","Receptions"
"YDS","Receiving Yards"
"YPT","Yards per Target"
"TD","Receiving Touchdowns"
"FP/G","Fantasy Points per Game"
"FP","Fantasy Points"
