"Team Details","","","","","","","Man/Zone","","","","Middle of Field Look (Closed/Open)","","","","Coverages","","","","","",""
"Rank","Name","G","Season","Location","Team Name","DB","MAN %","FP/DB","ZONE %","FP/DB","1-HI/MOF C %","FP/DB","2-HI/MOF O %","FP/DB","COVER 0 %","COVER 1 %","COVER 2 %","COVER 2 MAN %","COVER 3 %","COVER 4 %","COVER 6 %"
"1","Denver Broncos","1","2025","Denver","Broncos","53","22.6","0.25","66.0","0.19","43.4","0.26","56.6","0.11","7.5","13.2","18.9","1.9","26.4","15.1","5.7"
"2","Baltimore Ravens","1","2025","Baltimore","Ravens","50","34.0","0.29","60.0","0.42","66.0","0.25","34.0","0.56","4.0","30.0","10.0","0.0","32.0","8.0","10.0"
"3","Washington Commanders","1","2025","Washington","Commanders","45","26.7","0.20","68.9","0.33","44.4","0.23","55.6","0.33","0.0","26.7","0.0","0.0","15.6","37.8","15.6"
"4","Chicago Bears","1","2025","Chicago","Bears","45","53.3","0.50","37.8","0.25","64.4","0.42","35.6","0.26","6.7","42.2","20.0","4.4","15.6","2.2","0.0"
"5","Arizona Cardinals","1","2025","Arizona","Cardinals","42","14.3","0.71","76.2","0.57","45.2","0.45","54.8","0.79","2.4","11.9","0.0","0.0","31.0","40.5","4.8"
"6","Cleveland Browns","1","2025","Cleveland","Browns","42","19.0","1.24","78.6","0.37","33.3","0.85","66.7","0.34","4.8","11.9","35.7","0.0","21.4","11.9","9.5"
"7","Atlanta Falcons","1","2025","Atlanta","Falcons","42","11.9","0.76","81.0","0.38","50.0","0.64","50.0","0.44","0.0","11.9","0.0","0.0","31.0","38.1","11.9"
"8","Las Vegas Raiders","1","2025","Las Vegas","Raiders","40","32.5","0.09","65.0","0.16","45.0","0.03","55.0","0.21","5.0","25.0","27.5","2.5","20.0","17.5","0.0"
"9","Los Angeles Rams","1","2025","Los Angeles","Rams","40","22.5","0.07","70.0","0.47","27.5","0.21","72.5","0.58","2.5","12.5","35.0","7.5","15.0","17.5","2.5"
"10","Dallas Cowboys","1","2025","Dallas","Cowboys","40","40.0","0.47","55.0","0.52","65.0","0.61","35.0","0.24","2.5","37.5","25.0","0.0","25.0","5.0","0.0"
"11","Houston Texans","1","2025","Houston","Texans","38","15.8","0.24","68.4","0.47","47.4","0.53","50.0","0.47","0.0","15.8","23.7","0.0","23.7","13.2","7.9"
"12","New Orleans Saints","1","2025","New Orleans","Saints","37","21.6","0.17","75.7","0.32","62.2","0.36","37.8","0.15","2.7","16.2","2.7","2.7","45.9","13.5","13.5"
"13","Tennessee Titans","1","2025","Tennessee","Titans","36","22.2","0.70","75.0","0.52","47.2","0.30","52.8","0.99","2.8","19.4","22.2","0.0","27.8","25.0","0.0"
"14","Jacksonville Jaguars","1","2025","Jacksonville","Jaguars","35","25.7","0.19","74.3","0.10","48.6","0.19","51.4","0.06","5.7","20.0","11.4","0.0","28.6","20.0","14.3"
"15","Tampa Bay Buccaneers","1","2025","Tampa Bay","Buccaneers","35","17.1","0.71","74.3","0.46","65.7","0.44","34.3","0.63","2.9","11.4","17.1","0.0","48.6","8.6","0.0"
"16","Detroit Lions","1","2025","Detroit","Lions","35","8.6","0.25","85.7","0.36","45.7","0.18","54.3","0.67","0.0","8.6","31.4","0.0","37.1","17.1","0.0"
"17","Green Bay Packers","1","2025","Green Bay","Packers","34","17.6","0.27","76.5","0.33","47.1","0.36","52.9","0.19","2.9","14.7","29.4","0.0","32.4","8.8","5.9"
"18","Indianapolis Colts","1","2025","Indianapolis","Colts","34","17.6","0.31","70.6","0.30","55.9","0.58","44.1","0.18","5.9","11.8","20.6","0.0","35.3","8.8","5.9"
"19","Los Angeles Chargers","1","2025","Los Angeles","Chargers","33","24.2","0.31","66.7","0.37","39.4","0.47","60.6","0.23","15.2","9.1","27.3","0.0","30.3","9.1","0.0"
"20","Seattle Seahawks","1","2025","Seattle","Seahawks","32","31.3","0.20","65.6","0.25","40.6","0.13","59.4","0.23","0.0","28.1","12.5","0.0","12.5","18.8","21.9"
"21","Kansas City Chiefs","1","2025","Kansas City","Chiefs","31","35.5","0.18","64.5","0.14","51.6","0.24","48.4","0.07","6.5","22.6","25.8","6.5","25.8","6.5","6.5"
"22","Cincinnati Bengals","1","2025","Cincinnati","Bengals","30","26.7","0.03","73.3","0.25","60.0","0.11","40.0","0.30","3.3","20.0","13.3","0.0","40.0","0.0","20.0"
"23","New York Jets","1","2025","New York","Jets","30","30.0","1.53","66.7","0.67","63.3","0.93","36.7","0.87","10.0","20.0","16.7","0.0","46.7","0.0","3.3"
"24","San Francisco 49ers","1","2025","San Francisco","49ers","30","16.7","0.40","80.0","0.29","56.7","0.33","43.3","0.27","3.3","13.3","10.0","0.0","43.3","16.7","10.0"
"25","New England Patriots","1","2025","New England","Patriots","30","16.7","0.32","76.7","0.16","56.7","0.28","43.3","0.36","0.0","16.7","13.3","0.0","40.0","20.0","3.3"
"26","Philadelphia Eagles","1","2025","Philadelphia","Eagles","28","25.0","1.70","67.9","0.32","35.7","0.33","64.3","0.85","7.1","17.9","0.0","0.0","17.9","28.6","21.4"
"27","Miami Dolphins","1","2025","Miami","Dolphins","28","21.4","1.13","71.4","0.46","60.7","0.71","39.3","0.43","3.6","14.3","25.0","0.0","46.4","0.0","0.0"
"28","Carolina Panthers","1","2025","Carolina","Panthers","28","17.9","0.54","78.6","0.52","60.7","0.68","39.3","0.24","3.6","14.3","28.6","0.0","42.9","0.0","7.1"
"29","New York Giants","1","2025","New York","Giants","26","15.4","0.59","61.5","0.14","38.5","0.39","61.5","0.14","0.0","11.5","15.4","0.0","19.2","23.1","3.8"
"30","Buffalo Bills","1","2025","Buffalo","Bills","24","25.0","0.13","75.0","0.34","66.7","0.37","33.3","0.12","0.0","20.8","8.3","4.2","45.8","12.5","8.3"
"31","Pittsburgh Steelers","1","2025","Pittsburgh","Steelers","21","47.6","1.22","52.4","0.75","57.1","0.18","42.9","2.04","9.5","38.1","33.3","0.0","19.0","0.0","0.0"
"32","Minnesota Vikings","1","2025","Minnesota","Vikings","17","5.9","0.00","88.2","0.20","47.1","0.31","52.9","0.07","5.9","","17.6","0.0","47.1","11.8","11.8"

"Rank","Rank, Most to Least"
"Name","Team"
"G","Games Played"
"DB","Dropbacks"
"MAN %","Dropback Man Coverage Rate"
"FP/DB","Man Fantasy Points per Dropback"
"ZONE %","Zone Coverage Rate"
"FP/DB","Zone Fantasy Points per Dropback"
"1-HI/MOF C %","Single High Safety/Middle of Field Closed Rate"
"FP/DB","Single High Safety/Middle of Field Closed Fantasy Points per Dropback"
"2-HI/MOF O %","Two High Safety/Middle of Field Open Rate"
"FP/DB","Two High Safety/Middle of Field Open Fantasy Points per Dropback"
"COVER 0 %","Cover 0 Rate"
"COVER 1 %","Cover 1 Rate"
"COVER 2 %","Cover 2 Rate"
"COVER 2 MAN %","Cover 2 Man Rate"
"COVER 3 %","Cover 3 Rate"
"COVER 4 %","Cover 4 Rate"
"COVER 6 %","Cover 6 Rate"
