"Team Details","","","","","","","Passing","","","","","","Rushing","","","","Receiving","","","","","FPTS",""
"Rank","Name","POS","G","Season","Location","Team Name","DB","ATT","CMP","YDS","TD","RATE","ATT","YDS","YPC","TD","TGT","REC","YDS","YPT","TD","FP/G","FP"
"1","Pittsburgh Steelers","WR","8","2025","Pittsburgh","Steelers","0","0","0","0","0","","1","1","1.00","0","183","129","1572","8.59","7","41.3","330.3"
"2","Dallas Cowboys","WR","9","2025","Dallas","Cowboys","0","0","0","0","0","","12","70","5.83","0","150","106","1535","10.23","16","40.5","364.5"
"3","Baltimore Ravens","WR","8","2025","Baltimore","Ravens","0","0","0","0","0","","11","84","7.64","0","164","111","1283","7.82","10","38.2","305.7"
"4","Chicago Bears","WR","8","2025","Chicago","Bears","0","0","0","0","0","","11","51","4.64","0","130","85","1289","9.92","13","37.9","303.0"
"5","Las Vegas Raiders","WR","8","2025","Las Vegas","Raiders","0","0","0","0","0","","7","37","5.29","0","157","112","1321","8.41","9","37.7","301.8"
"6","Washington Commanders","WR","9","2025","Washington","Commanders","0","0","0","0","0","","12","89","7.42","0","157","109","1542","9.82","11","37.5","337.1"
"7","New York Giants","WR","9","2025","New York","Giants","0","0","0","0","0","","5","49","9.80","1","176","117","1509","8.57","8","36.8","330.8"
"8","Indianapolis Colts","WR","9","2025","Indianapolis","Colts","0","0","0","0","0","","6","33","5.50","0","188","128","1429","7.60","9","36.4","327.2"
"9","Detroit Lions","WR","8","2025","Detroit","Lions","0","0","0","0","0","","3","31","10.33","0","149","89","1188","7.97","12","35.2","281.9"
"10","Tennessee Titans","WR","9","2025","Tennessee","Titans","0","0","0","0","0","","3","51","17.00","1","148","112","1467","9.91","8","35.2","316.8"
"11","Jacksonville Jaguars","WR","8","2025","Jacksonville","Jaguars","0","0","0","0","0","","1","9","9.00","0","156","95","1120","7.18","10","33.6","268.9"
"12","San Francisco 49ers","WR","9","2025","San Francisco","49ers","0","0","0","0","0","","3","11","3.67","0","167","114","1391","8.33","8","33.5","301.2"
"13","Los Angeles Rams","WR","8","2025","Los Angeles","Rams","0","0","0","0","0","","9","32","3.56","0","164","103","1269","7.74","5","32.6","261.1"
"14","Cleveland Browns","WR","8","2025","Cleveland","Browns","0","0","0","0","0","","10","27","2.70","0","123","84","1111","9.03","10","32.1","256.8"
"15","Green Bay Packers","WR","8","2025","Green Bay","Packers","0","0","0","0","0","","5","23","4.60","0","146","98","1111","7.61","7","31.9","255.4"
"16","Philadelphia Eagles","WR","8","2025","Philadelphia","Eagles","0","0","0","0","0","","9","42","4.67","0","164","98","1258","7.67","4","31.8","254.0"
"17","Tampa Bay Buccaneers","WR","8","2025","Tampa Bay","Buccaneers","0","0","0","0","0","","1","-3","-3.00","0","163","101","1182","7.25","6","31.7","253.9"
"18","Cincinnati Bengals","WR","9","2025","Cincinnati","Bengals","1","1","1","2","1","118.8","8","87","10.88","2","149","97","1265","8.49","6","31.6","284.3"
"19","Arizona Cardinals","WR","8","2025","Arizona","Cardinals","0","0","0","0","0","","5","14","2.80","0","161","106","1208","7.50","4","31.5","252.2"
"20","New Orleans Saints","WR","9","2025","New Orleans","Saints","0","0","0","0","0","","7","9","1.29","0","142","95","1220","8.59","11","31.4","282.9"
"21","New England Patriots","WR","9","2025","New England","Patriots","1","0","0","0","0","","8","73","9.13","0","138","92","1197","8.67","10","30.9","278.0"
"22","Buffalo Bills","WR","8","2025","Buffalo","Bills","1","1","0","0","0","","12","45","3.75","1","133","86","1129","8.49","6","30.6","244.4"
"23","New York Jets","WR","8","2025","New York","Jets","0","0","0","0","0","","9","31","3.44","1","131","84","1145","8.74","6","30.3","242.6"
"24","Seattle Seahawks","WR","8","2025","Seattle","Seahawks","0","0","0","0","0","","5","11","2.20","0","155","95","1057","6.82","6","29.9","238.8"
"25","Minnesota Vikings","WR","8","2025","Minnesota","Vikings","0","0","0","0","0","","5","28","5.60","0","111","75","1090","9.82","8","29.0","231.8"
"26","Atlanta Falcons","WR","8","2025","Atlanta","Falcons","0","0","0","0","0","","5","27","5.40","0","125","77","987","7.90","8","28.2","225.4"
"27","Carolina Panthers","WR","9","2025","Carolina","Panthers","0","0","0","0","0","","6","16","2.67","1","146","90","1130","7.74","5","26.6","239.6"
"28","Kansas City Chiefs","WR","9","2025","Kansas City","Chiefs","0","0","0","0","0","","3","6","2.00","0","142","101","1019","7.18","6","26.6","239.5"
"29","Denver Broncos","WR","9","2025","Denver","Broncos","0","0","0","0","0","","5","15","3.00","0","182","109","1161","6.38","2","26.4","237.6"
"30","Houston Texans","WR","8","2025","Houston","Texans","1","1","0","0","0","","5","-2","-0.40","0","141","80","1043","7.40","4","26.3","210.1"
"31","Los Angeles Chargers","WR","9","2025","Los Angeles","Chargers","1","1","1","8","0","100.0","3","8","2.67","0","157","94","1130","7.20","4","26.0","234.1"
"32","Miami Dolphins","WR","9","2025","Miami","Dolphins","0","0","0","0","0","","4","36","9.00","0","125","84","938","7.50","8","25.4","228.4"

"Rank","Rank, Most to Least"
"Name","Team"
"POS","Player Position"
"G","Games Played"
"DB","Dropbacks"
"ATT","Passing Attempts"
"CMP","Passing Completions"
"YDS","Passing Yards"
"TD","Passing Touchdowns"
"RATE","QB Passer Rating"
"ATT","Rushing Attempts"
"YDS","Rushing Yards"
"YPC","Rushing Yards per Carry"
"TD","Rushing Touchdowns"
"TGT","Targets"
"REC","Receptions"
"YDS","Receiving Yards"
"YPT","Yards per Target"
"TD","Receiving Touchdowns"
"FP/G","Fantasy Points per Game"
"FP","Fantasy Points"
