"29","Kyren Williams","LA","RB","12","2023","65.4","96.2","100.0","75.6","85.5","81.8","","","","","","63.6","95.2","91.8","79.5","79.1","93.4","","83.3"
"30","Jahan Dotson","WAS","WR","17","2023","89.2","81.8","94.1","75.7","80.3","80.0","83.6","88.4","75.3","95.1","77.9","85.3","81.5","","75.4","75.9","83.7","83.7","82.5"
"31","Jordan Addison","MIN","WR","17","2023","55.6","70.9","71.8","56.8","76.1","87.3","72.7","92.8","97.3","97.1","94.2","96.1","","95.8","91.0","37.3","92.3","92.9","82.1"
"32","Brandon Aiyuk","SF","WR","16","2023","84.8","51.9","","79.2","79.1","98.2","98.1","91.1","","66.7","88.1","89.2","86.0","90.6","83.3","95.6","86.8","36.2","81.7"
"33","Stefon Diggs","BUF","WR","17","2023","83.8","87.8","66.2","75.0","87.0","94.9","86.4","97.1","94.5","98.1","80.3","91.3","","79.5","47.7","59.6","66.2","88.3","81.6"
"34","Darius Slayton","NYG","WR","17","2023","69.2","80.6","84.8","87.8","67.6","89.0","83.1","98.6","82.3","80.0","51.9","58.0","","90.9","95.1","94.9","85.1","78.8","81.6"
"35","Gabe Davis","BUF","WR","17","2023","94.1","75.7","78.5","69.6","88.9","83.1","89.4","98.5","89.1","98.1","87.3","91.3","","82.2","72.3","84.6","91.2","22.1","81.5"
"36","David Njoku","CLV","TE","16","2023","72.2","85.2","76.1","67.7","","81.4","94.4","77.3","74.6","86.7","90.4","84.3","82.6","82.4","85.1","77.3","81.0","","81.3"
"37","Chris Godwin","TB","WR","17","2023","85.3","75.0","86.4","73.1","","83.3","75.4","85.5","87.3","77.0","85.1","83.9","84.5","83.6","80.0","79.5","82.0","76.6","81.2"
"38","Drake London","ATL","WR","16","2023","89.6","83.3","92.3","86.0","86.5","82.3","85.9","54.5","","78.5","","82.3","85.9","75.4","84.3","76.6","83.1","75.0","81.2"
"39","Michael Wilson","ARZ","WR","13","2023","87.9","45.0","67.9","72.7","75.4","89.0","83.9","87.3","","88.3","","","","","88.9","89.8","87.5","82.6","81.0"
"40","T.J. Hockenson","MIN","TE","15","2023","74.6","85.5","91.0","90.9","74.6","78.2","86.4","84.1","84.9","69.1","71.0","78.4","","94.4","89.6","43.1","","","80.3"
"41","Christian McCaffrey","SF","RB","16","2023","84.8","100.0","59.0","84.9","71.6","54.5","100.0","94.6","","76.7","88.1","76.9","87.7","88.7","75.9","100.0","52.9","","80.2"
"42","Saquon Barkley","NYG","RB","14","2023","67.7","97.0","","","","79.5","83.1","90.0","74.2","61.8","90.7","84.0","","90.9","49.2","89.8","89.6","69.7","79.9"
"43","Tyler Lockett","SEA","WR","17","2023","87.0","85.1","80.3","70.6","","77.1","70.7","83.6","89.4","78.4","57.1","96.3","87.5","80.0","76.3","79.7","81.6","77.4","79.6"
"44","Mike Williams","LAC","WR","3","2023","77.6","90.8","68.8","","","","","","","","","","","","","","","","79.0"
"45","Amari Cooper","CLV","WR","15","2023","65.3","74.1","79.1","81.5","","87.1","91.7","80.0","78.9","92.0","89.0","72.9","33.3","85.1","94.0","80.0","","","79.0"
"46","Rachaad White","TB","RB","17","2023","79.4","73.5","90.9","70.1","","79.6","76.9","80.6","81.0","72.1","80.6","89.3","86.2","83.6","81.7","68.5","74.0","76.6","78.7"
"47","Evan Engram","JAX","TE","17","2023","73.9","75.0","69.6","71.9","84.1","74.2","81.8","76.9","","85.2","66.7","69.1","85.3","89.2","83.6","90.2","66.1","90.9","78.4"
"48","K.J. Osborn","MIN","WR","16","2023","90.5","96.4","93.6","84.1","89.6","98.2","92.4","85.5","26.0","","95.7","84.3","","70.4","55.2","86.3","63.5","55.7","78.4"
"49","Mike Evans","TB","WR","17","2023","83.8","60.3","79.5","38.8","","79.6","78.5","87.1","82.5","73.8","79.1","91.1","84.5","92.5","85.0","76.7","80.0","85.9","78.4"
"50","Cole Kmet","CHI","TE","17","2023","97.1","66.7","78.4","80.0","82.8","95.4","89.9","82.5","82.8","92.9","77.5","88.2","","84.8","85.7","43.3","18.1","71.7","77.6"
