"Team Details","","","","","","","Man/Zone","","","","Middle of Field Look (Closed/Open)","","","","Coverages","","","","","",""
"Rank","Name","G","Season","Location","Team Name","DB","MAN %","FP/DB","ZONE %","FP/DB","1-HI/MOF C %","FP/DB","2-HI/MOF O %","FP/DB","COVER 0 %","COVER 1 %","COVER 2 %","COVER 2 MAN %","COVER 3 %","COVER 4 %","COVER 6 %"
"1","Pittsburgh Steelers","1","2025","Pittsburgh","Steelers","56","28.6","0.30","69.6","0.20","51.8","0.22","48.2","0.23","1.8","25.0","12.5","1.8","26.8","12.5","17.9"
"2","Chicago Bears","1","2025","Chicago","Bears","50","34.0","0.58","56.0","0.68","24.0","0.66","76.0","0.63","2.0","12.0","38.0","14.0","6.0","8.0","4.0"
"3","Arizona Cardinals","1","2025","Arizona","Cardinals","48","4.2","2.30","85.4","0.28","31.3","0.34","68.8","0.34","2.1","2.1","16.7","0.0","29.2","25.0","14.6"
"4","Denver Broncos","1","2025","Denver","Broncos","47","27.7","0.19","68.1","0.22","38.3","0.29","61.7","0.18","0.0","14.9","17.0","8.5","19.1","17.0","14.9"
"5","Cincinnati Bengals","1","2025","Cincinnati","Bengals","44","20.5","0.54","75.0","0.73","52.3","0.70","47.7","0.82","4.5","15.9","9.1","0.0","36.4","4.5","25.0"
"6","Baltimore Ravens","1","2025","Baltimore","Ravens","43","27.9","0.17","65.1","0.27","53.5","0.24","46.5","0.20","7.0","18.6","16.3","0.0","32.6","4.7","11.6"
"7","Jacksonville Jaguars","1","2025","Jacksonville","Jaguars","43","32.6","1.23","60.5","0.22","60.5","0.42","39.5","0.94","4.7","25.6","7.0","0.0","32.6","9.3","11.6"
"8","Minnesota Vikings","1","2025","Minnesota","Vikings","42","23.8","0.79","73.8","0.37","28.6","0.61","71.4","0.40","9.5","11.9","21.4","2.4","16.7","16.7","19.0"
"9","New England Patriots","1","2025","New England","Patriots","40","25.0","1.34","70.0","0.32","45.0","0.28","55.0","0.81","10.0","15.0","20.0","0.0","30.0","20.0","0.0"
"10","Atlanta Falcons","1","2025","Atlanta","Falcons","40","20.0","0.37","77.5","0.51","80.0","0.35","20.0","0.92","0.0","20.0","2.5","0.0","60.0","12.5","2.5"
"11","Las Vegas Raiders","1","2025","Las Vegas","Raiders","39","15.4","0.10","82.1","0.26","66.7","0.27","33.3","0.14","2.6","12.8","10.3","0.0","53.8","12.8","5.1"
"12","Indianapolis Colts","1","2025","Indianapolis","Colts","39","28.2","0.21","51.3","0.22","38.5","0.23","61.5","0.36","5.1","12.8","5.1","5.1","23.1","7.7","15.4"
"13","Houston Texans","1","2025","Houston","Texans","39","10.3","0.26","89.7","0.44","53.8","0.38","46.2","0.47","0.0","10.3","7.7","0.0","43.6","17.9","20.5"
