"Team Details","","","","","","","Passing","","","","","","Rushing","","","","Receiving","","","","","FPTS",""
"Rank","Name","POS","G","Season","Location","Team Name","DB","ATT","CMP","YDS","TD","RATE","ATT","YDS","YPC","TD","TGT","REC","YDS","YPT","TD","FP/G","FP"
"1","Dallas Cowboys","QB","15","2025","Dallas","Cowboys","566","500","344","4093","33","110.5","81","356","4.40","8","0","0","0","0.00","0","25.0","375.3"
"2","Tampa Bay Buccaneers","QB","15","2025","Tampa Bay","Buccaneers","585","511","341","3894","26","96.6","68","346","5.09","6","0","0","0","0.00","0","21.0","314.4"
"3","Cincinnati Bengals","QB","15","2025","Cincinnati","Bengals","533","471","313","3843","28","99.8","67","297","4.43","2","2","2","22","11.00","1","20.5","307.6"
"4","Pittsburgh Steelers","QB","15","2025","Pittsburgh","Steelers","639","572","368","4013","26","91.3","57","231","4.05","5","0","0","0","0.00","0","20.4","305.6"
"5","New York Giants","QB","15","2025","New York","Giants","562","495","321","3554","24","97.2","82","374","4.56","5","1","1","0","0.00","0","20.4","305.6"
"6","Washington Commanders","QB","15","2025","Washington","Commanders","527","463","310","3823","30","107.6","62","304","4.90","1","0","0","0","0.00","0","20.3","304.3"
"7","Detroit Lions","QB","15","2025","Detroit","Lions","573","504","312","3731","28","93.1","74","241","3.26","3","1","1","33","33.00","1","20.2","302.6"
"8","Tennessee Titans","QB","15","2025","Tennessee","Titans","529","455","308","3617","25","104.4","73","315","4.32","3","0","0","0","0.00","0","19.1","287.2"
"9","Miami Dolphins","QB","15","2025","Miami","Dolphins","514","449","321","3360","26","105.6","61","302","4.95","4","0","0","0","0.00","0","19.0","285.6"
"10","Chicago Bears","QB","15","2025","Chicago","Bears","512","458","304","3433","28","89.9","58","368","6.34","3","0","0","0","0.00","0","18.9","283.1"
"11","New York Jets","QB","15","2025","New York","Jets","519","460","291","3266","26","103.2","64","301","4.70","2","0","0","0","0.00","0","18.4","276.7"
"12","Jacksonville Jaguars","QB","15","2025","Jacksonville","Jaguars","634","571","359","3662","24","81.3","58","273","4.71","4","0","0","0","0.00","0","18.4","275.8"
"13","San Francisco 49ers","QB","15","2025","San Francisco","49ers","558","516","353","3582","27","100.6","52","197","3.79","1","0","0","0","0.00","0","17.9","268.0"
"14","Baltimore Ravens","QB","15","2025","Baltimore","Ravens","611","553","349","3813","21","88.5","69","228","3.30","3","1","1","-9","-9.00","0","17.8","266.4"
"15","Indianapolis Colts","QB","15","2025","Indianapolis","Colts","619","558","357","3994","23","89.3","50","165","3.30","0","0","0","0","0.00","0","17.3","259.3"
"16","Las Vegas Raiders","QB","15","2025","Las Vegas","Raiders","516","462","319","3291","23","98.7","76","214","2.82","4","2","2","11","5.50","0","17.3","259.1"
"17","Atlanta Falcons","QB","15","2025","Atlanta","Falcons","541","454","286","3245","24","91.0","63","311","4.94","2","0","0","0","0.00","0","17.3","258.9"
"18","Arizona Cardinals","QB","15","2025","Arizona","Cardinals","543","496","323","3540","25","94.5","62","167","2.69","2","0","0","0","0.00","0","17.0","255.3"
"19","Los Angeles Rams","QB","15","2025","Los Angeles","Rams","601","536","341","3591","23","85.7","50","234","4.68","1","0","0","0","0.00","0","16.7","251.0"
"20","New England Patriots","QB","15","2025","New England","Patriots","524","467","314","3220","24","96.8","54","266","4.93","1","1","0","0","0.00","0","16.6","248.4"
"21","Kansas City Chiefs","QB","15","2025","Kansas City","Chiefs","505","444","303","3200","17","94.2","73","270","3.70","5","1","0","0","0.00","0","16.3","244.0"
"22","Green Bay Packers","QB","15","2025","Green Bay","Packers","555","497","323","3170","23","92.4","42","179","4.26","2","0","0","0","0.00","0","16.2","242.7"
"23","Seattle Seahawks","QB","15","2025","Seattle","Seahawks","627","549","342","3438","20","80.1","47","244","5.19","2","0","0","0","0.00","0","16.1","241.9"
"24","Denver Broncos","QB","15","2025","Denver","Broncos","620","527","310","3404","17","81.7","60","231","3.85","3","0","0","0","0.00","0","15.7","235.3"
"25","Carolina Panthers","QB","15","2025","Carolina","Panthers","505","457","302","3307","18","88.6","59","213","3.61","3","0","0","0","0.00","0","15.3","229.6"
"26","New Orleans Saints","QB","15","2025","New Orleans","Saints","487","419","273","2905","22","93.8","68","276","4.06","1","0","0","0","0.00","0","15.1","225.8"
"27","Buffalo Bills","QB","15","2025","Buffalo","Bills","474","413","253","2724","17","82.2","49","356","7.27","4","1","0","0","0.00","0","14.8","221.6"
"28","Philadelphia Eagles","QB","15","2025","Philadelphia","Eagles","561","486","272","3083","13","74.6","66","328","4.97","4","0","0","0","0.00","0","14.7","221.1"
"29","Cleveland Browns","QB","15","2025","Cleveland","Browns","478","407","257","2784","21","90.2","62","183","2.95","1","0","0","0","0.00","0","13.9","208.7"
"30","Los Angeles Chargers","QB","15","2025","Los Angeles","Chargers","527","453","276","2921","14","74.4","61","267","4.38","4","0","0","0","0.00","0","13.8","206.5"
"31","Houston Texans","QB","15","2025","Houston","Texans","539","470","276","2964","17","75.2","43","276","6.42","0","1","1","-10","-10.00","0","13.3","199.2"
"32","Minnesota Vikings","QB","15","2025","Minnesota","Vikings","475","407","255","2790","14","88.2","51","237","4.65","1","0","0","0","0.00","0","12.8","191.3"

"Rank","Rank, Most to Least"
"Name","Team"
"POS","Player Position"
"G","Games Played"
"DB","Dropbacks"
"ATT","Passing Attempts"
"CMP","Passing Completions"
"YDS","Passing Yards"
"TD","Passing Touchdowns"
"RATE","QB Passer Rating"
"ATT","Rushing Attempts"
"YDS","Rushing Yards"
"YPC","Rushing Yards per Carry"
"TD","Rushing Touchdowns"
"TGT","Targets"
"REC","Receptions"
"YDS","Receiving Yards"
"YPT","Yards per Target"
"TD","Receiving Touchdowns"
"FP/G","Fantasy Points per Game"
"FP","Fantasy Points"
