"Team Details","","","","","","","Man/Zone","","","","Middle of Field Look (Closed/Open)","","","","Coverages","","","","","",""
"Rank","Name","G","Season","Location","Team Name","DB","MAN %","FP/DB","ZONE %","FP/DB","1-HI/MOF C %","FP/DB","2-HI/MOF O %","FP/DB","COVER 0 %","COVER 1 %","COVER 2 %","COVER 2 MAN %","COVER 3 %","COVER 4 %","COVER 6 %"
"1","Seattle Seahawks","1","2025","Seattle","Seahawks","54","24.1","0.54","64.8","0.34","51.9","0.11","48.1","0.63","1.9","13.0","1.9","0.0","31.5","13.0","18.5"
"2","Jacksonville Jaguars","1","2025","Jacksonville","Jaguars","49","16.3","-0.03","73.5","0.44","32.7","0.49","67.3","0.57","10.2","6.1","14.3","0.0","22.4","10.2","26.5"
"3","Baltimore Ravens","1","2025","Baltimore","Ravens","47","21.3","0.17","68.1","0.29","53.2","0.38","46.8","0.28","4.3","17.0","21.3","0.0","34.0","0.0","12.8"
"4","Miami Dolphins","1","2025","Miami","Dolphins","46","17.4","-0.02","80.4","0.57","56.5","0.31","43.5","0.65","4.3","13.0","23.9","0.0","43.5","6.5","6.5"
"5","New England Patriots","1","2025","New England","Patriots","45","22.2","0.10","71.1","0.41","51.1","0.23","48.9","0.80","2.2","20.0","17.8","0.0","31.1","22.2","0.0"
"6","New York Jets","1","2025","New York","Jets","43","48.8","0.31","48.8","0.44","44.2","0.43","55.8","0.50","2.3","27.9","7.0","14.0","16.3","18.6","7.0"
"7","Chicago Bears","1","2025","Chicago","Bears","43","44.2","0.25","55.8","0.34","58.1","0.33","41.9","0.27","9.3","32.6","18.6","0.0","25.6","11.6","0.0"
"8","Philadelphia Eagles","1","2025","Philadelphia","Eagles","42","9.5","0.04","83.3","0.23","42.9","0.14","57.1","0.25","0.0","9.5","2.4","0.0","28.6","7.1","45.2"
"9","New York Giants","1","2025","New York","Giants","41","26.8","1.43","68.3","0.33","61.0","0.61","39.0","0.62","2.4","24.4","9.8","0.0","36.6","14.6","7.3"
"10","Pittsburgh Steelers","1","2025","Pittsburgh","Steelers","40","47.5","0.54","52.5","0.20","72.5","0.41","27.5","0.23","0.0","45.0","12.5","2.5","27.5","10.0","2.5"
"11","Los Angeles Rams","1","2025","Los Angeles","Rams","39","17.9","0.97","79.5","0.41","38.5","0.67","61.5","0.57","2.6","15.4","28.2","0.0","23.1","17.9","10.3"
"12","Atlanta Falcons","1","2025","Atlanta","Falcons","39","23.1","0.32","76.9","0.48","59.0","0.28","41.0","0.68","0.0","23.1","5.1","0.0","35.9","25.6","10.3"
"13","San Francisco 49ers","1","2025","San Francisco","49ers","37","24.3","1.14","75.7","0.61","56.8","0.72","43.2","0.75","5.4","18.9","2.7","0.0","37.8","27.0","8.1"
"14","Tampa Bay Buccaneers","1","2025","Tampa Bay","Buccaneers","36","25.0","1.32","75.0","0.27","52.8","0.58","47.2","0.48","5.6","13.9","13.9","5.6","38.9","22.2","0.0"
"15","Denver Broncos","1","2025","Denver","Broncos","35","22.9","0.24","77.1","0.13","34.3","0.16","65.7","0.15","5.7","5.7","2.9","2.9","28.6","25.7","20.0"
"16","Washington Commanders","1","2025","Washington","Commanders","35","25.7","0.76","71.4","0.54","51.4","0.90","48.6","0.51","5.7","20.0","14.3","0.0","31.4","20.0","5.7"
"17","Los Angeles Chargers","1","2025","Los Angeles","Chargers","34","35.3","0.47","61.8","0.14","23.5","0.07","76.5","0.30","0.0","8.8","8.8","14.7","14.7","32.4","5.9"
"18","Minnesota Vikings","1","2025","Minnesota","Vikings","33","24.2","0.14","66.7","0.52","33.3","0.62","66.7","0.26","15.2","9.1","18.2","0.0","24.2","18.2","6.1"
"19","Houston Texans","1","2025","Houston","Texans","32","40.6","0.34","50.0","0.25","78.1","0.29","21.9","0.61","0.0","40.6","0.0","0.0","37.5","12.5","0.0"
"20","Indianapolis Colts","1","2025","Indianapolis","Colts","31","41.9","0.06","58.1","0.51","67.7","0.36","32.3","0.26","3.2","38.7","19.4","0.0","29.0","6.5","3.2"
"21","Carolina Panthers","1","2025","Carolina","Panthers","31","16.1","0.32","83.9","0.69","54.8","0.58","45.2","0.69","0.0","16.1","9.7","0.0","38.7","16.1","19.4"
"22","Las Vegas Raiders","1","2025","Las Vegas","Raiders","30","13.3","0.84","86.7","0.18","73.3","0.12","26.7","0.67","0.0","10.0","6.7","0.0","63.3","3.3","13.3"
"23","Green Bay Packers","1","2025","Green Bay","Packers","29","17.2","0.45","82.8","0.44","48.3","0.61","51.7","0.28","0.0","17.2","6.9","0.0","31.0","13.8","31.0"
"24","New Orleans Saints","1","2025","New Orleans","Saints","27","22.2","0.11","77.8","0.16","59.3","0.19","40.7","0.08","0.0","22.2","3.7","0.0","37.0","33.3","3.7"
"25","Detroit Lions","1","2025","Detroit","Lions","26","38.5","1.00","61.5","0.52","46.2","0.55","53.8","0.84","3.8","34.6","23.1","0.0","11.5","23.1","3.8"
"26","Buffalo Bills","1","2025","Buffalo","Bills","21","9.5","0.58","90.5","0.62","66.7","0.74","33.3","0.37","0.0","9.5","9.5","0.0","57.1","4.8","19.0"
"27","Cleveland Browns","1","2025","Cleveland","Browns","16","50.0","0.77","50.0","0.16","68.8","0.04","31.3","1.38","6.3","43.8","18.8","0.0","25.0","6.3","0.0"
"28","Arizona Cardinals","1","2025","Arizona","Cardinals","13","15.4","0.06","84.6","0.82","38.5","0.45","61.5","0.86","0.0","15.4","15.4","0.0","23.1","30.8","15.4"

"Rank","Rank, Most to Least"
"Name","Team"
"G","Games Played"
"DB","Dropbacks"
"MAN %","Dropback Man Coverage Rate"
"FP/DB","Man Fantasy Points per Dropback"
"ZONE %","Zone Coverage Rate"
"FP/DB","Zone Fantasy Points per Dropback"
"1-HI/MOF C %","Single High Safety/Middle of Field Closed Rate"
"FP/DB","Single High Safety/Middle of Field Closed Fantasy Points per Dropback"
"2-HI/MOF O %","Two High Safety/Middle of Field Open Rate"
"FP/DB","Two High Safety/Middle of Field Open Fantasy Points per Dropback"
"COVER 0 %","Cover 0 Rate"
"COVER 1 %","Cover 1 Rate"
"COVER 2 %","Cover 2 Rate"
"COVER 2 MAN %","Cover 2 Man Rate"
"COVER 3 %","Cover 3 Rate"
"COVER 4 %","Cover 4 Rate"
"COVER 6 %","Cover 6 Rate"
