"Team Details","","","","","","","Passing","","","","","","Rushing","","","","Receiving","","","","","FPTS",""
"Rank","Name","POS","G","Season","Location","Team Name","DB","ATT","CMP","YDS","TD","RATE","ATT","YDS","YPC","TD","TGT","REC","YDS","YPT","TD","FP/G","FP"
"1","Dallas Cowboys","QB","12","2025","Dallas","Cowboys","472","413","281","3234","28","109.0","67","301","4.49","6","0","0","0","0.00","0","25.4","304.5"
"2","New York Giants","QB","13","2025","New York","Giants","507","453","295","3183","23","98.0","67","314","4.69","4","1","1","0","0.00","0","21.4","277.7"
"3","Tampa Bay Buccaneers","QB","12","2025","Tampa Bay","Buccaneers","480","415","277","3186","21","95.5","57","271","4.75","4","0","0","0","0.00","0","20.6","247.5"
"4","Cincinnati Bengals","QB","12","2025","Cincinnati","Bengals","448","401","263","3182","23","98.5","51","191","3.75","1","2","2","22","11.00","1","20.5","245.6"
"5","Detroit Lions","QB","12","2025","Detroit","Lions","433","378","230","2721","24","94.0","68","216","3.18","3","1","1","33","33.00","1","20.4","244.7"
"6","Washington Commanders","QB","12","2025","Washington","Commanders","417","373","252","3229","23","108.3","38","184","4.84","1","0","0","0","0.00","0","20.1","241.6"
"7","Pittsburgh Steelers","QB","12","2025","Pittsburgh","Steelers","507","455","293","3177","20","90.3","48","188","3.92","4","0","0","0","0.00","0","20.0","239.9"
"8","Chicago Bears","QB","12","2025","Chicago","Bears","413","374","252","2824","24","92.1","43","294","6.84","3","0","0","0","0.00","0","19.9","239.4"
"9","Miami Dolphins","QB","12","2025","Miami","Dolphins","408","355","257","2654","20","107.6","58","296","5.10","4","0","0","0","0.00","0","19.6","235.8"
"10","Jacksonville Jaguars","QB","12","2025","Jacksonville","Jaguars","505","455","286","2929","22","85.5","45","214","4.76","3","0","0","0","0.00","0","19.5","233.6"
"11","Tennessee Titans","QB","12","2025","Tennessee","Titans","414","359","248","2832","19","104.4","60","227","3.78","2","0","0","0","0.00","0","18.2","219.0"
"12","San Francisco 49ers","QB","13","2025","San Francisco","49ers","491","451","312","3135","23","101.1","51","195","3.82","1","0","0","0","0.00","0","18.1","234.9"
"13","Baltimore Ravens","QB","12","2025","Baltimore","Ravens","482","436","270","2924","18","88.7","55","198","3.60","2","0","0","0","0.00","0","17.6","211.8"
"14","New York Jets","QB","12","2025","New York","Jets","407","358","226","2501","19","101.5","51","246","4.82","1","0","0","0","0.00","0","17.2","206.6"
"15","Las Vegas Raiders","QB","12","2025","Las Vegas","Raiders","415","371","250","2684","19","96.5","61","151","2.48","3","2","2","11","5.50","0","17.2","206.6"
"16","Atlanta Falcons","QB","12","2025","Atlanta","Falcons","434","359","231","2516","18","91.2","57","282","4.95","2","0","0","0","0.00","0","17.0","203.8"
"17","Kansas City Chiefs","QB","12","2025","Kansas City","Chiefs","406","356","248","2559","13","94.1","65","256","3.94","5","1","0","0","0.00","0","16.8","202.0"
"18","Philadelphia Eagles","QB","12","2025","Philadelphia","Eagles","465","412","233","2742","12","78.6","52","256","4.92","4","0","0","0","0.00","0","16.7","200.3"
"19","New England Patriots","QB","13","2025","New England","Patriots","469","419","279","2861","21","94.8","39","209","5.36","1","1","0","0","0.00","0","16.6","216.3"
"20","Seattle Seahawks","QB","12","2025","Seattle","Seahawks","517","443","280","2699","16","80.0","44","238","5.41","2","0","0","0","0.00","0","16.6","198.8"
"21","Indianapolis Colts","QB","12","2025","Indianapolis","Colts","511","457","292","3181","16","85.1","34","137","4.03","0","0","0","0","0.00","0","16.4","196.9"
"22","New Orleans Saints","QB","12","2025","New Orleans","Saints","377","330","222","2432","20","100.2","54","183","3.39","1","0","0","0","0.00","0","16.0","192.6"
"23","Arizona Cardinals","QB","12","2025","Arizona","Cardinals","444","401","258","2802","17","89.6","48","164","3.42","1","0","0","0","0.00","0","15.8","189.5"
"24","Los Angeles Rams","QB","12","2025","Los Angeles","Rams","469","417","269","2712","16","83.7","43","205","4.77","1","0","0","0","0.00","0","15.3","184.0"
"25","Carolina Panthers","QB","13","2025","Carolina","Panthers","434","398","260","2890","16","87.6","47","132","2.81","3","0","0","0","0.00","0","15.2","197.8"
"26","Green Bay Packers","QB","12","2025","Green Bay","Packers","443","394","262","2432","15","89.6","28","124","4.43","2","0","0","0","0.00","0","14.7","176.7"
"27","Minnesota Vikings","QB","12","2025","Minnesota","Vikings","384","332","214","2355","14","95.6","42","205","4.88","1","0","0","0","0.00","0","14.6","174.7"
"28","Cleveland Browns","QB","12","2025","Cleveland","Browns","394","332","214","2295","17","90.4","50","149","2.98","1","0","0","0","0.00","0","14.2","170.7"
"29","Denver Broncos","QB","12","2025","Denver","Broncos","493","419","242","2636","11","78.2","49","172","3.51","2","0","0","0","0.00","0","14.2","170.6"
"30","Los Angeles Chargers","QB","12","2025","Los Angeles","Chargers","408","348","213","2215","12","77.9","52","223","4.29","3","0","0","0","0.00","0","14.0","167.9"
"31","Buffalo Bills","QB","12","2025","Buffalo","Bills","372","325","194","2128","12","82.4","41","264","6.44","2","1","0","0","0.00","0","13.5","161.5"
"32","Houston Texans","QB","12","2025","Houston","Texans","428","374","219","2354","12","75.5","33","211","6.39","0","0","0","0","0.00","0","12.8","153.3"

"Rank","Rank, Most to Least"
"Name","Team"
"POS","Player Position"
"G","Games Played"
"DB","Dropbacks"
"ATT","Passing Attempts"
"CMP","Passing Completions"
"YDS","Passing Yards"
"TD","Passing Touchdowns"
"RATE","QB Passer Rating"
"ATT","Rushing Attempts"
"YDS","Rushing Yards"
"YPC","Rushing Yards per Carry"
"TD","Rushing Touchdowns"
"TGT","Targets"
"REC","Receptions"
"YDS","Receiving Yards"
"YPT","Yards per Target"
"TD","Receiving Touchdowns"
"FP/G","Fantasy Points per Game"
"FP","Fantasy Points"
