"Team Details","","","","","","","Passing","","","","","","Rushing","","","","Receiving","","","","","FPTS",""
"Rank","Name","POS","G","Season","Location","Team Name","DB","ATT","CMP","YDS","TD","RATE","ATT","YDS","YPC","TD","TGT","REC","YDS","YPT","TD","FP/G","FP"
"1","Dallas Cowboys","WR","3","2025","Dallas","Cowboys","0","0","0","0","0","","5","26","5.20","0","51","39","661","12.96","6","47.9","143.7"
"2","New York Giants","WR","3","2025","New York","Giants","0","0","0","0","0","","4","36","9.00","1","66","46","587","8.89","3","44.1","132.3"
"3","Chicago Bears","WR","3","2025","Chicago","Bears","0","0","0","0","0","","5","24","4.80","0","46","30","515","11.20","6","41.3","123.9"
"4","Las Vegas Raiders","WR","3","2025","Las Vegas","Raiders","0","0","0","0","0","","5","20","4.00","0","59","42","551","9.34","4","41.0","123.1"
"5","Tennessee Titans","WR","3","2025","Tennessee","Titans","0","0","0","0","0","","1","45","45.00","1","59","42","533","9.03","3","40.9","122.8"
"6","Jacksonville Jaguars","WR","3","2025","Jacksonville","Jaguars","0","0","0","0","0","","0","0","","0","72","45","489","6.79","4","39.0","116.9"
"7","Washington Commanders","WR","3","2025","Washington","Commanders","0","0","0","0","0","","5","43","8.60","0","52","33","482","9.27","4","36.5","109.5"
"8","Arizona Cardinals","WR","3","2025","Arizona","Cardinals","0","0","0","0","0","","1","0","","0","74","48","494","6.68","2","36.5","109.4"
"9","New England Patriots","WR","3","2025","New England","Patriots","0","0","0","0","0","","3","23","7.67","0","46","34","490","10.65","4","36.4","109.3"
"10","Detroit Lions","WR","3","2025","Detroit","Lions","0","0","0","0","0","","1","9","9.00","0","51","34","474","9.29","4","35.4","106.3"
"11","New York Jets","WR","3","2025","New York","Jets","0","0","0","0","0","","2","6","3.00","1","47","30","489","10.40","3","34.5","103.5"
"12","Baltimore Ravens","WR","3","2025","Baltimore","Ravens","0","0","0","0","0","","2","17","8.50","0","61","38","448","7.34","3","34.2","102.5"
"13","Los Angeles Rams","WR","3","2025","Los Angeles","Rams","0","0","0","0","0","","3","14","4.67","0","58","39","436","7.52","3","34.0","102.0"
"14","Houston Texans","WR","3","2025","Houston","Texans","0","0","0","0","0","","2","6","3.00","0","66","40","493","7.47","2","34.0","101.9"
"15","Pittsburgh Steelers","WR","3","2025","Pittsburgh","Steelers","0","0","0","0","0","","0","0","","0","50","40","462","9.24","2","32.4","97.2"
"16","New Orleans Saints","WR","3","2025","New Orleans","Saints","0","0","0","0","0","","1","-4","-4.00","0","44","31","426","9.68","4","32.4","97.2"
"17","Philadelphia Eagles","WR","3","2025","Philadelphia","Eagles","0","0","0","0","0","","5","22","4.40","0","61","38","448","7.34","2","32.3","97.0"
"18","Cincinnati Bengals","WR","3","2025","Cincinnati","Bengals","0","0","0","0","0","","1","9","9.00","0","63","38","454","7.21","2","32.1","96.3"
"19","Indianapolis Colts","WR","3","2025","Indianapolis","Colts","0","0","0","0","0","","4","23","5.75","0","57","39","358","6.28","3","31.7","95.1"
"20","Kansas City Chiefs","WR","3","2025","Kansas City","Chiefs","0","0","0","0","0","","1","3","3.00","0","56","37","385","6.88","3","31.3","93.8"
"21","Tampa Bay Buccaneers","WR","3","2025","Tampa Bay","Buccaneers","0","0","0","0","0","","0","0","","0","60","37","382","6.37","3","31.1","93.2"
"22","Miami Dolphins","WR","3","2025","Miami","Dolphins","0","0","0","0","0","","2","26","13.00","0","39","30","337","8.64","4","30.1","90.3"
"23","Cleveland Browns","WR","3","2025","Cleveland","Browns","0","0","0","0","0","","6","12","2.00","0","39","28","362","9.28","4","29.8","89.4"
"24","Buffalo Bills","WR","3","2025","Buffalo","Bills","0","0","0","0","0","","5","18","3.60","0","44","29","346","7.86","4","29.8","89.4"
"25","Denver Broncos","WR","3","2025","Denver","Broncos","0","0","0","0","0","","2","11","5.50","0","68","40","422","6.21","1","29.4","88.3"
"26","Los Angeles Chargers","WR","3","2025","Los Angeles","Chargers","0","0","0","0","0","","2","7","3.50","0","63","36","425","6.75","1","28.4","85.2"
"27","San Francisco 49ers","WR","3","2025","San Francisco","49ers","0","0","0","0","0","","1","5","5.00","0","47","32","351","7.47","2","26.2","78.6"
"28","Green Bay Packers","WR","3","2025","Green Bay","Packers","0","0","0","0","0","","1","3","3.00","0","54","34","285","5.28","2","25.6","76.8"
"29","Atlanta Falcons","WR","3","2025","Atlanta","Falcons","0","0","0","0","0","","1","9","9.00","0","51","28","369","7.24","2","25.6","76.8"
"30","Carolina Panthers","WR","3","2025","Carolina","Panthers","0","0","0","0","0","","3","15","5.00","1","51","26","273","5.35","1","22.3","66.8"
"31","Seattle Seahawks","WR","3","2025","Seattle","Seahawks","0","0","0","0","0","","0","0","","0","48","28","296","6.17","1","21.2","63.6"
"32","Minnesota Vikings","WR","3","2025","Minnesota","Vikings","0","0","0","0","0","","4","17","4.25","0","40","25","278","6.95","1","19.2","57.5"

"Rank","Rank, Most to Least"
"Name","Team"
"POS","Player Position"
"G","Games Played"
"DB","Dropbacks"
"ATT","Passing Attempts"
"CMP","Passing Completions"
"YDS","Passing Yards"
"TD","Passing Touchdowns"
"RATE","QB Passer Rating"
"ATT","Rushing Attempts"
"YDS","Rushing Yards"
"YPC","Rushing Yards per Carry"
"TD","Rushing Touchdowns"
"TGT","Targets"
"REC","Receptions"
"YDS","Receiving Yards"
"YPT","Yards per Target"
"TD","Receiving Touchdowns"
"FP/G","Fantasy Points per Game"
"FP","Fantasy Points"
