"Team Details","","","","","","","Man/Zone","","","","Middle of Field Look (Closed/Open)","","","","Coverages","","","","","",""
"Rank","Name","G","Season","Location","Team Name","DB","MAN %","FP/DB","ZONE %","FP/DB","1-HI/MOF C %","FP/DB","2-HI/MOF O %","FP/DB","COVER 0 %","COVER 1 %","COVER 2 %","COVER 2 MAN %","COVER 3 %","COVER 4 %","COVER 6 %"
"1","Detroit Lions","1","2025","Detroit","Lions","54","44.4","0.61","55.6","0.12","40.7","0.61","59.3","0.16","5.6","18.5","11.1","5.6","22.2","16.7","5.6"
"2","Los Angeles Rams","1","2025","Los Angeles","Rams","50","14.0","0.41","80.0","0.42","34.0","0.24","66.0","0.47","0.0","10.0","16.0","2.0","24.0","26.0","14.0"
"3","Tennessee Titans","1","2025","Tennessee","Titans","47","25.5","0.69","68.1","0.48","38.3","0.69","61.7","0.76","2.1","17.0","10.6","6.4","21.3","31.9","4.3"
"4","Las Vegas Raiders","1","2025","Las Vegas","Raiders","43","4.7","0.22","81.4","0.24","55.8","0.21","44.2","0.57","2.3","2.3","16.3","0.0","53.5","7.0","4.7"
"5","Los Angeles Chargers","1","2025","Los Angeles","Chargers","43","25.6","0.06","72.1","0.19","48.8","0.28","51.2","0.03","9.3","9.3","11.6","4.7","39.5","14.0","7.0"
"6","Pittsburgh Steelers","1","2025","Pittsburgh","Steelers","42","31.0","1.10","57.1","0.26","42.9","0.42","57.1","0.55","9.5","21.4","26.2","0.0","21.4","9.5","0.0"
"7","Houston Texans","1","2025","Houston","Texans","42","31.0","0.09","61.9","0.29","71.4","0.29","28.6","0.06","0.0","28.6","2.4","2.4","42.9","7.1","9.5"
"8","Philadelphia Eagles","1","2025","Philadelphia","Eagles","41","19.5","0.90","80.5","0.15","51.2","0.23","48.8","0.36","2.4","17.1","0.0","0.0","34.1","19.5","26.8"
"9","Miami Dolphins","1","2025","Miami","Dolphins","40","10.0","-0.25","85.0","0.17","30.0","0.13","70.0","0.08","0.0","7.5","50.0","0.0","22.5","5.0","7.5"
"10","Jacksonville Jaguars","1","2025","Jacksonville","Jaguars","39","10.3","0.18","89.7","0.36","48.7","0.49","51.3","0.19","5.1","5.1","5.1","0.0","43.6","10.3","30.8"
"11","Green Bay Packers","1","2025","Green Bay","Packers","39","10.3","0.89","87.2","0.24","28.2","0.25","71.8","0.46","10.3","","20.5","0.0","28.2","23.1","15.4"
"12","Denver Broncos","1","2025","Denver","Broncos","38","31.6","0.25","60.5","0.59","47.4","0.53","52.6","0.40","5.3","15.8","0.0","10.5","28.9","18.4","13.2"
"13","Buffalo Bills","1","2025","Buffalo","Bills","37","35.1","0.86","64.9","0.59","24.3","0.68","75.7","0.69","8.1","2.7","13.5","16.2","21.6","13.5","16.2"
"14","Cincinnati Bengals","1","2025","Cincinnati","Bengals","36","30.6","1.31","58.3","0.43","44.4","0.92","55.6","1.08","13.9","16.7","8.3","0.0","22.2","11.1","16.7"
"15","Dallas Cowboys","1","2025","Dallas","Cowboys","35","11.4","0.55","82.9","0.33","57.1","0.38","42.9","0.58","0.0","11.4","5.7","0.0","45.7","31.4","0.0"
"16","New Orleans Saints","1","2025","New Orleans","Saints","35","40.0","0.24","54.3","0.44","80.0","0.17","20.0","1.01","0.0","37.1","2.9","2.9","40.0","5.7","5.7"
"17","Baltimore Ravens","1","2025","Baltimore","Ravens","35","37.1","1.28","51.4","0.25","51.4","0.47","48.6","0.77","17.1","20.0","14.3","0.0","31.4","2.9","2.9"
"18","Kansas City Chiefs","1","2025","Kansas City","Chiefs","35","45.7","0.49","51.4","0.26","37.1","0.68","62.9","0.16","8.6","20.0","14.3","14.3","17.1","17.1","2.9"
"19","Atlanta Falcons","1","2025","Atlanta","Falcons","34","52.9","0.76","41.2","0.37","44.1","0.97","55.9","0.44","0.0","38.2","0.0","8.8","5.9","23.5","11.8"
"20","Indianapolis Colts","1","2025","Indianapolis","Colts","33","42.4","0.65","51.5","0.54","51.5","0.59","48.5","0.56","27.3","12.1","9.1","0.0","36.4","3.0","3.0"
"21","Minnesota Vikings","1","2025","Minnesota","Vikings","32","9.4","0.08","81.3","0.13","28.1","0.33","71.9","0.03","9.4","","25.0","0.0","28.1","21.9","6.3"
"22","Arizona Cardinals","1","2025","Arizona","Cardinals","31","19.4","0.27","71.0","0.79","45.2","0.66","54.8","0.83","0.0","19.4","25.8","0.0","25.8","12.9","6.5"
"23","Seattle Seahawks","1","2025","Seattle","Seahawks","31","12.9","0.38","83.9","0.11","48.4","0.29","51.6","0.01","3.2","9.7","16.1","0.0","38.7","9.7","19.4"
"24","Washington Commanders","1","2025","Washington","Commanders","29","10.3","1.41","86.2","0.50","24.1","1.42","75.9","0.49","0.0","10.3","10.3","0.0","13.8","37.9","24.1"
"25","Cleveland Browns","1","2025","Cleveland","Browns","29","41.4","0.51","58.6","0.32","82.8","0.50","17.2","-0.06","0.0","37.9","13.8","3.4","44.8","0.0","0.0"
"26","Chicago Bears","1","2025","Chicago","Bears","26","46.2","1.09","53.8","0.52","46.2","0.74","53.8","0.82","3.8","38.5","23.1","0.0","7.7","11.5","11.5"
"27","Tampa Bay Buccaneers","1","2025","Tampa Bay","Buccaneers","24","12.5","2.58","87.5","0.21","50.0","0.69","50.0","0.32","4.2","4.2","12.5","4.2","45.8","20.8","8.3"
"28","New York Jets","1","2025","New York","Jets","22","27.3","0.73","68.2","0.31","63.6","0.27","36.4","0.66","9.1","18.2","22.7","0.0","45.5","0.0","0.0"

"Rank","Rank, Most to Least"
"Name","Team"
"G","Games Played"
"DB","Dropbacks"
"MAN %","Dropback Man Coverage Rate"
"FP/DB","Man Fantasy Points per Dropback"
"ZONE %","Zone Coverage Rate"
"FP/DB","Zone Fantasy Points per Dropback"
"1-HI/MOF C %","Single High Safety/Middle of Field Closed Rate"
"FP/DB","Single High Safety/Middle of Field Closed Fantasy Points per Dropback"
"2-HI/MOF O %","Two High Safety/Middle of Field Open Rate"
"FP/DB","Two High Safety/Middle of Field Open Fantasy Points per Dropback"
"COVER 0 %","Cover 0 Rate"
"COVER 1 %","Cover 1 Rate"
"COVER 2 %","Cover 2 Rate"
"COVER 2 MAN %","Cover 2 Man Rate"
"COVER 3 %","Cover 3 Rate"
"COVER 4 %","Cover 4 Rate"
"COVER 6 %","Cover 6 Rate"
