"Team Details","","","","","","","Passing","","","","","","Rushing","","","","Receiving","","","","","FPTS",""
"Rank","Name","POS","G","Season","Location","Team Name","DB","ATT","CMP","YDS","TD","RATE","ATT","YDS","YPC","TD","TGT","REC","YDS","YPT","TD","FP/G","FP"
"1","Cincinnati Bengals","RB","10","2025","Cincinnati","Bengals","2","2","2","7","2","120.8","255","1367","5.36","9","63","54","476","7.56","6","33.9","338.6"
"2","Buffalo Bills","RB","10","2025","Buffalo","Bills","0","0","0","0","0","","225","1206","5.36","14","51","39","259","5.08","1","27.4","273.5"
"3","New York Giants","RB","11","2025","New York","Giants","0","0","0","0","0","","224","1285","5.74","10","57","46","319","5.60","3","25.9","285.4"
"4","Atlanta Falcons","RB","10","2025","Atlanta","Falcons","0","0","0","0","0","","244","1122","4.60","7","57","45","338","5.93","4","25.6","256.0"
"5","Tampa Bay Buccaneers","RB","10","2025","Tampa Bay","Buccaneers","0","0","0","0","0","","182","780","4.29","8","52","47","587","11.29","3","25.0","249.7"
"6","Dallas Cowboys","RB","10","2025","Dallas","Cowboys","0","0","0","0","0","","211","1006","4.77","7","59","51","444","7.53","2","24.9","249.0"
"7","Washington Commanders","RB","11","2025","Washington","Commanders","0","0","0","0","0","","271","1245","4.59","8","46","38","405","8.80","3","24.6","271.0"
"8","Tennessee Titans","RB","10","2025","Tennessee","Titans","0","0","0","0","0","","230","1090","4.74","12","42","31","201","4.79","2","24.3","243.1"
"9","Miami Dolphins","RB","11","2025","Miami","Dolphins","0","0","0","0","0","","256","1246","4.87","6","60","54","419","6.98","1","23.8","261.5"
"10","Baltimore Ravens","RB","10","2025","Baltimore","Ravens","0","0","0","0","0","","203","937","4.62","9","59","44","334","5.66","2","23.7","237.1"
"11","Arizona Cardinals","RB","10","2025","Arizona","Cardinals","0","0","0","0","0","","216","977","4.52","10","48","39","263","5.48","2","23.3","233.0"
"12","Philadelphia Eagles","RB","10","2025","Philadelphia","Eagles","0","0","0","0","0","","211","848","4.02","8","51","40","431","8.45","3","23.1","230.9"
"13","Carolina Panthers","RB","11","2025","Carolina","Panthers","0","0","0","0","0","","231","1091","4.72","9","62","52","316","5.10","1","22.9","251.7"
"14","San Francisco 49ers","RB","11","2025","San Francisco","49ers","0","0","0","0","0","","229","955","4.17","7","72","61","369","5.13","3","22.9","251.4"
"15","New York Jets","RB","10","2025","New York","Jets","0","0","0","0","0","","243","1006","4.14","8","41","32","214","5.22","4","22.6","226.0"
"16","Chicago Bears","RB","10","2025","Chicago","Bears","0","0","0","0","0","","208","1030","4.95","6","52","41","298","5.73","3","22.5","224.8"
"17","New Orleans Saints","RB","10","2025","New Orleans","Saints","0","0","0","0","0","","258","1055","4.09","8","40","35","229","5.73","2","22.1","221.4"
"18","Los Angeles Chargers","RB","11","2025","Los Angeles","Chargers","0","0","0","0","0","","210","1012","4.82","11","56","42","290","5.18","0","21.7","239.2"
"19","Las Vegas Raiders","RB","10","2025","Las Vegas","Raiders","0","0","0","0","0","","222","891","4.01","9","52","42","220","4.23","0","20.9","209.1"
"20","Green Bay Packers","RB","10","2025","Green Bay","Packers","0","0","0","0","0","","222","849","3.82","6","59","51","292","4.95","0","20.2","202.1"
"21","Minnesota Vikings","RB","10","2025","Minnesota","Vikings","0","0","0","0","0","","262","1041","3.97","7","48","36","210","4.38","0","20.1","201.1"
"22","Indianapolis Colts","RB","10","2025","Indianapolis","Colts","0","0","0","0","0","","191","779","4.08","8","57","42","276","4.84","1","20.1","200.5"
"23","Seattle Seahawks","RB","10","2025","Seattle","Seahawks","0","0","0","0","0","","196","702","3.58","4","71","52","375","5.28","2","19.6","195.7"
"24","Pittsburgh Steelers","RB","10","2025","Pittsburgh","Steelers","0","0","0","0","0","","216","929","4.30","4","51","44","284","5.57","1","19.2","192.3"
"25","Houston Texans","RB","10","2025","Houston","Texans","0","0","0","0","0","","190","683","3.59","8","53","41","272","5.13","1","19.1","190.5"
"26","Kansas City Chiefs","RB","10","2025","Kansas City","Chiefs","1","1","0","0","0","39.6","175","748","4.27","5","50","43","318","6.36","1","18.6","185.6"
"27","Cleveland Browns","RB","10","2025","Cleveland","Browns","1","1","1","32","1","158.3","216","845","3.91","4","49","37","244","4.98","1","17.8","178.2"
"28","Denver Broncos","RB","11","2025","Denver","Broncos","0","0","0","0","0","","218","837","3.84","6","42","29","299","7.12","3","17.8","195.6"
"29","Jacksonville Jaguars","RB","10","2025","Jacksonville","Jaguars","0","0","0","0","0","","176","665","3.78","3","53","41","333","6.28","3","17.7","176.8"
"30","Los Angeles Rams","RB","10","2025","Los Angeles","Rams","0","0","0","0","0","","204","770","3.77","2","54","44","307","5.69","1","16.8","167.7"
"31","New England Patriots","RB","11","2025","New England","Patriots","0","0","0","0","0","","191","644","3.37","2","72","61","374","5.19","1","16.4","180.8"
"32","Detroit Lions","RB","10","2025","Detroit","Lions","1","1","0","0","0","39.6","187","763","4.08","5","50","39","204","4.08","0","16.4","163.7"

"Rank","Rank, Most to Least"
"Name","Team"
"POS","Player Position"
"G","Games Played"
"DB","Dropbacks"
"ATT","Passing Attempts"
"CMP","Passing Completions"
"YDS","Passing Yards"
"TD","Passing Touchdowns"
"RATE","QB Passer Rating"
"ATT","Rushing Attempts"
"YDS","Rushing Yards"
"YPC","Rushing Yards per Carry"
"TD","Rushing Touchdowns"
"TGT","Targets"
"REC","Receptions"
"YDS","Receiving Yards"
"YPT","Yards per Target"
"TD","Receiving Touchdowns"
"FP/G","Fantasy Points per Game"
"FP","Fantasy Points"
