"Team Details","","","","","","","Passing","","","","","","Rushing","","","","Receiving","","","","","FPTS",""
"Rank","Name","POS","G","Season","Location","Team Name","DB","ATT","CMP","YDS","TD","RATE","ATT","YDS","YPC","TD","TGT","REC","YDS","YPT","TD","FP/G","FP"
"1","Dallas Cowboys","WR","14","2025","Dallas","Cowboys","0","0","0","0","0","","18","91","5.06","0","242","167","2359","9.75","24","39.8","557.0"
"2","Detroit Lions","WR","14","2025","Detroit","Lions","1","1","1","33","1","158.3","11","67","6.09","0","277","170","2408","8.69","20","38.7","541.8"
"3","Indianapolis Colts","WR","14","2025","Indianapolis","Colts","0","0","0","0","0","","11","46","4.18","1","294","190","2407","8.19","12","36.9","516.3"
"4","New York Giants","WR","14","2025","New York","Giants","0","0","0","0","0","","6","66","11.00","1","264","170","2292","8.68","15","36.1","505.8"
"5","Tennessee Titans","WR","14","2025","Tennessee","Titans","0","0","0","0","0","","7","65","9.29","1","235","169","2323","9.89","15","35.9","502.8"
"6","Los Angeles Rams","WR","14","2025","Los Angeles","Rams","0","0","0","0","0","","13","57","4.38","0","284","180","2253","7.93","14","35.1","492.0"
"7","Chicago Bears","WR","14","2025","Chicago","Bears","0","0","0","0","0","","15","85","5.67","1","226","145","2108","9.33","19","35.0","490.3"
"8","Las Vegas Raiders","WR","14","2025","Las Vegas","Raiders","1","0","0","0","0","","9","33","3.67","0","249","179","2129","8.55","16","35.0","490.2"
"9","Washington Commanders","WR","14","2025","Washington","Commanders","0","0","0","0","0","","14","108","7.71","0","243","163","2230","9.18","15","34.7","485.8"
"10","Atlanta Falcons","WR","14","2025","Atlanta","Falcons","0","0","0","0","0","","9","57","6.33","0","247","161","2106","8.53","17","34.5","482.3"
"11","Pittsburgh Steelers","WR","14","2025","Pittsburgh","Steelers","0","0","0","0","0","","3","18","6.00","0","279","182","2244","8.04","12","34.4","482.2"
"12","Baltimore Ravens","WR","14","2025","Baltimore","Ravens","0","0","0","0","0","","13","100","7.69","0","282","173","2198","7.79","13","34.1","477.8"
"13","Jacksonville Jaguars","WR","14","2025","Jacksonville","Jaguars","0","0","0","0","0","","6","5","0.83","0","287","180","1982","6.91","13","32.8","458.7"
"14","Green Bay Packers","WR","14","2025","Green Bay","Packers","0","0","0","0","0","","9","32","3.56","0","240","161","1950","8.13","15","32.2","450.2"
"15","San Francisco 49ers","WR","14","2025","San Francisco","49ers","0","0","0","0","0","","6","22","3.67","0","249","171","2061","8.28","12","32.1","449.3"
"16","Tampa Bay Buccaneers","WR","14","2025","Tampa Bay","Buccaneers","0","0","0","0","0","","2","-3","-1.50","0","271","170","2106","7.77","11","31.7","444.3"
"17","Arizona Cardinals","WR","14","2025","Arizona","Cardinals","0","0","0","0","0","","7","34","4.86","0","238","157","2013","8.46","11","30.6","427.7"
"18","New England Patriots","WR","14","2025","New England","Patriots","2","1","0","0","0","39.6","12","104","8.67","0","214","137","1712","8.00","16","29.6","414.6"
"19","Kansas City Chiefs","WR","14","2025","Kansas City","Chiefs","0","0","0","0","0","","8","42","5.25","0","238","162","1911","8.03","9","29.5","413.3"
"20","Buffalo Bills","WR","14","2025","Buffalo","Bills","2","1","0","0","0","","21","83","3.95","1","223","141","1762","7.90","12","28.8","402.5"
"21","New York Jets","WR","14","2025","New York","Jets","0","0","0","0","0","","18","104","5.78","1","223","143","1856","8.32","10","28.7","402.0"
"22","Carolina Panthers","WR","14","2025","Carolina","Panthers","0","0","0","0","0","","8","14","1.75","1","227","143","1872","8.25","10","28.3","396.6"
"23","Denver Broncos","WR","14","2025","Denver","Broncos","0","0","0","0","0","","9","19","2.11","0","278","170","1887","6.79","5","27.8","389.6"
"24","New Orleans Saints","WR","14","2025","New Orleans","Saints","0","0","0","0","0","","7","9","1.29","0","207","136","1701","8.22","14","27.8","389.0"
"25","Philadelphia Eagles","WR","14","2025","Philadelphia","Eagles","0","0","0","0","0","","15","71","4.73","0","266","150","1939","7.29","6","27.7","388.0"
"26","Miami Dolphins","WR","14","2025","Miami","Dolphins","0","0","0","0","0","","7","37","5.29","0","204","136","1559","7.64","14","27.0","378.6"
"27","Cleveland Browns","WR","14","2025","Cleveland","Browns","0","0","0","0","0","","14","44","3.14","0","196","122","1572","8.02","15","26.5","371.6"
"28","Cincinnati Bengals","WR","14","2025","Cincinnati","Bengals","1","1","1","2","1","118.8","9","101","11.22","2","200","127","1656","8.28","8","26.1","365.8"
"29","Seattle Seahawks","WR","14","2025","Seattle","Seahawks","0","0","0","0","0","","9","31","3.44","1","250","142","1466","5.86","10","25.7","359.7"
"30","Minnesota Vikings","WR","14","2025","Minnesota","Vikings","0","0","0","0","0","","10","48","4.80","0","191","128","1762","9.23","8","25.4","356.0"
"31","Houston Texans","WR","14","2025","Houston","Texans","1","1","0","0","0","","7","-6","-0.86","0","234","133","1730","7.39","8","25.2","353.4"
"32","Los Angeles Chargers","WR","14","2025","Los Angeles","Chargers","1","1","1","8","0","100.0","3","8","2.67","0","240","142","1687","7.03","6","24.9","348.8"

"Rank","Rank, Most to Least"
"Name","Team"
"POS","Player Position"
"G","Games Played"
"DB","Dropbacks"
"ATT","Passing Attempts"
"CMP","Passing Completions"
"YDS","Passing Yards"
"TD","Passing Touchdowns"
"RATE","QB Passer Rating"
"ATT","Rushing Attempts"
"YDS","Rushing Yards"
"YPC","Rushing Yards per Carry"
"TD","Rushing Touchdowns"
"TGT","Targets"
"REC","Receptions"
"YDS","Receiving Yards"
"YPT","Yards per Target"
"TD","Receiving Touchdowns"
"FP/G","Fantasy Points per Game"
"FP","Fantasy Points"
