"Team Details","","","","","","","Passing","","","","","","Rushing","","","","Receiving","","","","","FPTS",""
"Rank","Name","POS","G","Season","Location","Team Name","DB","ATT","CMP","YDS","TD","RATE","ATT","YDS","YPC","TD","TGT","REC","YDS","YPT","TD","FP/G","FP"
"1","Cincinnati Bengals","TE","5","2025","Cincinnati","Bengals","0","0","0","0","0","","1","3","3.00","0","47","34","345","7.34","4","18.6","92.8"
"2","Carolina Panthers","TE","5","2025","Carolina","Panthers","0","0","0","0","0","","0","0","","0","37","32","401","10.84","3","18.0","90.1"
"3","Seattle Seahawks","TE","5","2025","Seattle","Seahawks","0","0","0","0","0","","0","0","","0","45","35","313","6.96","3","17.3","86.3"
"4","Green Bay Packers","TE","4","2025","Green Bay","Packers","0","0","0","0","0","","0","0","","0","37","30","263","7.11","2","17.1","68.3"
"5","New England Patriots","TE","5","2025","New England","Patriots","0","0","0","0","0","","0","0","","0","38","31","375","9.87","2","16.1","80.5"
"6","New Orleans Saints","TE","5","2025","New Orleans","Saints","0","0","0","0","0","","0","0","","0","37","28","283","7.65","4","16.1","80.3"
"7","Pittsburgh Steelers","TE","4","2025","Pittsburgh","Steelers","0","0","0","0","0","","1","2","2.00","0","26","21","250","9.62","3","16.1","64.2"
"8","Miami Dolphins","TE","5","2025","Miami","Dolphins","0","0","0","0","0","","1","3","3.00","0","35","27","324","9.26","3","15.5","77.7"
"9","New York Jets","TE","5","2025","New York","Jets","0","0","0","0","0","","0","0","","0","37","27","202","5.46","5","15.4","77.2"
"10","Baltimore Ravens","TE","5","2025","Baltimore","Ravens","0","0","0","0","0","","0","0","","0","37","34","355","9.59","1","15.1","75.5"
"11","Arizona Cardinals","TE","5","2025","Arizona","Cardinals","0","0","0","0","0","","0","0","","0","43","34","338","7.86","1","14.8","73.8"
"12","Tampa Bay Buccaneers","TE","5","2025","Tampa Bay","Buccaneers","0","0","0","0","0","","0","0","","0","32","27","222","6.94","4","14.6","73.2"
"13","Minnesota Vikings","TE","5","2025","Minnesota","Vikings","0","0","0","0","0","","1","2","2.00","0","39","31","244","6.26","3","14.5","72.6"
"14","Los Angeles Rams","TE","5","2025","Los Angeles","Rams","0","0","0","0","0","","2","3","1.50","1","36","27","246","6.83","2","14.0","69.9"
"15","Chicago Bears","TE","4","2025","Chicago","Bears","0","0","0","0","0","","0","0","","0","33","29","207","6.27","1","13.9","55.7"
"16","Washington Commanders","TE","5","2025","Washington","Commanders","0","0","0","0","0","","0","0","","0","27","22","327","12.11","2","13.7","68.7"
"17","Dallas Cowboys","TE","5","2025","Dallas","Cowboys","0","0","0","0","0","","0","0","","0","39","33","277","7.10","1","13.7","68.7"
"18","San Francisco 49ers","TE","5","2025","San Francisco","49ers","0","0","0","0","0","","1","2","2.00","0","38","27","227","5.97","3","13.6","67.9"
"19","Jacksonville Jaguars","TE","5","2025","Jacksonville","Jaguars","0","0","0","0","0","","0","0","","0","34","27","260","7.65","2","12.8","64.0"
"20","Detroit Lions","TE","5","2025","Detroit","Lions","0","0","0","0","0","","2","4","2.00","0","32","21","213","6.66","3","12.1","60.7"
"21","Cleveland Browns","TE","5","2025","Cleveland","Browns","0","0","0","0","0","","1","2","2.00","0","31","22","195","6.29","3","11.9","59.7"
"22","Indianapolis Colts","TE","5","2025","Indianapolis","Colts","0","0","0","0","0","","0","0","","0","35","27","233","6.66","1","11.7","58.3"
"23","Tennessee Titans","TE","5","2025","Tennessee","Titans","0","0","0","0","0","","0","0","","0","32","25","196","6.13","1","10.1","50.6"
"24","New York Giants","TE","5","2025","New York","Giants","1","1","1","19","0","118.8","6","-1","-0.17","0","38","25","186","4.89","1","10.1","50.3"
"25","Denver Broncos","TE","5","2025","Denver","Broncos","0","0","0","0","0","","1","0","","0","34","20","213","6.26","1","9.5","47.3"
"26","Houston Texans","TE","5","2025","Houston","Texans","0","0","0","0","0","","0","0","","0","30","22","175","5.83","1","8.9","44.5"
"27","Las Vegas Raiders","TE","5","2025","Las Vegas","Raiders","1","1","0","0","0","39.6","0","0","","0","25","16","211","8.44","1","8.6","43.1"
"28","Los Angeles Chargers","TE","5","2025","Los Angeles","Chargers","0","0","0","0","0","","0","0","","0","24","16","145","6.04","2","8.5","42.5"
"29","Philadelphia Eagles","TE","5","2025","Philadelphia","Eagles","0","0","0","0","0","","0","0","","0","32","19","141","4.41","1","7.8","39.1"
"30","Kansas City Chiefs","TE","5","2025","Kansas City","Chiefs","0","0","0","0","0","","1","2","2.00","0","20","18","164","8.20","0","6.9","34.6"
"31","Buffalo Bills","TE","5","2025","Buffalo","Bills","0","0","0","0","0","","0","0","","0","15","11","113","7.53","1","5.7","28.3"
"32","Atlanta Falcons","TE","4","2025","Atlanta","Falcons","0","0","0","0","0","","0","0","","0","14","8","69","4.93","0","4.2","16.9"

"Rank","Rank, Most to Least"
"Name","Team"
"POS","Player Position"
"G","Games Played"
"DB","Dropbacks"
"ATT","Passing Attempts"
"CMP","Passing Completions"
"YDS","Passing Yards"
"TD","Passing Touchdowns"
"RATE","QB Passer Rating"
"ATT","Rushing Attempts"
"YDS","Rushing Yards"
"YPC","Rushing Yards per Carry"
"TD","Rushing Touchdowns"
"TGT","Targets"
"REC","Receptions"
"YDS","Receiving Yards"
"YPT","Yards per Target"
"TD","Receiving Touchdowns"
"FP/G","Fantasy Points per Game"
"FP","Fantasy Points"
