"Team Details","","","","","","","Passing","","","","","","Rushing","","","","Receiving","","","","","FPTS",""
"Rank","Name","POS","G","Season","Location","Team Name","DB","ATT","CMP","YDS","TD","RATE","ATT","YDS","YPC","TD","TGT","REC","YDS","YPT","TD","FP/G","FP"
"1","Dallas Cowboys","QB","10","2025","Dallas","Cowboys","389","340","231","2684","23","108.0","57","238","4.18","4","0","0","0","0.00","0","24.4","244.2"
"2","Cincinnati Bengals","QB","10","2025","Cincinnati","Bengals","371","334","224","2642","22","102.9","40","142","3.55","1","2","2","22","11.00","1","21.9","219.1"
"3","New York Giants","QB","11","2025","New York","Giants","426","380","243","2622","19","96.4","61","302","4.95","4","1","1","0","0.00","0","21.7","239.1"
"4","Chicago Bears","QB","10","2025","Chicago","Bears","345","309","209","2423","21","93.5","36","256","7.11","3","0","0","0","0.00","0","21.2","211.5"
"5","Jacksonville Jaguars","QB","10","2025","Jacksonville","Jaguars","404","367","228","2473","21","86.2","41","187","4.56","3","0","0","0","0.00","0","20.9","208.6"
"6","Tampa Bay Buccaneers","QB","10","2025","Tampa Bay","Buccaneers","399","340","223","2612","16","92.2","54","255","4.72","4","0","0","0","0.00","0","20.4","204.0"
"7","Washington Commanders","QB","11","2025","Washington","Commanders","369","328","223","2908","22","111.7","36","168","4.67","1","0","0","0","0.00","0","20.4","224.1"
"8","Pittsburgh Steelers","QB","10","2025","Pittsburgh","Steelers","442","397","259","2815","16","90.0","36","129","3.58","3","0","0","0","0.00","0","20.0","199.5"
"9","Miami Dolphins","QB","11","2025","Miami","Dolphins","363","317","231","2415","18","109.5","52","278","5.35","4","0","0","0","0.00","0","19.7","216.4"
"10","San Francisco 49ers","QB","11","2025","San Francisco","49ers","427","396","277","2817","21","104.5","46","174","3.78","1","0","0","0","0.00","0","19.5","214.1"
"11","New York Jets","QB","10","2025","New York","Jets","343","302","192","2114","18","104.1","44","235","5.34","1","0","0","0","0.00","0","18.6","186.1"
"12","Detroit Lions","QB","10","2025","Detroit","Lions","363","312","194","2121","18","90.8","59","199","3.37","3","0","0","0","0.00","0","18.6","185.7"
"13","Las Vegas Raiders","QB","10","2025","Las Vegas","Raiders","366","330","223","2315","16","96.2","53","140","2.64","3","2","2","11","5.50","0","18.1","180.7"
"14","Tennessee Titans","QB","10","2025","Tennessee","Titans","355","306","216","2359","15","102.6","53","206","3.89","2","0","0","0","0.00","0","18.0","180.0"
"15","Baltimore Ravens","QB","10","2025","Baltimore","Ravens","400","362","229","2441","15","89.8","47","171","3.64","2","0","0","0","0.00","0","17.9","178.7"
"16","New England Patriots","QB","11","2025","New England","Patriots","400","357","242","2525","19","97.6","34","186","5.47","1","1","0","0","0.00","0","17.4","191.6"
"17","Seattle Seahawks","QB","10","2025","Seattle","Seahawks","433","371","233","2317","15","83.8","37","202","5.46","1","0","0","0","0.00","0","17.4","173.9"
"18","Atlanta Falcons","QB","10","2025","Atlanta","Falcons","343","283","182","2101","17","94.9","42","216","5.14","1","0","0","0","0.00","0","17.3","172.6"
"19","New Orleans Saints","QB","10","2025","New Orleans","Saints","321","284","194","2076","18","103.3","48","174","3.63","1","0","0","0","0.00","0","17.1","171.4"
"20","Indianapolis Colts","QB","10","2025","Indianapolis","Colts","420","376","241","2553","16","86.9","29","107","3.69","0","0","0","0","0.00","0","16.9","168.8"
"21","Kansas City Chiefs","QB","10","2025","Kansas City","Chiefs","334","286","202","2058","9","92.7","59","242","4.10","5","1","0","0","0.00","0","16.4","163.5"
"22","Minnesota Vikings","QB","10","2025","Minnesota","Vikings","330","284","185","2081","14","98.9","37","187","5.05","1","0","0","0","0.00","0","16.3","162.9"
