"Team Details","","","","","","","Passing","","","","","","Rushing","","","","Receiving","","","","","FPTS",""
"Rank","Name","POS","G","Season","Location","Team Name","DB","ATT","CMP","YDS","TD","RATE","ATT","YDS","YPC","TD","TGT","REC","YDS","YPT","TD","FP/G","FP"
"1","New York Giants","RB","2","2025","New York","Giants","0","0","0","0","0","","43","245","5.70","3","12","11","68","5.67","0","30.2","60.3"
"2","Cincinnati Bengals","RB","2","2025","Cincinnati","Bengals","0","0","0","0","0","","45","166","3.69","1","14","13","111","7.93","2","29.4","58.7"
"3","Chicago Bears","RB","2","2025","Chicago","Bears","0","0","0","0","0","","49","246","5.02","2","8","8","65","8.13","1","28.6","57.1"
"4","Baltimore Ravens","RB","2","2025","Baltimore","Ravens","0","0","0","0","0","","36","168","4.67","1","19","17","103","5.42","1","28.1","56.1"
"5","Seattle Seahawks","RB","2","2025","Seattle","Seahawks","0","0","0","0","0","","51","171","3.35","0","21","17","179","8.52","0","26.0","52.0"
"6","Houston Texans","RB","2","2025","Houston","Texans","0","0","0","0","0","","46","204","4.43","2","10","10","68","6.80","0","24.6","49.2"
"7","New Orleans Saints","RB","2","2025","New Orleans","Saints","0","0","0","0","0","","39","183","4.69","0","13","12","62","4.77","2","24.3","48.5"
"8","New York Jets","RB","2","2025","New York","Jets","0","0","0","0","0","","51","216","4.24","2","8","6","29","3.63","1","24.3","48.5"
"9","Tampa Bay Buccaneers","RB","2","2025","Tampa Bay","Buccaneers","0","0","0","0","0","","37","105","2.84","1","10","9","166","16.60","1","24.1","48.1"
"10","Miami Dolphins","RB","2","2025","Miami","Dolphins","0","0","0","0","0","","50","203","4.06","0","11","11","146","13.27","0","24.0","47.9"
"11","Tennessee Titans","RB","2","2025","Tennessee","Titans","0","0","0","0","0","","44","243","5.52","2","11","7","34","3.09","0","23.4","46.7"
"12","Minnesota Vikings","RB","2","2025","Minnesota","Vikings","0","0","0","0","0","","55","272","4.95","1","12","8","52","4.33","0","23.2","46.4"
"13","Dallas Cowboys","RB","2","2025","Dallas","Cowboys","0","0","0","0","0","","41","160","3.90","2","14","11","70","5.00","0","23.0","46.0"
"14","Pittsburgh Steelers","RB","2","2025","Pittsburgh","Steelers","0","0","0","0","0","","55","249","4.53","2","3","3","51","17.00","0","22.5","45.0"
"15","Carolina Panthers","RB","2","2025","Carolina","Panthers","0","0","0","0","0","","39","221","5.67","1","9","9","65","7.22","0","21.8","43.6"
"16","New England Patriots","RB","2","2025","New England","Patriots","0","0","0","0","0","","34","84","2.47","1","13","11","99","7.62","1","20.7","41.3"
"17","Indianapolis Colts","RB","2","2025","Indianapolis","Colts","0","0","0","0","0","","29","146","5.03","1","11","8","63","5.73","1","20.5","40.9"
"18","Arizona Cardinals","RB","2","2025","Arizona","Cardinals","0","0","0","0","0","","34","125","3.68","1","10","9","63","6.30","1","19.9","39.8"
"19","Buffalo Bills","RB","2","2025","Buffalo","Bills","0","0","0","0","0","","33","200","6.06","2","9","5","31","3.44","0","19.6","39.1"
"20","Denver Broncos","RB","2","2025","Denver","Broncos","0","0","0","0","0","","45","227","5.04","0","4","3","79","19.75","1","19.3","38.6"
"21","Detroit Lions","RB","2","2025","Detroit","Lions","0","0","0","0","0","","40","162","4.05","2","7","6","20","2.86","0","17.6","35.2"
"22","San Francisco 49ers","RB","2","2025","San Francisco","49ers","0","0","0","0","0","","48","174","3.63","1","10","10","27","2.70","0","17.6","35.1"
"23","Philadelphia Eagles","RB","2","2025","Philadelphia","Eagles","0","0","0","0","0","","38","162","4.26","2","8","5","17","2.13","0","17.0","33.9"
"24","Jacksonville Jaguars","RB","2","2025","Jacksonville","Jaguars","0","0","0","0","0","","36","120","3.33","0","11","7","54","4.91","1","15.2","30.4"
"25","Green Bay Packers","RB","2","2025","Green Bay","Packers","0","0","0","0","0","","32","78","2.44","0","19","16","56","2.95","0","14.7","29.4"
"26","Washington Commanders","RB","2","2025","Washington","Commanders","0","0","0","0","0","","38","114","3.00","1","9","7","50","5.56","0","14.7","29.4"
"27","Kansas City Chiefs","RB","2","2025","Kansas City","Chiefs","0","0","0","0","0","","41","160","3.90","1","5","5","24","4.80","0","14.7","29.4"
"28","Las Vegas Raiders","RB","2","2025","Las Vegas","Raiders","0","0","0","0","0","","29","97","3.34","0","14","11","57","4.07","0","13.2","26.4"
"29","Atlanta Falcons","RB","2","2025","Atlanta","Falcons","0","0","0","0","0","","31","106","3.42","0","9","7","18","2.00","1","12.7","25.4"
"30","Los Angeles Chargers","RB","2","2025","Los Angeles","Chargers","0","0","0","0","0","","23","82","3.57","0","15","11","46","3.07","0","11.9","23.8"
"31","Cleveland Browns","RB","2","2025","Cleveland","Browns","0","0","0","0","0","","35","73","2.09","1","8","7","32","4.00","0","11.8","23.5"
"32","Los Angeles Rams","RB","2","2025","Los Angeles","Rams","0","0","0","0","0","","41","169","4.12","0","5","2","17","3.40","0","9.8","19.6"

"Rank","Rank, Most to Least"
"Name","Team"
"POS","Player Position"
"G","Games Played"
"DB","Dropbacks"
"ATT","Passing Attempts"
"CMP","Passing Completions"
"YDS","Passing Yards"
"TD","Passing Touchdowns"
"RATE","QB Passer Rating"
"ATT","Rushing Attempts"
"YDS","Rushing Yards"
"YPC","Rushing Yards per Carry"
"TD","Rushing Touchdowns"
"TGT","Targets"
"REC","Receptions"
"YDS","Receiving Yards"
"YPT","Yards per Target"
"TD","Receiving Touchdowns"
"FP/G","Fantasy Points per Game"
"FP","Fantasy Points"
