"Team Details","","","","","","","Passing","","","","","","Rushing","","","","Receiving","","","","","FPTS",""
"Rank","Name","POS","G","Season","Location","Team Name","DB","ATT","CMP","YDS","TD","RATE","ATT","YDS","YPC","TD","TGT","REC","YDS","YPT","TD","FP/G","FP"
"1","Cincinnati Bengals","TE","12","2025","Cincinnati","Bengals","1","1","0","0","0","39.6","3","6","2.00","0","121","86","1121","9.26","13","23.0","275.7"
"2","Jacksonville Jaguars","TE","12","2025","Jacksonville","Jaguars","0","0","0","0","0","","1","6","6.00","0","112","84","831","7.42","7","17.4","208.7"
"3","Miami Dolphins","TE","12","2025","Miami","Dolphins","0","0","0","0","0","","4","9","2.25","0","98","76","817","8.34","7","16.6","199.6"
"4","Indianapolis Colts","TE","12","2025","Indianapolis","Colts","0","0","0","0","0","","6","8","1.33","0","103","79","865","8.40","5","16.5","198.3"
"5","Seattle Seahawks","TE","12","2025","Seattle","Seahawks","0","0","0","0","0","","0","0","","0","105","82","843","8.03","5","16.5","198.3"
"6","Pittsburgh Steelers","TE","12","2025","Pittsburgh","Steelers","0","0","0","0","0","","1","2","2.00","0","92","73","765","8.32","7","15.9","190.7"
"7","Washington Commanders","TE","12","2025","Washington","Commanders","0","0","0","0","0","","1","1","1.00","1","81","62","753","9.30","6","15.1","181.4"
"8","New England Patriots","TE","13","2025","New England","Patriots","0","0","0","0","0","","2","3","1.50","1","107","79","789","7.37","4","14.4","187.2"
"9","Arizona Cardinals","TE","12","2025","Arizona","Cardinals","0","0","0","0","0","","2","3","1.50","0","91","69","742","8.15","5","14.4","172.5"
"10","San Francisco 49ers","TE","13","2025","San Francisco","49ers","0","0","0","0","0","","2","2","1.00","0","101","72","684","6.77","8","14.4","186.6"
"11","Chicago Bears","TE","12","2025","Chicago","Bears","0","0","0","0","0","","5","3","0.60","0","89","74","671","7.54","5","14.3","171.4"
"12","Carolina Panthers","TE","13","2025","Carolina","Panthers","1","1","0","0","0","39.6","7","20","2.86","0","90","70","830","9.22","5","14.2","185.0"
"13","Minnesota Vikings","TE","12","2025","Minnesota","Vikings","0","0","0","0","0","","2","4","2.00","0","88","68","648","7.36","6","14.0","168.2"
"14","Dallas Cowboys","TE","12","2025","Dallas","Cowboys","0","0","0","0","0","","0","0","","0","95","74","682","7.18","4","14.0","168.2"
"15","Denver Broncos","TE","12","2025","Denver","Broncos","0","0","0","0","0","","2","-4","-2.00","0","100","66","765","7.65","4","13.8","166.1"
"16","Los Angeles Rams","TE","12","2025","Los Angeles","Rams","1","1","0","0","0","39.6","11","36","3.27","1","89","68","544","6.11","5","13.5","162.0"
"17","New Orleans Saints","TE","12","2025","New Orleans","Saints","0","0","0","0","0","","1","2","2.00","0","83","64","661","7.96","5","13.4","160.3"
"18","Tampa Bay Buccaneers","TE","12","2025","Tampa Bay","Buccaneers","0","0","0","0","0","","2","6","3.00","0","85","65","582","6.85","6","13.3","159.8"
"19","New York Jets","TE","12","2025","New York","Jets","0","0","0","0","0","","3","9","3.00","0","83","60","552","6.65","7","13.2","158.1"
"20","Cleveland Browns","TE","12","2025","Cleveland","Browns","0","0","0","0","0","","3","47","15.67","1","80","57","595","7.44","5","13.1","157.2"
"21","Green Bay Packers","TE","12","2025","Green Bay","Packers","0","0","0","0","0","","1","0","","0","90","70","519","5.77","5","12.7","151.9"
"22","New York Giants","TE","13","2025","New York","Giants","1","1","1","19","0","118.8","7","-4","-0.57","0","87","64","595","6.84","5","11.8","153.9"
"23","Tennessee Titans","TE","12","2025","Tennessee","Titans","0","0","0","0","0","","0","0","","0","77","60","560","7.27","4","11.7","140.0"
"24","Detroit Lions","TE","12","2025","Detroit","Lions","0","0","0","0","0","","2","4","2.00","0","78","51","584","7.49","5","11.7","139.8"
"25","Baltimore Ravens","TE","12","2025","Baltimore","Ravens","0","0","0","0","0","","2","3","1.50","0","78","60","601","7.71","3","11.5","138.4"
"26","Kansas City Chiefs","TE","12","2025","Kansas City","Chiefs","0","0","0","0","0","","1","2","2.00","0","69","58","581","8.42","3","11.2","134.3"
"27","Los Angeles Chargers","TE","12","2025","Los Angeles","Chargers","0","0","0","0","0","","0","0","","0","61","46","486","7.97","6","10.9","130.6"
"28","Houston Texans","TE","12","2025","Houston","Texans","0","0","0","0","0","","2","2","1.00","0","67","51","473","7.06","4","10.0","120.5"
"29","Philadelphia Eagles","TE","12","2025","Philadelphia","Eagles","0","0","0","0","0","","1","1","1.00","0","75","49","420","5.60","3","9.1","109.1"
"30","Las Vegas Raiders","TE","12","2025","Las Vegas","Raiders","1","1","0","0","0","39.6","1","4","4.00","0","62","43","462","7.45","3","9.0","107.6"
"31","Atlanta Falcons","TE","12","2025","Atlanta","Falcons","2","2","0","0","0","39.6","10","17","1.70","0","62","43","465","7.50","1","8.3","99.2"
"32","Buffalo Bills","TE","12","2025","Buffalo","Bills","0","0","0","0","0","","1","2","2.00","0","48","29","329","6.85","1","5.8","70.1"

"Rank","Rank, Most to Least"
"Name","Team"
"POS","Player Position"
"G","Games Played"
"DB","Dropbacks"
"ATT","Passing Attempts"
"CMP","Passing Completions"
"YDS","Passing Yards"
"TD","Passing Touchdowns"
"RATE","QB Passer Rating"
"ATT","Rushing Attempts"
"YDS","Rushing Yards"
"YPC","Rushing Yards per Carry"
"TD","Rushing Touchdowns"
"TGT","Targets"
"REC","Receptions"
"YDS","Receiving Yards"
"YPT","Yards per Target"
"TD","Receiving Touchdowns"
"FP/G","Fantasy Points per Game"
"FP","Fantasy Points"
