"Player Details","","","","","","Target Share","","","","","","","","","","","","","","","","","",""
"Rank","Name","Team","POS","G","Season","W1","W2","W3","W4","W5","W6","W7","W8","W9","W10","W11","W12","W13","W14","W15","W16","W17","W18","TM TGT %"
"35","Stefon Diggs","NE","WR","17","2025","15.2","21.7","8.1","38.9","40.0","11.5","29.2","20.8","13.8","22.6","32.4","8.6","12.9","","13.0","22.7","24.0","13.6","19.9"
"36","Ladd McConkey","LAC","WR","16","2025","26.5","18.5","14.9","14.6","21.2","23.7","25.5","40.0","20.7","18.2","15.4","","28.6","19.2","6.9","20.7","6.3","","19.8"
"37","Michael Pittman","IND","WR","17","2025","27.6","14.7","24.0","30.3","15.6","10.0","26.5","29.0","22.0","7.7","","25.8","14.8","30.6","18.5","13.9","9.7","11.4","19.7"
"38","Courtland Sutton","DEN","WR","17","2025","22.5","13.3","32.0","14.3","25.6","10.0","18.0","20.7","16.2","14.3","15.8","","13.3","26.3","29.4","23.4","26.3","8.7","19.6"
"39","Khalil Shakir","BUF","WR","16","2025","17.4","3.7","14.3","22.7","29.0","19.2","","30.4","30.8","22.5","10.0","26.5","17.4","7.1","17.9","26.3","20.0","","19.5"
"40","Harold Fannin","CLV","TE","16","2025","20.0","10.4","11.1","14.3","12.1","19.2","27.8","22.9","","21.9","19.2","30.0","19.2","23.8","40.0","16.7","8.7","","19.4"
"41","Tyler Warren","IND","TE","17","2025","31.0","20.6","16.0","18.2","12.5","30.0","14.7","16.1","10.0","38.5","","22.6","11.1","16.7","22.2","22.2","16.1","20.0","19.4"
"42","Michael Wilson","ARZ","WR","17","2025","13.8","8.0","5.7","12.2","12.5","11.4","11.1","","12.9","15.6","31.6","28.0","17.5","36.4","27.5","9.7","27.0","25.0","19.1"
"43","De'Von Achane","MIA","RB","16","2025","12.9","31.3","26.5","8.0","19.4","18.2","16.1","25.9","25.0","28.6","25.0","","4.3","4.8","21.4","10.0","13.6","","18.7"
"44","Jerry Jeudy","CLV","WR","17","2025","17.8","16.7","13.9","25.7","9.1","25.0","22.2","5.7","","37.5","26.9","15.0","15.4","11.9","11.4","13.3","30.4","27.3","18.6"
"45","Zach Ertz","WAS","TE","13","2025","16.7","16.7","14.3","14.8","3.8","23.1","21.9","20.0","18.2","22.7","26.7","","26.0","8.3","","","","","18.6"
"46","Dallas Goedert","PHI","TE","15","2025","30.4","","6.3","16.7","21.1","33.3","13.0","15.0","","23.1","17.9","5.1","11.8","25.0","38.9","10.0","18.5","","18.4"
"47","Christian Watson","GB","WR","10","2025","","","","","","","","10.8","10.8","11.1","19.2","31.8","33.3","16.0","12.5","25.0","24.0","","18.2"
"48","Jakobie Keeney-James","GB","WR","1","2025","","","","","","","","","","","","","","","","","","18.2","18.2"
"49","Brian Thomas","JAX","WR","14","2025","22.6","26.2","15.0","22.6","24.0","23.8","14.6","","14.7","","","","11.1","19.4","21.9","5.6","18.9","12.5","18.0"
"50","Bijan Robinson","ATL","RB","17","2025","16.7","23.8","14.0","19.2","","25.0","18.4","9.7","27.0","7.1","13.3","8.7","21.2","6.7","25.0","25.7","35.0","9.4","18.0"
"51","Travis Kelce","KC","TE","17","2025","10.3","20.7","16.2","13.5","19.5","23.3","8.6","23.5","14.7","","28.9","13.0","17.6","15.2","27.3","12.5","27.3","16.1","18.0"
"52","Jauan Jennings","SF","WR","15","2025","14.3","23.1","","10.5","","7.7","26.9","21.9","20.8","23.1","19.2","21.9","20.0","","13.3","17.6","9.1","22.2","17.8"
"53","Sam LaPorta","DET","TE","9","2025","23.1","14.3","14.3","14.8","25.0","20.7","10.3","","21.6","14.3","","","","","","","","","17.8"
"54","Dalton Schultz","HST","TE","17","2025","14.8","16.7","15.8","21.4","19.4","","20.4","7.7","20.0","24.4","22.0","10.0","20.0","12.9","31.0","14.3","14.3","12.5","17.7"
"55","Romeo Doubs","GB","WR","16","2025","18.2","16.1","8.0","18.6","","34.6","27.6","16.2","27.0","11.1","30.8","9.1","13.3","8.0","7.5","25.0","12.0","","17.6"
"56","Tre Tucker","LV","WR","17","2025","8.8","18.6","31.0","9.5","16.7","21.7","33.3","","10.3","11.1","19.0","22.7","13.0","15.6","8.0","21.7","16.7","23.1","17.5"
"57","Ricky Pearsall","SF","WR","9","2025","20.0","15.4","26.8","13.2","","","","","","","7.7","12.5","10.0","","23.3","","24.2","","17.4"
"58","Alec Pierce","IND","WR","15","2025","10.3","14.7","20.0","","","13.3","29.4","16.1","24.0","26.9","","6.5","18.5","22.2","3.7","11.1","19.4","20.0","17.4"
"59","Jordan Addison","MIN","WR","14","2025","","","","15.2","17.1","","28.6","12.9","16.0","14.3","21.9","5.3","33.3","30.4","8.3","13.0","6.3","9.7","17.4"
"60","Quentin Johnston","LAC","WR","14","2025","20.6","25.9","19.1","31.7","12.1","","9.1","0.0","17.2","24.2","7.7","","14.3","11.5","","17.2","25.0","","17.2"
"61","Marvin Harrison","ARZ","WR","12","2025","20.7","16.0","17.1","24.4","15.6","4.5","19.4","","32.3","26.7","","","17.5","","","9.7","2.7","","17.1"
"62","Tee Higgins","CIN","WR","15","2025","17.4","17.8","7.4","24.0","17.5","15.6","19.1","5.9","19.1","","20.0","15.8","","30.6","","9.1","13.9","20.5","17.1"
"63","Mason Taylor","NYJ","TE","13","2025","4.5","9.1","13.9","25.9","26.1","5.9","11.8","24.2","","18.2","14.8","17.9","12.1","23.5","","","","","17.0"
"64","Jameson Williams","DET","WR","17","2025","12.8","14.3","10.7","29.6","4.2","24.1","6.9","","16.2","20.0","16.2","7.1","37.0","26.5","22.0","16.7","6.9","19.0","17.0"
"65","Travis Hunter","JAX","WR","7","2025","25.8","14.3","5.0","16.1","12.0","16.7","27.1","","","","","","","","","","","","17.0"
"66","Juwan Johnson","NO","TE","17","2025","23.9","26.5","19.5","10.7","9.4","7.7","21.9","15.7","16.0","14.3","","15.6","21.1","20.0","12.1","18.0","14.8","14.3","16.9"
