"Team Details","","","","","","","Passing","","","","","","Rushing","","","","Receiving","","","","","FPTS",""
"Rank","Name","POS","G","Season","Location","Team Name","DB","ATT","CMP","YDS","TD","RATE","ATT","YDS","YPC","TD","TGT","REC","YDS","YPT","TD","FP/G","FP"
"1","Dallas Cowboys","QB","14","2025","Dallas","Cowboys","533","471","321","3793","31","109.1","73","314","4.30","7","0","0","0","0.00","0","24.7","345.1"
"2","Cincinnati Bengals","QB","14","2025","Cincinnati","Bengals","502","441","293","3583","28","102.1","65","292","4.49","2","2","2","22","11.00","1","21.3","298.7"
"3","Tampa Bay Buccaneers","QB","14","2025","Tampa Bay","Buccaneers","549","479","320","3703","24","96.2","64","326","5.09","6","0","0","0","0.00","0","21.2","296.7"
"4","New York Giants","QB","14","2025","New York","Giants","533","472","305","3394","24","98.4","77","357","4.64","4","1","1","0","0.00","0","21.0","293.5"
"5","Detroit Lions","QB","14","2025","Detroit","Lions","528","463","285","3465","27","93.2","72","232","3.22","3","1","1","33","33.00","1","20.5","287.1"
"6","Washington Commanders","QB","14","2025","Washington","Commanders","490","433","288","3638","28","107.3","53","266","5.02","1","0","0","0","0.00","0","20.4","285.1"
"7","Tennessee Titans","QB","14","2025","Tennessee","Titans","498","431","294","3491","25","106.2","70","300","4.29","3","0","0","0","0.00","0","20.0","280.6"
"8","Pittsburgh Steelers","QB","14","2025","Pittsburgh","Steelers","582","518","334","3649","23","90.3","56","232","4.14","5","0","0","0","0.00","0","19.9","279.2"
"9","Chicago Bears","QB","14","2025","Chicago","Bears","481","434","287","3235","27","88.8","46","317","6.89","3","0","0","0","0.00","0","19.0","266.1"
"10","New York Jets","QB","14","2025","New York","Jets","465","411","259","2958","25","104.9","62","293","4.73","2","0","0","0","0.00","0","18.5","259.6"
"11","Jacksonville Jaguars","QB","14","2025","Jacksonville","Jaguars","585","524","331","3310","23","81.4","54","262","4.85","4","0","0","0","0.00","0","18.5","258.6"
