game_id,teams,home_score,away_score
2011_16_HOU_IND,HOU@IND,19,16
2011_16_CLE_BAL,CLE@BAL,20,14
2011_16_DEN_BUF,DEN@BUF,40,14
2011_16_TB_CAR,TB@CAR,48,16
2011_16_ARI_CIN,ARI@CIN,23,16
2011_16_OAK_KC,OAK@KC,13,16
2011_16_MIA_NE,MIA@NE,27,24
2011_16_NYG_NYJ,NYG@NYJ,14,29
2011_16_STL_PIT,STL@PIT,27,0
2011_16_JAX_TEN,JAX@TEN,23,17
2011_16_MIN_WAS,MIN@WAS,26,33
2011_16_SD_DET,SD@DET,38,10
2011_16_PHI_DAL,PHI@DAL,7,20
2011_16_SF_SEA,SF@SEA,17,19
2011_16_CHI_GB,CHI@GB,35,21
2011_16_ATL_NO,ATL@NO,45,16
