game_id,teams,home_score,away_score
2011_15_JAX_ATL,JAX@ATL,41,14
2011_15_DAL_TB,DAL@TB,15,31
2011_15_MIA_BUF,MIA@BUF,23,30
2011_15_SEA_CHI,SEA@CHI,14,38
2011_15_CAR_HOU,CAR@HOU,13,28
2011_15_TEN_IND,TEN@IND,27,13
2011_15_GB_KC,GB@KC,19,14
2011_15_NO_MIN,NO@MIN,20,42
2011_15_WAS_NYG,WAS@NYG,10,23
2011_15_CIN_STL,CIN@STL,13,20
2011_15_DET_OAK,DET@OAK,27,28
2011_15_CLE_ARI,CLE@ARI,20,17
2011_15_NE_DEN,NE@DEN,23,41
2011_15_NYJ_PHI,NYJ@PHI,45,19
2011_15_BAL_SD,BAL@SD,34,14
2011_15_PIT_SF,PIT@SF,20,3
