game_id,teams,home_score,away_score
2011_03_NE_BUF,NE@BUF,34,31
2011_03_JAX_CAR,JAX@CAR,16,10
2011_03_SF_CIN,SF@CIN,8,13
2011_03_MIA_CLE,MIA@CLE,17,16
2011_03_DET_MIN,DET@MIN,23,26
2011_03_HOU_NO,HOU@NO,40,33
2011_03_NYG_PHI,NYG@PHI,16,29
2011_03_DEN_TEN,DEN@TEN,17,14
2011_03_NYJ_OAK,NYJ@OAK,34,24
2011_03_KC_SD,KC@SD,20,17
2011_03_BAL_STL,BAL@STL,7,37
2011_03_GB_CHI,GB@CHI,17,27
2011_03_ARI_SEA,ARI@SEA,13,10
2011_03_ATL_TB,ATL@TB,16,13
2011_03_PIT_IND,PIT@IND,20,23
2011_03_WAS_DAL,WAS@DAL,18,16
