game_id,teams,home_score,away_score
2011_12_GB_DET,GB@DET,15,27
2011_12_MIA_DAL,MIA@DAL,20,19
2011_12_SF_BAL,SF@BAL,16,6
2011_12_MIN_ATL,MIN@ATL,24,14
2011_12_CLE_CIN,CLE@CIN,23,20
2011_12_CAR_IND,CAR@IND,19,27
2011_12_HOU_JAX,HOU@JAX,13,20
2011_12_BUF_NYJ,BUF@NYJ,28,24
2011_12_ARI_STL,ARI@STL,20,23
2011_12_TB_TEN,TB@TEN,23,17
2011_12_CHI_OAK,CHI@OAK,25,20
2011_12_WAS_SEA,WAS@SEA,17,23
2011_12_NE_PHI,NE@PHI,20,38
2011_12_DEN_SD,DEN@SD,13,16
2011_12_PIT_KC,PIT@KC,9,13
2011_12_NYG_NO,NYG@NO,49,24
