game_id,teams,home_score,away_score
2011_04_CAR_CHI,CAR@CHI,34,29
2011_04_BUF_CIN,BUF@CIN,23,20
2011_04_TEN_CLE,TEN@CLE,13,31
2011_04_DET_DAL,DET@DAL,30,34
2011_04_PIT_HOU,PIT@HOU,17,10
2011_04_NO_JAX,NO@JAX,10,23
2011_04_MIN_KC,MIN@KC,22,17
2011_04_SF_PHI,SF@PHI,23,24
2011_04_WAS_STL,WAS@STL,10,17
2011_04_NYG_ARI,NYG@ARI,27,31
2011_04_ATL_SEA,ATL@SEA,28,30
2011_04_DEN_GB,DEN@GB,49,23
2011_04_NE_OAK,NE@OAK,19,31
2011_04_MIA_SD,MIA@SD,26,16
2011_04_NYJ_BAL,NYJ@BAL,34,17
2011_04_IND_TB,IND@TB,24,17
