game_id,teams,home_score,away_score
2011_14_CLE_PIT,CLE@PIT,14,3
2011_14_IND_BAL,IND@BAL,24,10
2011_14_ATL_CAR,ATL@CAR,23,31
2011_14_HOU_CIN,HOU@CIN,19,20
2011_14_MIN_DET,MIN@DET,34,28
2011_14_TB_JAX,TB@JAX,41,14
2011_14_PHI_MIA,PHI@MIA,10,26
2011_14_KC_NYJ,KC@NYJ,37,10
2011_14_NO_TEN,NO@TEN,17,22
2011_14_NE_WAS,NE@WAS,27,34
2011_14_SF_ARI,SF@ARI,21,19
2011_14_CHI_DEN,CHI@DEN,13,10
2011_14_OAK_GB,OAK@GB,46,16
2011_14_BUF_SD,BUF@SD,37,10
2011_14_NYG_DAL,NYG@DAL,34,37
2011_14_STL_SEA,STL@SEA,30,13
