family,target,season_slice,n,crps,realized_integer_negative_log_probability,mae,signed_error_predicted_minus_observed,randomized_pit_mean,randomized_pit_variance,coverage_50,coverage_80,coverage_90
league_mean_hfa_gaussian,margin,all,164,8.405277761261376,4.147891801103734,11.607527992993063,1.502724719499871,0.4705545658961394,0.08819144436783584,0.5304878048780488,0.7378048780487805,0.8536585365853658
league_mean_hfa_gaussian,margin,late,94,8.486205858776255,4.128202455178942,11.644239555745804,1.282921829061593,0.4707786033000858,0.08647772200635594,0.5212765957446809,0.7340425531914894,0.8404255319148937
league_mean_hfa_gaussian,margin,middle,70,8.296602887455682,4.1743317799170265,11.5582296087251,1.797888600945559,0.47025371566798285,0.09049257076925926,0.5428571428571428,0.7428571428571429,0.8714285714285714
league_mean_hfa_gaussian,total,all,164,8.093343989055889,4.091557886351008,11.350570352342626,-0.7769320048011017,0.5086201416139061,0.08586207297488167,0.5,0.8048780487804879,0.8963414634146342
league_mean_hfa_gaussian,total,late,94,8.14954251981093,4.085663690270859,11.600944610445366,-0.37223388813844827,0.49920229600785543,0.08839115929641604,0.5,0.7978723404255319,0.8829787234042553
league_mean_hfa_gaussian,total,middle,70,8.017877390613405,4.099472949658634,11.014353491461806,-1.3203837614623788,0.5212669628563172,0.08218682344570112,0.5,0.8142857142857143,0.9142857142857143
structural_gaussian_map_laplace,margin,all,164,8.075782666360166,4.141413490178761,11.201170324802616,1.0741966665721887,0.4750294691960269,0.09733003072461818,0.47560975609756095,0.75,0.8109756097560976
structural_gaussian_map_laplace,margin,late,94,8.125139820154272,4.097859185043017,11.501223727166634,1.281362325269343,0.4705717981274755,0.1010917911024573,0.4574468085106383,0.7446808510638298,0.8085106382978723
structural_gaussian_map_laplace,margin,middle,70,8.009503059836646,4.199900699932471,10.798241470199507,0.7960027820360109,0.4810154846309387,0.09221600786291287,0.5,0.7571428571428571,0.8142857142857143
structural_gaussian_map_laplace,total,all,164,7.87894976564913,4.063456458467724,11.01979902567428,-1.196216673928245,0.5156469306829791,0.08658544027606856,0.5365853658536586,0.7621951219512195,0.8963414634146342
structural_gaussian_map_laplace,total,late,94,7.818124255782198,4.0507930423855125,10.972459458937099,-0.9083639347806395,0.5103020352123148,0.08826790167277386,0.5425531914893617,0.7553191489361702,0.8829787234042553
structural_gaussian_map_laplace,total,middle,70,7.960629736041869,4.080461617206694,11.083369301007066,-1.5827617807836003,0.5228243617435849,0.08423625683652484,0.5285714285714286,0.7714285714285715,0.9142857142857143
structural_ridge_gaussian,margin,all,164,8.304820563844705,4.08740986743399,11.721938066025773,0.15603483231641183,0.4818512293592215,0.08103484622840472,0.5365853658536586,0.8048780487804879,0.9024390243902439
structural_ridge_gaussian,margin,late,94,8.04365022063857,4.066431482610565,11.460209099443196,1.6725845123234717,0.46440174229182196,0.08423120131482335,0.5106382978723404,0.7978723404255319,0.8936170212765957
structural_ridge_gaussian,margin,middle,70,8.655535024721516,4.115580841339732,12.073402678293807,-1.880474737978784,0.5052833977068723,0.07578465213748357,0.5714285714285714,0.8142857142857143,0.9142857142857143
structural_ridge_gaussian,total,all,164,7.777891976099163,4.0496801214054,10.810828433604733,-1.4535738684248138,0.5204650903552052,0.08285314923540671,0.5365853658536586,0.7926829268292683,0.8963414634146342
structural_ridge_gaussian,total,late,94,7.798514806465426,4.043583985818709,10.970327925361858,-1.219516174466011,0.5166266210561578,0.08495688747418803,0.5212765957446809,0.7978723404255319,0.8936170212765957
structural_ridge_gaussian,total,middle,70,7.750198461035893,4.057866360621813,10.596643401816591,-1.7678799145980646,0.5256196062710689,0.07998177482933612,0.5571428571428572,0.7857142857142857,0.9
structural_student_t_map_laplace,margin,all,164,8.08711216718852,4.1498621162467915,11.186017103567751,1.0926944721018408,0.4743034507910268,0.09809767908702424,0.4695121951219512,0.7439024390243902,0.8109756097560976
structural_student_t_map_laplace,margin,late,94,8.12766918446084,4.108243456588877,11.460459532745972,1.2797613235824588,0.4700210523654055,0.10186017413760418,0.43617021276595747,0.7340425531914894,0.8191489361702128
structural_student_t_map_laplace,margin,middle,70,8.032649886851406,4.2057500306445625,10.817480127242714,0.8414904143992966,0.4800541001054328,0.09298748919428079,0.5142857142857142,0.7571428571428571,0.8
structural_student_t_map_laplace,total,all,164,7.870675963459148,4.065185291714588,10.982903181611501,-1.4638365988854192,0.5235029661416126,0.08834349967996367,0.5,0.7621951219512195,0.8963414634146342
structural_student_t_map_laplace,total,late,94,7.845408717337503,4.061344336900856,11.005027962487727,-1.1218923034014634,0.516191165837122,0.09014938013134874,0.4787234042553192,0.7659574468085106,0.8829787234042553
structural_student_t_map_laplace,total,middle,70,7.90460626539393,4.070343145321598,10.953192761577714,-1.9230189385353023,0.533321669407643,0.08575026088531855,0.5285714285714286,0.7571428571428571,0.9142857142857143
