forecast_as_of,family,target,training_games,intercept,structural_coefficient,environment_coefficient,residual_scale,nu,ridge_penalty,intercept_posterior_sd,structural_coefficient_posterior_sd,environment_coefficient_posterior_sd,residual_scale_posterior_sd,nu_posterior_sd,prior_intercept_sd_standardized,prior_coefficient_sd_standardized,prior_log_scale_sd,prior_nu_minus_two_mean,structural_prior_sd_raw_equivalent,environment_prior_sd_raw_equivalent
2025-10-21T16:00:00+00:00,league_mean_hfa_gaussian,margin,15,0.0,0.0,1.0,9.398341976259188,,,,,,,,,,,,,
2025-10-21T16:00:00+00:00,league_mean_hfa_gaussian,total,15,0.0,0.0,1.0,11.67732555542769,,,,,,,,,,,,,
2025-10-21T16:00:00+00:00,structural_ridge_gaussian,margin,15,3.9087701162262105,15.056736246862364,3.3152094875862046,8.035634801802,,4.0,,,,,,,,,,,
2025-10-21T16:00:00+00:00,structural_ridge_gaussian,total,15,-4.419838837522207,25.051121470422608,1.0562008985401894,10.95988425769746,,4.0,,,,,,,,,,,
2025-10-21T16:00:00+00:00,structural_gaussian_map_laplace,margin,15,3.9900474674696085,6.830628264593574,0.6835746895935171,6.904971857784308,,,2.2011494435262606,13.663081047369605,0.6626539824882197,3.483142413221165,,2.0,1.0,0.75,,38.9540554582972,1.2697198907571885
2025-10-21T16:00:00+00:00,structural_gaussian_map_laplace,total,15,23.5819509442769,29.149914920373828,0.41377395071940104,8.32502659183229,,,29.22508975705689,16.35417278743482,0.6839430247888958,4.370745580246355,,2.0,1.0,0.75,,51.8199585747373,1.1850819168385383
2025-10-21T16:00:00+00:00,structural_student_t_map_laplace,margin,15,4.045760113483998,7.5542754560649685,0.7497993056035691,6.206082476085375,13.067874404260742,,2.2455102432263505,12.834560130435907,0.5201585262293686,3.0247933007117735,10.128616178443504,2.0,1.0,0.75,10.0,38.9540554582972,1.2697198907571885
2025-10-21T16:00:00+00:00,structural_student_t_map_laplace,total,15,21.926126515715982,29.394163567570445,0.45888574737748244,7.3796551967983115,12.00998446925578,,26.61114093830612,14.686418362191537,0.6259150182655002,4.343108797350069,9.945535518637465,2.0,1.0,0.75,10.0,51.8199585747373,1.1850819168385383
2025-10-28T16:00:00+00:00,league_mean_hfa_gaussian,margin,30,0.0,0.0,1.0,13.026085917770246,,,,,,,,,,,,,
2025-10-28T16:00:00+00:00,league_mean_hfa_gaussian,total,30,0.0,0.0,1.0,13.106300801542684,,,,,,,,,,,,,
