artifact_class,team,offense_mean,offense_sd,defense_mean,defense_sd
development_training_rehearsal_non_evidence,ARI,0.018635775547514763,0.08539486392978253,-0.010925752438013994,0.0866364418857243
development_training_rehearsal_non_evidence,ATL,-0.032527981933058905,0.086354635993304,0.03579519808405739,0.08593158210036123
development_training_rehearsal_non_evidence,BAL,0.04540031908345842,0.08638684301616936,0.015849785250492285,0.08662494606980638
development_training_rehearsal_non_evidence,BUF,0.07734438809819494,0.08557251964730604,-0.014665687591467205,0.08441463883484002
development_training_rehearsal_non_evidence,CAR,0.003221855443263744,0.08584702768738109,-0.05257792954204506,0.0850801279375131
development_training_rehearsal_non_evidence,CHI,0.05820266966318991,0.08434865397914348,-0.03763282959551798,0.08490109344275891
development_training_rehearsal_non_evidence,CIN,0.03420579462837328,0.08587251396906487,-0.03742114560957268,0.08708762407804083
development_training_rehearsal_non_evidence,CLE,-0.07725443559238666,0.08711607412121015,-0.003967799964110213,0.08655615955376138
development_training_rehearsal_non_evidence,DAL,0.04536278971814925,0.08666890676707373,-0.1014255117345149,0.08603543513263755
development_training_rehearsal_non_evidence,DEN,-0.03727646038838181,0.08596233755673194,0.030865550909684198,0.08476183429183906
development_training_rehearsal_non_evidence,DET,0.015928576184422855,0.08509563205606334,0.005731067440234046,0.08453418443597262
development_training_rehearsal_non_evidence,GB,0.015156335442466194,0.0856391260854764,-0.010733217875375569,0.0857912714703513
development_training_rehearsal_non_evidence,HOU,-0.011168191791210492,0.08415157968179023,0.059434771667332624,0.08582847348069453
development_training_rehearsal_non_evidence,IND,0.007210881711713675,0.08675665655770579,-0.04160756085597225,0.08615416656732075
development_training_rehearsal_non_evidence,JAX,0.05447994776344429,0.08614547555784345,0.025641726071928526,0.08657911480942547
development_training_rehearsal_non_evidence,KC,-0.0015171449914616227,0.08608071525465902,0.042294227818384315,0.0872059409776486
development_training_rehearsal_non_evidence,LAC,-0.04203750428899195,0.08625771323875257,0.009306523706450368,0.08507605949270768
development_training_rehearsal_non_evidence,LAR,0.038479960365186305,0.08478116695685138,-0.005329457403140165,0.08424643571667127
development_training_rehearsal_non_evidence,LV,-0.06905108698256508,0.08605654220987992,0.025133845498105527,0.08677080844877727
development_training_rehearsal_non_evidence,MIA,-0.04389933865086569,0.08706246560231441,-0.039888978711425764,0.08590308390883993
development_training_rehearsal_non_evidence,MIN,-0.04436218386543229,0.08652286289535137,0.06998715985108651,0.08601837416325694
development_training_rehearsal_non_evidence,NE,0.015190406997511797,0.0837122425378355,0.04295277695464573,0.08498885983068107
development_training_rehearsal_non_evidence,NO,-0.020356462027302746,0.08457216846446991,0.02318218399966287,0.08521892198308972
development_training_rehearsal_non_evidence,NYG,0.0362211262310178,0.08596964612461742,-0.030626122942614138,0.08702208457016034
development_training_rehearsal_non_evidence,NYJ,-0.04117675271490781,0.08611431184138488,-0.03382622458427507,0.08670801289262592
development_training_rehearsal_non_evidence,PHI,-0.03345232136048046,0.08654211552353196,0.03510704607130695,0.08534615400089361
development_training_rehearsal_non_evidence,PIT,-0.04573632076531565,0.0855541197987055,0.012557364413269495,0.08592828444575984
development_training_rehearsal_non_evidence,SEA,0.02168381618151633,0.0852830170526246,0.07131053630466877,0.08405919273796196
development_training_rehearsal_non_evidence,SF,0.060975245978646765,0.08498510358504274,-0.002166715200334677,0.08556352119720391
development_training_rehearsal_non_evidence,TB,-0.0013444807485509624,0.08685723917621174,-0.012443245014677811,0.08617277650633279
development_training_rehearsal_non_evidence,TEN,-0.05800965581017676,0.08688138789910538,-0.04619175222095453,0.08621440111082299
development_training_rehearsal_non_evidence,WAS,0.011470432873018582,0.08600247785840823,-0.023719832757297554,0.08695803635074388
