forecast_as_of,family,target,optimizer_success,objective_value,raw_hessian_min_eigenvalue,raw_hessian_max_eigenvalue,nonpositive_eigenvalues,floored_eigenvalues,floored_fraction,stabilized_condition_number,covariance_clipped_eigenvalues,max_covariance_eigenvalue_reduction,optimizer_gradient_norm,status
2025-10-21T16:00:00+00:00,structural_gaussian_map_laplace,margin,True,21.375240514964037,2.053236767814844,26.680020675795394,0,0,0.0,12.994127659319869,0,0.0,1.2393828892003764e-05,ok
2025-10-21T16:00:00+00:00,structural_gaussian_map_laplace,total,True,20.734840495815355,1.8685609495637405,28.326922789876242,0,0,0.0,15.159753176095128,0,0.0,1.5888218581014714e-06,ok
2025-10-21T16:00:00+00:00,structural_student_t_map_laplace,margin,True,22.498218948069578,1.1792746640335365,25.036803927421385,0,0,0.0,21.230680765909664,0,0.0,3.924100536360748e-06,ok
2025-10-21T16:00:00+00:00,structural_student_t_map_laplace,total,True,21.729242090406494,0.9875135073930014,29.926746601516545,0,0,0.0,30.305151653593107,0,0.0,3.972054663867449e-06,ok
2025-10-28T16:00:00+00:00,structural_gaussian_map_laplace,margin,True,41.21702928627767,7.527006022798796,51.4054052245128,0,0,0.0,6.829462480674159,0,0.0,1.7404671422083514e-06,ok
2025-10-28T16:00:00+00:00,structural_gaussian_map_laplace,total,True,42.24012693714253,1.4042035835852624,53.359495245664775,0,0,0.0,37.99982842190548,0,0.0,1.5888218587491704e-06,ok
2025-10-28T16:00:00+00:00,structural_student_t_map_laplace,margin,True,42.29908137123026,1.1998632537241893,45.45539266416872,0,0,0.0,37.883810945190824,0,0.0,5.036339735381979e-05,ok
2025-10-28T16:00:00+00:00,structural_student_t_map_laplace,total,True,43.45383081349561,1.1699764895326423,46.35350205205418,0,0,0.0,39.61917394645298,0,0.0,5.411332273364836e-06,ok
2025-11-04T16:00:00+00:00,structural_gaussian_map_laplace,margin,True,57.26154057389746,1.5074495719512073,107.07280769674422,0,0,0.0,71.02911413358372,0,0.0,2.356603654347067e-06,ok
2025-11-04T16:00:00+00:00,structural_gaussian_map_laplace,total,True,60.82527857246602,5.52915215056926,79.54514503331092,0,0,0.0,14.38649956939985,0,0.0,5.02429587022347e-06,ok
2025-11-04T16:00:00+00:00,structural_student_t_map_laplace,margin,True,58.36905255246028,0.3879278608588027,115.96342692536298,0,0,0.0,298.93039048198483,0,0.0,9.612043973060203e-06,ok
2025-11-04T16:00:00+00:00,structural_student_t_map_laplace,total,True,62.00359324900465,1.316593907228858,67.13310772763494,0,0,0.0,50.98998814975184,0,0.0,7.685694817892703e-06,ok
2025-11-11T16:00:00+00:00,structural_gaussian_map_laplace,margin,True,75.48814451023291,3.5820939155802973,111.78351137448902,0,0,0.0,31.206192246464358,0,0.0,5.31721493346624e-06,ok
2025-11-11T16:00:00+00:00,structural_gaussian_map_laplace,total,True,80.84821446405951,7.2238366832330385,110.93762464432643,0,0,0.0,15.35716123010081,0,0.0,3.480934287637214e-06,ok
2025-11-11T16:00:00+00:00,structural_student_t_map_laplace,margin,True,76.62006844529897,1.236774140456772,106.37457711319362,0,0,0.0,86.00970349679756,0,0.0,0.000265046726304587,ok
