game_id,teams,kickoff,stadium,home_team,away_team
2020_08_ATL_CAR,ATL@CAR,2020-10-29T20:20,Bank of America Stadium,CAR,ATL
2020_08_PIT_BAL,PIT@BAL,2020-11-01T13:00,M&T Bank Stadium,BAL,PIT
2020_08_NE_BUF,NE@BUF,2020-11-01T13:00,New Era Field,BUF,NE
2020_08_TEN_CIN,TEN@CIN,2020-11-01T13:00,Paul Brown Stadium,CIN,TEN
2020_08_LV_CLE,LV@CLE,2020-11-01T13:00,FirstEnergy Stadium,CLE,LV
2020_08_IND_DET,IND@DET,2020-11-01T13:00,Ford Field,DET,IND
2020_08_MIN_GB,MIN@GB,2020-11-01T13:00,Lambeau Field,GB,MIN
2020_08_NYJ_KC,NYJ@KC,2020-11-01T13:00,Arrowhead Stadium,KC,NYJ
2020_08_LA_MIA,LA@MIA,2020-11-01T13:00,Hard Rock Stadium,MIA,LA
2020_08_LAC_DEN,LAC@DEN,2020-11-01T16:05,Empower Field at Mile High,DEN,LAC
2020_08_NO_CHI,NO@CHI,2020-11-01T16:25,Soldier Field,CHI,NO
2020_08_SF_SEA,SF@SEA,2020-11-01T16:25,CenturyLink Field,SEA,SF
2020_08_DAL_PHI,DAL@PHI,2020-11-01T20:20,Lincoln Financial Field,PHI,DAL
2020_08_TB_NYG,TB@NYG,2020-11-02T20:15,MetLife Stadium,NYG,TB
