game_id,teams,kickoff,stadium,home_team,away_team
2020_01_HOU_KC,HOU@KC,2020-09-10T20:20,Arrowhead Stadium,KC,HOU
2020_01_SEA_ATL,SEA@ATL,2020-09-13T13:00,Mercedes-Benz Stadium,ATL,SEA
2020_01_CLE_BAL,CLE@BAL,2020-09-13T13:00,M&T Bank Stadium,BAL,CLE
2020_01_NYJ_BUF,NYJ@BUF,2020-09-13T13:00,New Era Field,BUF,NYJ
2020_01_LV_CAR,LV@CAR,2020-09-13T13:00,Bank of America Stadium,CAR,LV
2020_01_CHI_DET,CHI@DET,2020-09-13T13:00,Ford Field,DET,CHI
2020_01_IND_JAX,IND@JAX,2020-09-13T13:00,TIAA Bank Stadium,JAX,IND
2020_01_GB_MIN,GB@MIN,2020-09-13T13:00,U.S. Bank Stadium,MIN,GB
2020_01_MIA_NE,MIA@NE,2020-09-13T13:00,Gillette Stadium,NE,MIA
2020_01_PHI_WAS,PHI@WAS,2020-09-13T13:00,FedExField,WAS,PHI
2020_01_LAC_CIN,LAC@CIN,2020-09-13T16:05,Paul Brown Stadium,CIN,LAC
2020_01_TB_NO,TB@NO,2020-09-13T16:25,Mercedes-Benz Superdome,NO,TB
2020_01_ARI_SF,ARI@SF,2020-09-13T16:25,Levi's Stadium,SF,ARI
2020_01_DAL_LA,DAL@LA,2020-09-13T20:20,SoFi Stadium,LA,DAL
2020_01_PIT_NYG,PIT@NYG,2020-09-14T19:15,MetLife Stadium,NYG,PIT
2020_01_TEN_DEN,TEN@DEN,2020-09-14T22:10,Empower Field at Mile High,DEN,TEN
