game_id,teams,kickoff,stadium,home_team,away_team
2020_12_HOU_DET,HOU@DET,2020-11-26T12:30,Ford Field,DET,HOU
2020_12_WAS_DAL,WAS@DAL,2020-11-26T16:30,AT&T Stadium,DAL,WAS
2020_12_LV_ATL,LV@ATL,2020-11-29T13:00,Mercedes-Benz Stadium,ATL,LV
2020_12_LAC_BUF,LAC@BUF,2020-11-29T13:00,New Era Field,BUF,LAC
2020_12_NYG_CIN,NYG@CIN,2020-11-29T13:00,Paul Brown Stadium,CIN,NYG
2020_12_TEN_IND,TEN@IND,2020-11-29T13:00,Lucas Oil Stadium,IND,TEN
2020_12_CLE_JAX,CLE@JAX,2020-11-29T13:00,TIAA Bank Stadium,JAX,CLE
2020_12_CAR_MIN,CAR@MIN,2020-11-29T13:00,U.S. Bank Stadium,MIN,CAR
2020_12_ARI_NE,ARI@NE,2020-11-29T13:00,Gillette Stadium,NE,ARI
2020_12_MIA_NYJ,MIA@NYJ,2020-11-29T13:00,MetLife Stadium,NYJ,MIA
2020_12_NO_DEN,NO@DEN,2020-11-29T16:05,Empower Field at Mile High,DEN,NO
2020_12_SF_LA,SF@LA,2020-11-29T16:05,SoFi Stadium,LA,SF
2020_12_KC_TB,KC@TB,2020-11-29T16:25,Raymond James Stadium,TB,KC
2020_12_CHI_GB,CHI@GB,2020-11-29T20:20,Lambeau Field,GB,CHI
2020_12_SEA_PHI,SEA@PHI,2020-11-30T20:15,Lincoln Financial Field,PHI,SEA
2020_12_BAL_PIT,BAL@PIT,2020-12-02T15:40,Heinz Field,PIT,BAL
