game_id,teams,home_score,away_score
2023_16_NO_LA,NO@LA,30,22
2023_16_CIN_PIT,CIN@PIT,34,11
2023_16_BUF_LAC,BUF@LAC,22,24
2023_16_IND_ATL,IND@ATL,29,10
2023_16_GB_CAR,GB@CAR,30,33
2023_16_CLE_HOU,CLE@HOU,22,36
2023_16_DET_MIN,DET@MIN,24,30
2023_16_WAS_NYJ,WAS@NYJ,30,28
2023_16_SEA_TEN,SEA@TEN,17,20
2023_16_JAX_TB,JAX@TB,30,12
2023_16_ARI_CHI,ARI@CHI,27,16
2023_16_DAL_MIA,DAL@MIA,22,20
2023_16_NE_DEN,NE@DEN,23,26
2023_16_LV_KC,LV@KC,14,20
2023_16_NYG_PHI,NYG@PHI,33,25
2023_16_BAL_SF,BAL@SF,19,33
