game_id,teams,kickoff,stadium,home_team,away_team
2025_06_PHI_NYG,PHI@NYG,2025-10-09T20:15,MetLife Stadium,NYG,PHI
2025_06_DEN_NYJ,DEN@NYJ,2025-10-12T09:30,MetLife Stadium,NYJ,DEN
2025_06_LA_BAL,LA@BAL,2025-10-12T13:00,M&T Bank Stadium,BAL,LA
2025_06_DAL_CAR,DAL@CAR,2025-10-12T13:00,Bank of America Stadium,CAR,DAL
2025_06_ARI_IND,ARI@IND,2025-10-12T13:00,Lucas Oil Stadium,IND,ARI
2025_06_SEA_JAX,SEA@JAX,2025-10-12T13:00,TIAA Bank Stadium,JAX,SEA
2025_06_LAC_MIA,LAC@MIA,2025-10-12T13:00,Hard Rock Stadium,MIA,LAC
2025_06_NE_NO,NE@NO,2025-10-12T13:00,Mercedes-Benz Superdome,NO,NE
2025_06_CLE_PIT,CLE@PIT,2025-10-12T13:00,Acrisure Stadium,PIT,CLE
2025_06_TEN_LV,TEN@LV,2025-10-12T16:05,Allegiant Stadium,LV,TEN
2025_06_CIN_GB,CIN@GB,2025-10-12T16:25,Lambeau Field,GB,CIN
2025_06_SF_TB,SF@TB,2025-10-12T16:25,Raymond James Stadium,TB,SF
2025_06_DET_KC,DET@KC,2025-10-12T20:20,GEHA Field at Arrowhead Stadium,KC,DET
2025_06_BUF_ATL,BUF@ATL,2025-10-13T19:15,Mercedes-Benz Stadium,ATL,BUF
2025_06_CHI_WAS,CHI@WAS,2025-10-13T20:15,FedExField,WAS,CHI
