game_id,teams,kickoff,stadium,home_team,away_team
2025_09_BAL_MIA,BAL@MIA,2025-10-30T20:15,Hard Rock Stadium,MIA,BAL
2025_09_CHI_CIN,CHI@CIN,2025-11-02T13:00,Paycor Stadium,CIN,CHI
2025_09_MIN_DET,MIN@DET,2025-11-02T13:00,Ford Field,DET,MIN
2025_09_CAR_GB,CAR@GB,2025-11-02T13:00,Lambeau Field,GB,CAR
2025_09_DEN_HOU,DEN@HOU,2025-11-02T13:00,NRG Stadium,HOU,DEN
2025_09_ATL_NE,ATL@NE,2025-11-02T13:00,Gillette Stadium,NE,ATL
2025_09_SF_NYG,SF@NYG,2025-11-02T13:00,MetLife Stadium,NYG,SF
2025_09_IND_PIT,IND@PIT,2025-11-02T13:00,Acrisure Stadium,PIT,IND
2025_09_LAC_TEN,LAC@TEN,2025-11-02T13:00,Nissan Stadium,TEN,LAC
2025_09_NO_LA,NO@LA,2025-11-02T16:05,SoFi Stadium,LA,NO
2025_09_JAX_LV,JAX@LV,2025-11-02T16:05,Allegiant Stadium,LV,JAX
2025_09_KC_BUF,KC@BUF,2025-11-02T16:25,New Era Field,BUF,KC
2025_09_SEA_WAS,SEA@WAS,2025-11-02T20:20,FedExField,WAS,SEA
2025_09_ARI_DAL,ARI@DAL,2025-11-03T20:15,AT&T Stadium,DAL,ARI
