game_id,teams,kickoff,stadium,home_team,away_team
2025_13_GB_DET,GB@DET,2025-11-27T13:00,Ford Field,DET,GB
2025_13_KC_DAL,KC@DAL,2025-11-27T16:30,AT&T Stadium,DAL,KC
2025_13_CIN_BAL,CIN@BAL,2025-11-27T20:20,M&T Bank Stadium,BAL,CIN
2025_13_CHI_PHI,CHI@PHI,2025-11-28T15:00,Lincoln Financial Field,PHI,CHI
2025_13_LA_CAR,LA@CAR,2025-11-30T13:00,Bank of America Stadium,CAR,LA
2025_13_SF_CLE,SF@CLE,2025-11-30T13:00,FirstEnergy Stadium,CLE,SF
2025_13_HOU_IND,HOU@IND,2025-11-30T13:00,Lucas Oil Stadium,IND,HOU
2025_13_NO_MIA,NO@MIA,2025-11-30T13:00,Hard Rock Stadium,MIA,NO
2025_13_ATL_NYJ,ATL@NYJ,2025-11-30T13:00,MetLife Stadium,NYJ,ATL
2025_13_ARI_TB,ARI@TB,2025-11-30T13:00,Raymond James Stadium,TB,ARI
2025_13_JAX_TEN,JAX@TEN,2025-11-30T13:00,Nissan Stadium,TEN,JAX
2025_13_MIN_SEA,MIN@SEA,2025-11-30T16:05,Lumen Field,SEA,MIN
2025_13_LV_LAC,LV@LAC,2025-11-30T16:25,SoFi Stadium,LAC,LV
2025_13_BUF_PIT,BUF@PIT,2025-11-30T16:25,Acrisure Stadium,PIT,BUF
2025_13_DEN_WAS,DEN@WAS,2025-11-30T20:20,FedExField,WAS,DEN
2025_13_NYG_NE,NYG@NE,2025-12-01T20:15,Gillette Stadium,NE,NYG
