game_id,teams,kickoff,stadium,home_team,away_team
2021_12_CHI_DET,CHI@DET,2021-11-25T12:30,Ford Field,DET,CHI
2021_12_LV_DAL,LV@DAL,2021-11-25T16:30,AT&T Stadium,DAL,LV
2021_12_BUF_NO,BUF@NO,2021-11-25T20:20,Mercedes-Benz Superdome,NO,BUF
2021_12_PIT_CIN,PIT@CIN,2021-11-28T13:00,Paul Brown Stadium,CIN,PIT
2021_12_NYJ_HOU,NYJ@HOU,2021-11-28T13:00,NRG Stadium,HOU,NYJ
2021_12_TB_IND,TB@IND,2021-11-28T13:00,Lucas Oil Stadium,IND,TB
2021_12_ATL_JAX,ATL@JAX,2021-11-28T13:00,TIAA Bank Stadium,JAX,ATL
2021_12_CAR_MIA,CAR@MIA,2021-11-28T13:00,Hard Rock Stadium,MIA,CAR
2021_12_TEN_NE,TEN@NE,2021-11-28T13:00,Gillette Stadium,NE,TEN
2021_12_PHI_NYG,PHI@NYG,2021-11-28T13:00,MetLife Stadium,NYG,PHI
2021_12_LAC_DEN,LAC@DEN,2021-11-28T16:05,Empower Field at Mile High,DEN,LAC
2021_12_LA_GB,LA@GB,2021-11-28T16:25,Lambeau Field,GB,LA
2021_12_MIN_SF,MIN@SF,2021-11-28T16:25,Levi's Stadium,SF,MIN
2021_12_CLE_BAL,CLE@BAL,2021-11-28T20:20,M&T Bank Stadium,BAL,CLE
2021_12_SEA_WAS,SEA@WAS,2021-11-29T20:15,FedExField,WAS,SEA
